eBird_name,group_members,GBIF_name,GBIF_rank,GBIF_taxonKey
Crypturellus obsoletus [obsoletus Group],"['Crypturellus obsoletus ochraceiventris', 'Crypturellus obsoletus traylori', 'Crypturellus obsoletus punensis', 'Crypturellus obsoletus cerviniventris', 'Crypturellus obsoletus knoxi', 'Crypturellus obsoletus griseiventris', 'Crypturellus obsoletus obsoletus']","['Crypturellus obsoletus ochraceiventris (Stolzmann, 1926)', 'Crypturellus obsoletus traylori Blake, 1961', 'Crypturellus obsoletus punensis (C.Chubb, 1918)', 'Crypturellus obsoletus cerviniventris (P.L.Sclater & Salvin, 1873)', 'Crypturellus obsoletus knoxi Phelps Jr, 1976', 'Crypturellus obsoletus griseiventris (Salvadori, 1895)', 'Crypturellus obsoletus obsoletus']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[6179760, 6179755, 6179757, 6179759, 6179758, 6179756, 7191141]"
Crypturellus undulatus,['Crypturellus undulatus'],"Crypturellus undulatus (Temminck, 1815)",SPECIES,2477560
Crypturellus transfasciatus,['Crypturellus transfasciatus'],"Crypturellus transfasciatus (P.L.Sclater & Salvin, 1878)",SPECIES,2477545
Crypturellus strigulosus,['Crypturellus strigulosus'],"Crypturellus strigulosus (Temminck, 1815)",SPECIES,2477559
Crypturellus duidae,['Crypturellus duidae'],"Crypturellus duidae J.T.Zimmer, 1938",SPECIES,2477534
Crypturellus erythropus,['Crypturellus erythropus'],"Crypturellus erythropus (Pelzeln, 1863)",SPECIES,2477546
Crypturellus noctivagus,['Crypturellus noctivagus'],"Crypturellus noctivagus (zu Wied-Neuwied, 1820)",SPECIES,2477503
Crypturellus noctivagus zabele,['Crypturellus noctivagus zabele'],"Crypturellus noctivagus zabele (von Spix, 1825)",SUBSPECIES,6179742
Crypturellus noctivagus noctivagus,['Crypturellus noctivagus noctivagus'],Crypturellus noctivagus noctivagus,SUBSPECIES,7191139
Crypturellus atrocapillus,['Crypturellus atrocapillus'],"Crypturellus atrocapillus (Tschudi, 1844)",SPECIES,2477529
Crypturellus boucardi,['Crypturellus boucardi'],"Crypturellus boucardi (P.L.Sclater, 1860)",SPECIES,2477567
Crypturellus kerriae,['Crypturellus kerriae'],"Crypturellus kerriae (Chapman, 1915)",SPECIES,2477557
Crypturellus variegatus,['Crypturellus variegatus'],"Crypturellus variegatus (J.F.Gmelin, 1789)",SPECIES,2477527
Crypturellus cinnamomeus,['Crypturellus cinnamomeus'],"Crypturellus cinnamomeus (Lesson, 1842)",SPECIES,2477493
Crypturellus cinnamomeus occidentalis,['Crypturellus cinnamomeus occidentalis'],"Crypturellus cinnamomeus occidentalis (Salvadori, 1895)",SUBSPECIES,6179737
Crypturellus cinnamomeus [cinnamomeus Group],"['Crypturellus cinnamomeus soconuscensis', 'Crypturellus cinnamomeus mexicanus', 'Crypturellus cinnamomeus sallaei', 'Crypturellus cinnamomeus goldmani', 'Crypturellus cinnamomeus vicinior', 'Crypturellus cinnamomeus cinnamomeus', 'Crypturellus cinnamomeus delattrii', 'Crypturellus cinnamomeus praepes']","['Crypturellus cinnamomeus soconuscensis Brodkorb, 1939', 'Crypturellus cinnamomeus mexicanus (Salvadori, 1895)', 'Crypturellus cinnamomeus sallaei (Bonaparte, 1856)', 'Crypturellus cinnamomeus goldmani (Nelson, 1901)', 'Crypturellus cinnamomeus vicinior Conover, 1933', 'Crypturellus cinnamomeus cinnamomeus', 'Crypturellus cinnamomeus delattrii (Bonaparte, 1854)', 'Crypturellus cinnamomeus praepes (Bangs & J.L.Peters, 1927)']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[6179736, 6179740, 6179739, 6179735, 6179733, 7191138, 6179738, 6179734]"
Crypturellus brevirostris,['Crypturellus brevirostris'],"Crypturellus brevirostris (Pelzeln, 1863)",SPECIES,2477532
Crypturellus bartletti,['Crypturellus bartletti'],"Crypturellus bartletti (P.L.Sclater & Salvin, 1873)",SPECIES,2477556
Crypturellus parvirostris,['Crypturellus parvirostris'],"Crypturellus parvirostris (Wagler, 1827)",SPECIES,2477558
Crypturellus casiquiare,['Crypturellus casiquiare'],"Crypturellus casiquiare (Chapman, 1929)",SPECIES,2477570
Crypturellus tataupa,['Crypturellus tataupa'],"Crypturellus tataupa (Temminck, 1815)",SPECIES,2477522
Rhynchotus rufescens,['Rhynchotus rufescens'],"Rhynchotus rufescens (Temminck, 1815)",SPECIES,2477464
Rhynchotus maculicollis,['Rhynchotus maculicollis'],"Rhynchotus maculicollis G.R.Gray, 1867",SPECIES,2477462
Nothoprocta taczanowskii,['Nothoprocta taczanowskii'],"Nothoprocta taczanowskii P.L.Sclater & Salvin, 1875",SPECIES,2477596
Nothoprocta ornata,['Nothoprocta ornata'],"Nothoprocta ornata (G.R.Gray, 1867)",SPECIES,2477575
Nothoprocta perdicaria,['Nothoprocta perdicaria'],"Nothoprocta perdicaria (Kittlitz, 1830)",SPECIES,2477581
Nothoprocta cinerascens,['Nothoprocta cinerascens'],"Nothoprocta cinerascens (Burmeister, 1860)",SPECIES,2477593
Nothoprocta pentlandii,['Nothoprocta pentlandii'],"Nothoprocta pentlandii (G.R.Gray, 1867)",SPECIES,2477584
Nothoprocta curvirostris,['Nothoprocta curvirostris'],"Nothoprocta curvirostris P.L.Sclater & Salvin, 1873",SPECIES,2477572
Nothura boraquira,['Nothura boraquira'],"Nothura boraquira (von Spix, 1825)",SPECIES,2477599
Nothura minor,['Nothura minor'],"Nothura minor (von Spix, 1825)",SPECIES,2477598
Nothura darwinii,['Nothura darwinii'],"Nothura darwinii G.R.Gray, 1867",SPECIES,2477610
Nothura maculosa,['Nothura maculosa'],"Nothura maculosa (Temminck, 1815)",SPECIES,2477600
Taoniscus nanus,['Taoniscus nanus'],"Taoniscus nanus (Temminck, 1815)",SPECIES,2477457
Eudromia elegans,['Eudromia elegans'],"Eudromia elegans I.Geoffroy Saint-Hilaire, 1832",SPECIES,5228704
Eudromia formosa,['Eudromia formosa'],"Eudromia formosa (Lillo, 1905)",SPECIES,5228703
Tinamotis pentlandii,['Tinamotis pentlandii'],"Tinamotis pentlandii Vigors, 1837",SPECIES,2477459
Tinamotis ingoufi,['Tinamotis ingoufi'],"Tinamotis ingoufi Oustalet, 1890",SPECIES,2477460
Anhima cornuta,['Anhima cornuta'],"Anhima cornuta (Linnaeus, 1766)",SPECIES,2497983
Chauna torquata,['Chauna torquata'],"Chauna torquata (Oken, 1816)",SPECIES,5959222
Chauna chavaria,['Chauna chavaria'],"Chauna chavaria (Linnaeus, 1766)",SPECIES,5959223
Anseranas semipalmata,['Anseranas semipalmata'],"Anseranas semipalmata (Latham, 1798)",SPECIES,2497981
Dendrocygna guttata,['Dendrocygna guttata'],"Dendrocygna guttata Schlegel, 1866",SPECIES,2498397
Dendrocygna eytoni,['Dendrocygna eytoni'],"Dendrocygna eytoni (Eyton, 1838)",SPECIES,2498405
Dendrocygna viduata,['Dendrocygna viduata'],"Dendrocygna viduata (Linnaeus, 1766)",SPECIES,2498396
Dendrocygna autumnalis,['Dendrocygna autumnalis'],"Dendrocygna autumnalis (Linnaeus, 1758)",SPECIES,2498393
Dendrocygna autumnalis fulgens,['Dendrocygna autumnalis fulgens'],"Dendrocygna autumnalis fulgens Friedmann, 1947",SUBSPECIES,6178433
Dendrocygna autumnalis autumnalis,['Dendrocygna autumnalis autumnalis'],Dendrocygna autumnalis autumnalis,SUBSPECIES,7191123
Dendrocygna arborea,['Dendrocygna arborea'],"Dendrocygna arborea (Linnaeus, 1758)",SPECIES,2498406
Dendrocygna bicolor,['Dendrocygna bicolor'],"Dendrocygna bicolor (Vieillot, 1816)",SPECIES,2498402
Dendrocygna arcuata,['Dendrocygna arcuata'],"Dendrocygna arcuata (Horsfield, 1824)",SPECIES,2498398
Dendrocygna javanica,['Dendrocygna javanica'],"Dendrocygna javanica (Horsfield, 1821)",SPECIES,2498404
Thalassornis leuconotus,['Thalassornis leuconotus'],"Thalassornis leuconotus Eyton, 1838",SPECIES,2498229
Anser indicus,['Anser indicus'],"Anser indicus (Latham, 1790)",SPECIES,2498035
Anser canagicus,['Anser canagicus'],"Anser canagicus (Sevastianov, 1802)",SPECIES,2498163
Anser caerulescens,['Anser caerulescens'],"Anser caerulescens (Linnaeus, 1758)",SPECIES,2498167
Anser rossii,['Anser rossii'],"Anser rossii Cassin, 1861",SPECIES,2498161
Anser anser,['Anser anser'],"Anser anser (Linnaeus, 1758)",SPECIES,2498036
Anser anser anser,['Anser anser anser'],Anser anser anser,SUBSPECIES,7061271
Anser anser rubrirostris,['Anser anser rubrirostris'],"Anser anser rubrirostris Swinhoe, 1871",SUBSPECIES,6178331
Anser cygnoides,['Anser cygnoides'],"Anser cygnoides (Linnaeus, 1758)",SPECIES,2498034
Anser albifrons,['Anser albifrons'],"Anser albifrons (Scopoli, 1769)",SPECIES,2498017
Anser albifrons flavirostris,['Anser albifrons flavirostris'],"Anser albifrons flavirostris Dalgety & P.Scott, 1948",SUBSPECIES,6178325
Anser albifrons albifrons,['Anser albifrons albifrons'],Anser albifrons albifrons,SUBSPECIES,7191107
Anser albifrons gambelli/sponsa,"['Anser albifrons gambelli', 'Anser albifrons sponsa']","['Anser albifrons gambelli Hartlaub, 1852', 'Anser albifrons sponsa Banks, 2011']","['SUBSPECIES', 'SUBSPECIES']","[6178327, 9050318]"
Anser albifrons elgasi,['Anser albifrons elgasi'],"Anser albifrons elgasi Delacour & Ripley, 1975",SUBSPECIES,6178329
Anser erythropus,['Anser erythropus'],"Anser erythropus (Linnaeus, 1758)",SPECIES,2498026
Anser fabalis,['Anser fabalis'],"Anser fabalis (Latham, 1787)",SPECIES,2498027
Anser serrirostris,['Anser serrirostris'],"Anser serrirostris Gould, 1852",SPECIES,7340170
Anser brachyrhynchus,['Anser brachyrhynchus'],"Anser brachyrhynchus Baillon, 1834",SPECIES,2498024
Branta bernicla,['Branta bernicla'],"Branta bernicla (Linnaeus, 1758)",SPECIES,5232446
Branta bernicla bernicla,['Branta bernicla bernicla'],Branta bernicla bernicla,SUBSPECIES,7191097
Branta bernicla hrota,['Branta bernicla hrota'],"Branta bernicla hrota (O.F.Müller, 1776)",SUBSPECIES,5232447
Branta bernicla nigricans,['Branta bernicla nigricans'],"Branta bernicla nigricans (Lawrence, 1846)",SUBSPECIES,5232449
Branta leucopsis,['Branta leucopsis'],"Branta leucopsis (Bechstein, 1803)",SPECIES,5232464
Branta hutchinsii,['Branta hutchinsii'],"Branta hutchinsii (Richardson, 1832)",SPECIES,5232452
Branta hutchinsii leucopareia,['Branta hutchinsii leucopareia'],"Branta hutchinsii leucopareia (J.F.Brandt, 1836)",SUBSPECIES,5232458
Branta hutchinsii hutchinsii,['Branta hutchinsii hutchinsii'],Branta hutchinsii hutchinsii,SUBSPECIES,7191099
Branta hutchinsii minima,['Branta hutchinsii minima'],"Branta hutchinsii minima Ridgway, 1885",SUBSPECIES,5232453
Branta hutchinsii taverneri,['Branta hutchinsii taverneri'],"Branta hutchinsii taverneri Delacour, 1951",SUBSPECIES,5232460
Branta canadensis,['Branta canadensis'],"Branta canadensis (Linnaeus, 1758)",SPECIES,5232437
Branta canadensis moffitti/maxima,"['Branta canadensis moffitti', 'Branta canadensis maxima']","['Branta canadensis moffitti Aldrich, 1946', 'Branta canadensis maxima Delacour, 1951']","['SUBSPECIES', 'SUBSPECIES']","[5232438, 5232441]"
Branta canadensis occidentalis/fulva,"['Branta canadensis occidentalis', 'Branta canadensis fulva']","['Branta canadensis occidentalis (S.F.Baird, 1858)', 'Branta canadensis fulva Delacour, 1951']","['SUBSPECIES', 'SUBSPECIES']","[5232444, 5232440]"
Branta canadensis [canadensis Group],"['Branta canadensis parvipes', 'Branta canadensis canadensis', 'Branta canadensis interior']","['Branta canadensis parvipes (Cassin, 1852)', 'Branta canadensis canadensis', 'Branta canadensis interior Todd, 1938']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[5232443, 7191098, 5232439]"
Branta sandvicensis,['Branta sandvicensis'],"Branta sandvicensis (Vigors, 1834)",SPECIES,5232445
Branta ruficollis,['Branta ruficollis'],"Branta ruficollis (Pallas, 1769)",SPECIES,5232451
Cereopsis novaehollandiae,['Cereopsis novaehollandiae'],"Cereopsis novaehollandiae Latham, 1801",SPECIES,5232432
Stictonetta naevosa,['Stictonetta naevosa'],"Stictonetta naevosa (Gould, 1841)",SPECIES,2498226
Cyanochen cyanoptera,['Cyanochen cyanoptera'],"Cyanochen cyanoptera (Rüppell, 1845)",SPECIES,2498380
Cygnus olor,['Cygnus olor'],"Cygnus olor (J.F.Gmelin, 1789)",SPECIES,2498343
Cygnus atratus,['Cygnus atratus'],"Cygnus atratus (Latham, 1790)",SPECIES,2498344
Cygnus melancoryphus,['Cygnus melancoryphus'],"Cygnus melancoryphus (Molina, 1782)",SPECIES,2498335
Cygnus buccinator,['Cygnus buccinator'],"Cygnus buccinator Richardson, 1831",SPECIES,2498345
Cygnus columbianus,['Cygnus columbianus'],"Cygnus columbianus (Ord, 1815)",SPECIES,2498338
Cygnus columbianus columbianus,['Cygnus columbianus columbianus'],Cygnus columbianus columbianus,SUBSPECIES,7191100
Cygnus columbianus bewickii,['Cygnus columbianus bewickii'],"Cygnus columbianus bewickii Yarrell, 1830",SUBSPECIES,6178421
Cygnus cygnus,['Cygnus cygnus'],"Cygnus cygnus (Linnaeus, 1758)",SPECIES,2498347
Coscoroba coscoroba,['Coscoroba coscoroba'],"Coscoroba coscoroba (Molina, 1782)",SPECIES,2498288
Sarkidiornis melanotos,['Sarkidiornis melanotos'],"Sarkidiornis melanotos (Pennant, 1769)",SPECIES,2498001
Sarkidiornis sylvicola,['Sarkidiornis sylvicola'],"Sarkidiornis sylvicola H.Ihering & R.Ihering, 1907",SPECIES,2498003
Pteronetta hartlaubii,['Pteronetta hartlaubii'],"Pteronetta hartlaubii (Cassin, 1860)",SPECIES,2498054
Oressochen jubatus,['Oressochen jubatus'],"Oressochen jubatus (Bannister, 1870)",SPECIES,7373023
Oressochen melanopterus,['Oressochen melanopterus'],"Oressochen melanopterus (Eyton, 1838)",SPECIES,8138522
Chloephaga picta,['Chloephaga picta'],"Chloephaga picta (J.F.Gmelin, 1789)",SPECIES,5232428
Chloephaga hybrida,['Chloephaga hybrida'],"Chloephaga hybrida (Molina, 1782)",SPECIES,5232424
Chloephaga poliocephala,['Chloephaga poliocephala'],"Chloephaga poliocephala P.L.Sclater, 1857",SPECIES,5232423
Chloephaga rubidiceps,['Chloephaga rubidiceps'],"Chloephaga rubidiceps P.L.Sclater, 1861",SPECIES,5232427
Radjah radjah,['Radjah radjah'],"Radjah radjah (Garnot & R.Lesson, 1828)",SPECIES,9647688
Alopochen aegyptiaca,['Alopochen aegyptiaca'],"Alopochen aegyptiaca (Linnaeus, 1766)",SPECIES,2498252
Alopochen mauritiana,['Alopochen mauritiana'],"Alopochen mauritiana (E.Newton & Gadow, 1893)",SPECIES,8379042
Alopochen kervazoi,['Alopochen kervazoi'],"Alopochen kervazoi (Cowles, 1994)",SPECIES,5788490
Tadorna ferruginea,['Tadorna ferruginea'],"Tadorna ferruginea (Pallas, 1764)",SPECIES,2498015
Tadorna cana,['Tadorna cana'],"Tadorna cana (J.F.Gmelin, 1789)",SPECIES,2498010
Tadorna tadornoides,['Tadorna tadornoides'],"Tadorna tadornoides (Jardine & Selby, 1828)",SPECIES,2498007
Tadorna variegata,['Tadorna variegata'],"Tadorna variegata (J.F.Gmelin, 1789)",SPECIES,2498011
Tadorna tadorna,['Tadorna tadorna'],"Tadorna tadorna (Linnaeus, 1758)",SPECIES,2498009
Tadorna cristata,['Tadorna cristata'],"Tadorna cristata (Kuroda, 1917)",SPECIES,2498008
Plectropterus gambensis,['Plectropterus gambensis'],"Plectropterus gambensis (Linnaeus, 1766)",SPECIES,5232465
Plectropterus gambensis gambensis,['Plectropterus gambensis gambensis'],Plectropterus gambensis gambensis,SUBSPECIES,7191101
Plectropterus gambensis niger,['Plectropterus gambensis niger'],"Plectropterus gambensis niger P.L.Sclater, 1877",SUBSPECIES,5232466
Tachyeres patachonicus,['Tachyeres patachonicus'],"Tachyeres patachonicus (P.P.King, 1831)",SPECIES,2498236
Tachyeres pteneres,['Tachyeres pteneres'],"Tachyeres pteneres (J.R.Forster, 1844)",SPECIES,2498234
Tachyeres brachypterus,['Tachyeres brachypterus'],"Tachyeres brachypterus (Latham, 1790)",SPECIES,2498233
Tachyeres leucocephalus,['Tachyeres leucocephalus'],"Tachyeres leucocephalus Humphrey & Thompson, 1981",SPECIES,2498235
Lophonetta specularioides,['Lophonetta specularioides'],"Lophonetta specularioides (P.P.King, 1828)",SPECIES,2498294
Speculanas specularis,['Speculanas specularis'],"Speculanas specularis (P.P.King, 1828)",SPECIES,2498322
Cairina moschata,['Cairina moschata'],"Cairina moschata (Linnaeus, 1758)",SPECIES,9751099
Nettapus pulchellus,['Nettapus pulchellus'],"Nettapus pulchellus Gould, 1842",SPECIES,2498309
Nettapus coromandelianus,['Nettapus coromandelianus'],"Nettapus coromandelianus (J.F.Gmelin, 1789)",SPECIES,2498310
Nettapus auritus,['Nettapus auritus'],"Nettapus auritus (Boddaert, 1783)",SPECIES,2498313
Callonetta leucophrys,['Callonetta leucophrys'],"Callonetta leucophrys (Vieillot, 1816)",SPECIES,2498384
Aix sponsa,['Aix sponsa'],"Aix sponsa (Linnaeus, 1758)",SPECIES,2498387
Aix galericulata,['Aix galericulata'],"Aix galericulata (Linnaeus, 1758)",SPECIES,2498388
Chenonetta jubata,['Chenonetta jubata'],"Chenonetta jubata (Latham, 1801)",SPECIES,2498046
Chenonetta finschi,['Chenonetta finschi'],"Chenonetta finschi (Van Beneden, 1875)",SPECIES,4966422
Amazonetta brasiliensis,['Amazonetta brasiliensis'],"Amazonetta brasiliensis (J.F.Gmelin, 1789)",SPECIES,2498411
Hymenolaimus malacorhynchos,['Hymenolaimus malacorhynchos'],"Hymenolaimus malacorhynchos (J.F.Gmelin, 1789)",SPECIES,2498332
Merganetta armata,['Merganetta armata'],"Merganetta armata Gould, 1842",SPECIES,2498275
Salvadorina waigiuensis,['Salvadorina waigiuensis'],"Salvadorina waigiuensis Rothschild & E.Hartert, 1894",SPECIES,2498040
Sibirionetta formosa,['Sibirionetta formosa'],"Sibirionetta formosa (Georgi, 1775)",SPECIES,9235549
Spatula querquedula,['Spatula querquedula'],"Spatula querquedula (Linnaeus, 1758)",SPECIES,9274012
Spatula hottentota,['Spatula hottentota'],"Spatula hottentota (Eyton, 1838)",SPECIES,9496048
Spatula versicolor,['Spatula versicolor'],"Spatula versicolor (Vieillot, 1816)",SPECIES,9305555
Spatula puna,['Spatula puna'],"Spatula puna (Tschudi, 1844)",SPECIES,9583342
Spatula discors,['Spatula discors'],"Spatula discors (Linnaeus, 1766)",SPECIES,9422220
Spatula cyanoptera,['Spatula cyanoptera'],"Spatula cyanoptera (Vieillot, 1816)",SPECIES,9345027
Spatula cyanoptera septentrionalium,['Spatula cyanoptera septentrionalium'],"Spatula cyanoptera septentrionalium (Snyder & Lumsden, 1951)",SUBSPECIES,9617438
Spatula cyanoptera [orinoma Group],"['Spatula cyanoptera tropica', 'Spatula cyanoptera borreroi', 'Spatula cyanoptera orinoma']","['Spatula cyanoptera tropica (Snyder & Lumsden, 1951)', 'Spatula cyanoptera borreroi (Snyder & Lumsden, 1951)', 'Spatula cyanoptera orinoma (Oberholser, 1906)']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[9524311, 9434616, 9332923]"
Spatula cyanoptera cyanoptera,['Spatula cyanoptera cyanoptera'],Spatula cyanoptera cyanoptera,SUBSPECIES,9405036
Spatula platalea,['Spatula platalea'],"Spatula platalea (Vieillot, 1816)",SPECIES,9290528
Spatula smithii,['Spatula smithii'],"Spatula smithii E.Hartert, 1891",SPECIES,9360401
Spatula rhynchotis,['Spatula rhynchotis'],"Spatula rhynchotis (Latham, 1801)",SPECIES,9288935
Spatula clypeata,['Spatula clypeata'],"Spatula clypeata (Linnaeus, 1758)",SPECIES,8332393
Mareca strepera,['Mareca strepera'],"Mareca strepera (Linnaeus, 1758)",SPECIES,9362027
Mareca strepera strepera,['Mareca strepera strepera'],Mareca strepera strepera,SUBSPECIES,9478515
Mareca strepera couesi,['Mareca strepera couesi'],"Mareca strepera couesi (Streets, 1876)",SUBSPECIES,9599504
Mareca falcata,['Mareca falcata'],"Mareca falcata (Georgi, 1775)",SPECIES,9480191
Mareca penelope,['Mareca penelope'],"Mareca penelope (Linnaeus, 1758)",SPECIES,8000602
Mareca americana,['Mareca americana'],"Mareca americana (J.F.Gmelin, 1789)",SPECIES,2498155
Mareca sibilatrix,['Mareca sibilatrix'],"Mareca sibilatrix (Poeppig, 1829)",SPECIES,9508460
Mareca marecula,['Mareca marecula'],"Mareca marecula (Olson & Jouventin, 1996)",SPECIES,9304457
Anas sparsa,['Anas sparsa'],"Anas sparsa Eyton, 1838",SPECIES,2498148
Anas undulata,['Anas undulata'],"Anas undulata C.F.Dubois, 1838",SPECIES,2498156
Anas melleri,['Anas melleri'],"Anas melleri P.L.Sclater, 1865",SPECIES,2498076
Anas superciliosa,['Anas superciliosa'],"Anas superciliosa J.F.Gmelin, 1789",SPECIES,2498084
Anas laysanensis,['Anas laysanensis'],"Anas laysanensis Rothschild, 1892",SPECIES,2498109
Anas wyvilliana,['Anas wyvilliana'],"Anas wyvilliana P.L.Sclater, 1878",SPECIES,2498072
Anas luzonica,['Anas luzonica'],"Anas luzonica Fraser, 1839",SPECIES,2498108
Anas poecilorhyncha,['Anas poecilorhyncha'],"Anas poecilorhyncha J.R.Forster, 1781",SPECIES,9450106
Anas zonorhyncha,['Anas zonorhyncha'],"Anas zonorhyncha Swinhoe, 1866",SPECIES,2498061
Anas platyrhynchos,['Anas platyrhynchos'],"Anas platyrhynchos Linnaeus, 1758",SPECIES,9761484
Anas diazi,['Anas diazi'],"Anas diazi Ridgway, 1886",SPECIES,2498136
Anas rubripes,['Anas rubripes'],"Anas rubripes Brewster, 1902",SPECIES,9581438
Anas fulvigula,['Anas fulvigula'],"Anas fulvigula Ridgway, 1874",SPECIES,2498080
Anas fulvigula fulvigula,['Anas fulvigula fulvigula'],Anas fulvigula fulvigula,SUBSPECIES,7191116
Anas fulvigula maculosa,['Anas fulvigula maculosa'],"Anas fulvigula maculosa Sennett, 1889",SUBSPECIES,6178386
Anas capensis,['Anas capensis'],"Anas capensis J.F.Gmelin, 1789",SPECIES,2498094
Anas bahamensis,['Anas bahamensis'],"Anas bahamensis Linnaeus, 1758",SPECIES,2498090
Anas bahamensis bahamensis/rubrirostris,"['Anas bahamensis bahamensis', 'Anas bahamensis rubrirostris']","['Anas bahamensis bahamensis', 'Anas bahamensis rubrirostris Vieillot, 1816']","['SUBSPECIES', 'SUBSPECIES']","[7191112, 6178390]"
Anas bahamensis galapagensis,['Anas bahamensis galapagensis'],"Anas bahamensis galapagensis (Ridgway, 1890)",SUBSPECIES,6178391
Anas erythrorhyncha,['Anas erythrorhyncha'],"Anas erythrorhyncha J.F.Gmelin, 1789",SPECIES,2498064
Anas acuta,['Anas acuta'],"Anas acuta Linnaeus, 1758",SPECIES,2498112
Anas eatoni,['Anas eatoni'],"Anas eatoni (Sharpe, 1875)",SPECIES,2498098
