cell_id,Artemisiospiza belli,Artemisiospiza belli belli,Artemisiospiza belli canescens,Artemisiospiza belli clementeae,Artemisiospiza belli cinerea
8429a89ffffffff,29.0,0.0,11.0,0.0,0.0
8429a8bffffffff,4.0,0.0,0.0,0.0,0.0
8429a8dffffffff,5.0,0.0,0.0,0.0,0.0
8429a91ffffffff,165.0,17.0,45.0,0.0,0.0
8429a93ffffffff,9.0,9.0,0.0,0.0,0.0
8429a99ffffffff,87.0,55.0,0.0,0.0,0.0
8429a9bffffffff,329.0,135.0,0.0,0.0,0.0
8429a9dffffffff,1.0,1.0,0.0,0.0,0.0
8429aa1ffffffff,11.0,0.0,0.0,0.0,0.0
8429aa5ffffffff,53.0,0.0,14.0,0.0,0.0
8429aa7ffffffff,172.0,0.0,94.0,0.0,0.0
8429aabffffffff,10.0,0.0,0.0,0.0,0.0
8429aadffffffff,97.0,0.0,39.0,0.0,0.0
8429ab3ffffffff,4.0,0.0,0.0,0.0,0.0
8429ab7ffffffff,2.0,0.0,0.0,0.0,0.0
8429ab9ffffffff,2.0,0.0,0.0,0.0,0.0
8429ac1ffffffff,624.0,20.0,6.0,0.0,0.0
8429ac3ffffffff,354.0,29.0,4.0,0.0,0.0
8429ac5ffffffff,310.0,0.0,72.0,0.0,0.0
8429ac7ffffffff,28.0,0.0,7.0,0.0,0.0
8429ac9ffffffff,29.0,5.0,0.0,0.0,0.0
8429acbffffffff,7.0,0.0,0.0,0.0,0.0
8429acdffffffff,132.0,17.0,11.0,0.0,0.0
8429ad1ffffffff,56.0,12.0,0.0,0.0,0.0
8429ad3ffffffff,5.0,4.0,0.0,0.0,0.0
8429ad5ffffffff,2.0,0.0,0.0,0.0,0.0
8429addffffffff,12.0,3.0,0.0,0.0,0.0
8429ae1ffffffff,385.0,0.0,322.0,0.0,0.0
8429ae5ffffffff,964.0,0.0,783.0,0.0,0.0
8429ae7ffffffff,31.0,0.0,0.0,0.0,0.0
8429ae9ffffffff,3.0,0.0,0.0,0.0,0.0
8429aedffffffff,1003.0,0.0,442.0,0.0,0.0
8429b09ffffffff,13.0,0.0,0.0,0.0,0.0
8429b0bffffffff,4.0,0.0,2.0,0.0,0.0
8429b11ffffffff,6.0,0.0,0.0,0.0,0.0
8429b13ffffffff,4.0,0.0,0.0,0.0,0.0
8429b1bffffffff,23.0,0.0,9.0,0.0,0.0
8429b1dffffffff,22.0,0.0,7.0,0.0,0.0
8429b47ffffffff,3.0,0.0,1.0,0.0,0.0
8429b55ffffffff,7.0,0.0,7.0,0.0,0.0
8429b5bffffffff,1.0,0.0,0.0,0.0,0.0
8429b5dffffffff,15.0,0.0,8.0,0.0,0.0
8448435ffffffff,3.0,0.0,0.0,0.0,0.0
8448437ffffffff,53.0,0.0,0.0,0.0,1.0
844846dffffffff,3.0,0.0,0.0,0.0,0.0
84484a5ffffffff,20.0,2.0,0.0,0.0,0.0
84484a7ffffffff,9.0,2.0,0.0,0.0,0.0
84484b7ffffffff,4.0,0.0,0.0,4.0,0.0
8448559ffffffff,3.0,0.0,0.0,0.0,3.0
844855bffffffff,1.0,0.0,0.0,0.0,0.0
8448591ffffffff,2.0,0.0,0.0,0.0,0.0
8448593ffffffff,134.0,52.0,0.0,0.0,0.0
8448599ffffffff,30.0,13.0,0.0,0.0,0.0
844859bffffffff,9.0,2.0,0.0,0.0,0.0
844859dffffffff,2.0,0.0,0.0,0.0,0.0
84485b5ffffffff,3.0,0.0,3.0,0.0,0.0
84485b7ffffffff,9.0,0.0,7.0,0.0,0.0
84485bbffffffff,2.0,0.0,0.0,0.0,0.0
84485d1ffffffff,12.0,7.0,0.0,0.0,0.0
84485d3ffffffff,6.0,2.0,0.0,0.0,0.0
84485d7ffffffff,1.0,0.0,0.0,0.0,0.0
84485d9ffffffff,1.0,0.0,0.0,0.0,0.0
84485ddffffffff,50.0,12.0,0.0,0.0,0.0
8448717ffffffff,1.0,0.0,0.0,0.0,1.0
8448731ffffffff,19.0,0.0,0.0,0.0,2.0
8448733ffffffff,69.0,2.0,0.0,0.0,18.0
844873bffffffff,3.0,0.0,0.0,0.0,0.0
