cell_id,Caprimulgus pectoralis,Caprimulgus pectoralis nigriscapularis,Caprimulgus pectoralis [pectoralis Group]
84bcca5ffffffff,30.0,0.0,0.0
84bcca7ffffffff,4.0,0.0,0.0
84bcca9ffffffff,3.0,0.0,0.0
84bcd01ffffffff,22.0,0.0,0.0
84bcd03ffffffff,2.0,0.0,0.0
84bcd05ffffffff,16.0,0.0,0.0
84bcd07ffffffff,1.0,0.0,0.0
84bcd09ffffffff,2.0,0.0,0.0
84bcd0bffffffff,2.0,0.0,0.0
84bcd0dffffffff,28.0,0.0,0.0
84bcd1bffffffff,3.0,0.0,0.0
84bcd21ffffffff,49.0,0.0,0.0
84bcd23ffffffff,72.0,0.0,0.0
84bcd27ffffffff,47.0,0.0,0.0
84bcd29ffffffff,117.0,0.0,1.0
84bcd2bffffffff,20.0,0.0,0.0
84bcd35ffffffff,24.0,0.0,0.0
84bcd3dffffffff,2.0,0.0,0.0
84bcd45ffffffff,9.0,0.0,0.0
84bcd4bffffffff,12.0,0.0,0.0
84bcd4dffffffff,1.0,0.0,0.0
84bcd55ffffffff,6.0,0.0,0.0
84bcd57ffffffff,3.0,0.0,0.0
84bcd61ffffffff,2.0,0.0,0.0
84bcd63ffffffff,39.0,0.0,0.0
84bcd67ffffffff,9.0,0.0,0.0
84bcd6dffffffff,7.0,0.0,0.0
84bcd81ffffffff,9.0,0.0,0.0
84bcd85ffffffff,2.0,0.0,0.0
84bcd89ffffffff,2.0,0.0,0.0
84bcd8bffffffff,2.0,0.0,0.0
84bcd8dffffffff,1.0,0.0,0.0
84bcd99ffffffff,1.0,0.0,0.0
84bcdc1ffffffff,27.0,0.0,0.0
84bcdc3ffffffff,8.0,0.0,0.0
84bcdc7ffffffff,5.0,0.0,0.0
84bcdc9ffffffff,13.0,0.0,0.0
84bcdd1ffffffff,21.0,0.0,0.0
84bcdd9ffffffff,2.0,0.0,0.0
84bcdddffffffff,8.0,0.0,4.0
84bcde3ffffffff,5.0,0.0,0.0
84bcde5ffffffff,1.0,0.0,0.0
84bcde7ffffffff,3.0,0.0,0.0
84bcdebffffffff,20.0,0.0,0.0
84bce27ffffffff,3.0,0.0,0.0
84bce61ffffffff,1.0,0.0,0.0
84bce65ffffffff,1.0,0.0,0.0
84bce69ffffffff,2.0,0.0,0.0
84bcf03ffffffff,1.0,0.0,0.0
84bcf05ffffffff,4.0,0.0,0.0
84bcf0dffffffff,8.0,0.0,0.0
84bcf13ffffffff,3.0,0.0,0.0
84bcf17ffffffff,2.0,0.0,0.0
84bcf21ffffffff,4.0,0.0,1.0
84bcf25ffffffff,27.0,0.0,0.0
84bcf29ffffffff,355.0,0.0,4.0
84bcf2dffffffff,7.0,0.0,0.0
84bcf37ffffffff,2.0,0.0,0.0
84bcf3dffffffff,9.0,0.0,0.0
84bcf47ffffffff,7.0,0.0,4.0
84bcf59ffffffff,5.0,0.0,0.0
84bcf5bffffffff,17.0,0.0,0.0
84bcf5dffffffff,2.0,0.0,0.0
84bcf61ffffffff,48.0,0.0,1.0
84bcf63ffffffff,50.0,0.0,0.0
84bcf67ffffffff,10.0,0.0,0.0
84bcf6bffffffff,2.0,0.0,0.0
