cell_id,Todiramphus sanctus,Todiramphus sanctus sanctus,Todiramphus sanctus canacorum,Todiramphus sanctus macmillani,Todiramphus sanctus vagans
829437fffffffff,6.0,0.0,0.0,0.0,0.0
82944ffffffffff,2.0,0.0,0.0,0.0,0.0
829457fffffffff,972.0,146.0,0.0,0.0,0.0
82945ffffffffff,367.0,98.0,0.0,0.0,0.0
829467fffffffff,14.0,6.0,0.0,0.0,0.0
829487fffffffff,781.0,294.0,0.0,0.0,0.0
82948ffffffffff,28.0,7.0,0.0,0.0,0.0
829497fffffffff,31.0,5.0,0.0,0.0,0.0
8294affffffffff,82.0,15.0,0.0,0.0,0.0
8294c7fffffffff,37.0,8.0,0.0,0.0,0.0
8294cffffffffff,17.0,3.0,0.0,0.0,0.0
8294d7fffffffff,14.0,4.0,0.0,0.0,0.0
8294e7fffffffff,286.0,29.0,0.0,0.0,0.0
8294effffffffff,289.0,81.0,0.0,0.0,0.0
8294f7fffffffff,44.0,4.0,0.0,0.0,0.0
829507fffffffff,24.0,3.0,0.0,0.0,0.0
82950ffffffffff,2.0,0.0,0.0,0.0,0.0
829517fffffffff,2.0,0.0,0.0,0.0,0.0
82951ffffffffff,86.0,29.0,0.0,0.0,0.0
829547fffffffff,15.0,3.0,0.0,0.0,0.0
829557fffffffff,4.0,0.0,0.0,0.0,0.0
829567fffffffff,6.0,0.0,0.0,0.0,0.0
82956ffffffffff,28.0,2.0,0.0,0.0,0.0
8295a7fffffffff,84.0,11.0,0.0,0.0,0.0
8295affffffffff,4.0,1.0,0.0,0.0,0.0
829c07fffffffff,483.0,67.0,0.0,0.0,0.0
829c0ffffffffff,61.0,10.0,0.0,0.0,0.0
829c1ffffffffff,81.0,17.0,0.0,0.0,0.0
829c27fffffffff,1725.0,207.0,0.0,0.0,0.0
829c2ffffffffff,98.0,26.0,0.0,0.0,0.0
829c47fffffffff,51.0,10.0,0.0,0.0,0.0
829c4ffffffffff,34.0,7.0,0.0,0.0,0.0
829c5ffffffffff,19.0,0.0,0.0,0.0,0.0
829c67fffffffff,46.0,14.0,0.0,0.0,0.0
829c6ffffffffff,11.0,6.0,0.0,0.0,0.0
829c77fffffffff,43.0,14.0,0.0,0.0,0.0
829c87fffffffff,14.0,0.0,0.0,0.0,0.0
829c8ffffffffff,3.0,0.0,0.0,0.0,0.0
829c97fffffffff,174.0,40.0,0.0,0.0,0.0
829c9ffffffffff,27.0,6.0,0.0,0.0,0.0
829ca7fffffffff,19.0,0.0,0.0,0.0,0.0
829caffffffffff,213.0,22.0,0.0,0.0,0.0
829cb7fffffffff,16.0,0.0,0.0,0.0,0.0
829cc7fffffffff,3.0,0.0,0.0,0.0,0.0
829cd7fffffffff,175.0,19.0,0.0,0.0,0.0
829ce7fffffffff,12.0,0.0,0.0,0.0,0.0
829ceffffffffff,60.0,18.0,0.0,0.0,0.0
829cf7fffffffff,54.0,6.0,0.0,0.0,0.0
829d07fffffffff,82.0,0.0,0.0,0.0,0.0
829d0ffffffffff,387.0,36.0,0.0,0.0,0.0
829d27fffffffff,525.0,117.0,0.0,0.0,0.0
829d2ffffffffff,66.0,19.0,0.0,0.0,0.0
829d47fffffffff,36.0,9.0,0.0,0.0,0.0
829d4ffffffffff,122.0,26.0,0.0,0.0,0.0
829d57fffffffff,12.0,2.0,0.0,0.0,0.0
829d5ffffffffff,42.0,7.0,0.0,0.0,0.0
829d67fffffffff,21.0,2.0,0.0,0.0,0.0
829d6ffffffffff,24.0,6.0,0.0,0.0,0.0
829d77fffffffff,28.0,4.0,0.0,0.0,0.0
829d97fffffffff,1.0,0.0,0.0,0.0,0.0
829d9ffffffffff,5.0,0.0,0.0,0.0,0.0
829e2ffffffffff,4.0,0.0,2.0,0.0,0.0
829edffffffffff,6.0,0.0,0.0,0.0,0.0
829f57fffffffff,187.0,0.0,122.0,0.0,0.0
829f5ffffffffff,2.0,0.0,0.0,0.0,0.0
82a607fffffffff,2.0,0.0,0.0,0.0,0.0
82a617fffffffff,121.0,23.0,0.0,0.0,0.0
82a627fffffffff,3.0,0.0,0.0,0.0,0.0
82a637fffffffff,45.0,8.0,0.0,0.0,0.0
82a6a7fffffffff,93.0,13.0,0.0,0.0,0.0
82a707fffffffff,23.0,2.0,0.0,0.0,0.0
82a717fffffffff,2.0,0.0,0.0,0.0,0.0
82a71ffffffffff,16.0,2.0,0.0,0.0,0.0
82a727fffffffff,348.0,100.0,0.0,0.0,0.0
82a737fffffffff,67.0,27.0,0.0,0.0,0.0
82a787fffffffff,24.0,2.0,0.0,0.0,0.0
82a78ffffffffff,13.0,0.0,0.0,0.0,0.0
82a797fffffffff,6.0,2.0,0.0,0.0,0.0
82a79ffffffffff,58.0,16.0,0.0,0.0,0.0
82a7a7fffffffff,2.0,2.0,0.0,0.0,0.0
82b82ffffffffff,8.0,3.0,0.0,0.0,0.0
82b837fffffffff,3.0,0.0,0.0,0.0,0.0
82b847fffffffff,2.0,2.0,0.0,0.0,0.0
82b867fffffffff,31.0,4.0,0.0,0.0,0.0
82b86ffffffffff,2.0,0.0,0.0,0.0,0.0
82b887fffffffff,212.0,2.0,0.0,0.0,0.0
82b89ffffffffff,26.0,5.0,0.0,0.0,0.0
82b8affffffffff,15.0,0.0,0.0,0.0,0.0
82b8b7fffffffff,1.0,0.0,0.0,0.0,0.0
82b917fffffffff,76.0,7.0,0.0,0.0,0.0
82b91ffffffffff,2.0,0.0,0.0,0.0,0.0
82b95ffffffffff,2.0,2.0,0.0,0.0,0.0
82b987fffffffff,9.0,1.0,0.0,0.0,0.0
82b98ffffffffff,3.0,0.0,0.0,0.0,0.0
82b997fffffffff,11.0,0.0,0.0,0.0,0.0
82b9a7fffffffff,34.0,5.0,0.0,0.0,0.0
82b9affffffffff,13.0,6.0,0.0,0.0,0.0
82b9b7fffffffff,28.0,0.0,0.0,0.0,0.0
82ba27fffffffff,116.0,0.0,0.0,0.0,0.0
82ba6ffffffffff,304.0,0.0,0.0,0.0,14.0
82bb0ffffffffff,2122.0,0.0,0.0,0.0,87.0
82bb2ffffffffff,3888.0,0.0,0.0,0.0,37.0
82bb57fffffffff,7536.0,0.0,0.0,0.0,1335.0
82bb5ffffffffff,464.0,0.0,0.0,0.0,0.0
82bb77fffffffff,669.0,0.0,0.0,0.0,24.0
82be0ffffffffff,3807.0,487.0,0.0,0.0,0.0
82be1ffffffffff,1208.0,220.0,0.0,0.0,0.0
82be2ffffffffff,33.0,5.0,0.0,0.0,0.0
82be47fffffffff,1908.0,742.0,0.0,0.0,0.0
82be4ffffffffff,438.0,99.0,0.0,0.0,0.0
82be57fffffffff,701.0,77.0,0.0,0.0,0.0
82be5ffffffffff,94.0,25.0,0.0,0.0,0.0
82be67fffffffff,1539.0,455.0,0.0,0.0,0.0
82be6ffffffffff,241.0,39.0,0.0,0.0,0.0
82be77fffffffff,3506.0,375.0,0.0,0.0,0.0
82be8ffffffffff,8886.0,966.0,0.0,0.0,0.0
82beaffffffffff,1142.0,195.0,0.0,0.0,0.0
82bec7fffffffff,110.0,6.0,0.0,0.0,0.0
82becffffffffff,232.0,68.0,0.0,0.0,0.0
82bed7fffffffff,92.0,20.0,0.0,0.0,0.0
82bedffffffffff,34.0,4.0,0.0,0.0,0.0
82bee7fffffffff,489.0,104.0,0.0,0.0,0.0
82beeffffffffff,97.0,14.0,0.0,0.0,0.0
82bef7fffffffff,1683.0,174.0,0.0,0.0,0.0
82bf5ffffffffff,15.0,4.0,0.0,0.0,0.0
82bf8ffffffffff,151.0,0.0,0.0,0.0,24.0
82c987fffffffff,121.0,75.0,0.0,0.0,0.0
82c997fffffffff,545.0,142.0,0.0,0.0,0.0
82c99ffffffffff,26.0,4.0,0.0,0.0,0.0
82c9b7fffffffff,147.0,66.0,0.0,0.0,0.0
82da87fffffffff,739.0,0.0,0.0,0.0,1.0
82da8ffffffffff,48.0,0.0,0.0,0.0,0.0
82da97fffffffff,1309.0,0.0,0.0,0.0,7.0
82daaffffffffff,178.0,0.0,0.0,0.0,22.0
82dab7fffffffff,182.0,0.0,0.0,0.0,0.0
