cell_id,Elanus caeruleus,Elanus caeruleus caeruleus,Elanus caeruleus [vociferus Group]
836526fffffffff,17.0,0.0,0.0
836531fffffffff,8.0,0.0,0.0
836802fffffffff,7.0,0.0,2.0
836842fffffffff,1.0,0.0,1.0
836843fffffffff,1.0,0.0,0.0
836968fffffffff,5.0,0.0,1.0
8372dafffffffff,5.0,0.0,0.0
837a45fffffffff,4.0,0.0,0.0
837a64fffffffff,2.0,2.0,0.0
837a68fffffffff,12.0,12.0,0.0
837a6afffffffff,1.0,0.0,0.0
837a6efffffffff,5.0,5.0,0.0
837b48fffffffff,2.0,2.0,0.0
837b4afffffffff,1.0,1.0,0.0
837b4cfffffffff,28.0,17.0,0.0
837b4efffffffff,1.0,0.0,0.0
837b59fffffffff,4.0,4.0,0.0
838db5fffffffff,3.0,0.0,0.0
839692fffffffff,2.0,2.0,0.0
8396b1fffffffff,5.0,5.0,0.0
839750fffffffff,2.0,2.0,0.0
839751fffffffff,2.0,2.0,0.0
83ac80fffffffff,1.0,1.0,0.0
83aca6fffffffff,1.0,0.0,0.0
83acb1fffffffff,1.0,0.0,0.0
83ad82fffffffff,2.0,0.0,0.0
83bcc2fffffffff,1.0,1.0,0.0
83bcd2fffffffff,1.0,0.0,0.0
83bcdcfffffffff,6.0,1.0,0.0
