cell_id,Ortalis ruficauda,Ortalis ruficauda ruficrissa,Ortalis ruficauda ruficauda
846674bffffffff,5.0,0.0,0.0
8466759ffffffff,1.0,0.0,0.0
846675dffffffff,68.0,0.0,0.0
8466763ffffffff,27.0,0.0,3.0
8466767ffffffff,2.0,0.0,0.0
8466769ffffffff,3.0,0.0,0.0
846676dffffffff,7.0,0.0,0.0
8466e11ffffffff,4.0,0.0,0.0
8466e19ffffffff,2.0,0.0,0.0
8466e39ffffffff,13.0,0.0,0.0
8466e51ffffffff,5.0,0.0,0.0
8466e57ffffffff,36.0,0.0,0.0
8466e59ffffffff,15.0,0.0,0.0
8466ec9ffffffff,4.0,0.0,0.0
8466ecbffffffff,8.0,0.0,0.0
8467413ffffffff,2418.0,0.0,26.0
8467417ffffffff,64.0,0.0,0.0
8467421ffffffff,3.0,0.0,0.0
8467423ffffffff,1.0,0.0,0.0
8467425ffffffff,119.0,0.0,2.0
8467427ffffffff,4.0,0.0,0.0
846742bffffffff,5.0,0.0,0.0
846742dffffffff,10.0,0.0,2.0
8467431ffffffff,11.0,0.0,0.0
8467433ffffffff,153.0,0.0,1.0
8467435ffffffff,12.0,0.0,0.0
8467437ffffffff,166.0,0.0,4.0
846743bffffffff,182.0,0.0,0.0
846743dffffffff,111.0,0.0,3.0
84674a1ffffffff,4.0,0.0,0.0
84674a7ffffffff,189.0,0.0,15.0
84674adffffffff,4.0,0.0,0.0
84674c1ffffffff,17.0,0.0,0.0
84674c5ffffffff,1314.0,0.0,24.0
84674c7ffffffff,3.0,0.0,0.0
84674c9ffffffff,16.0,0.0,0.0
84674cbffffffff,11.0,0.0,0.0
84674cdffffffff,305.0,0.0,5.0
84674d9ffffffff,8.0,0.0,0.0
84674e1ffffffff,101.0,0.0,0.0
84674e5ffffffff,7.0,0.0,0.0
84674e9ffffffff,483.0,0.0,4.0
84674ebffffffff,49.0,0.0,0.0
84674edffffffff,212.0,0.0,0.0
8467513ffffffff,1.0,0.0,0.0
8467519ffffffff,141.0,0.0,0.0
8467523ffffffff,11.0,0.0,0.0
8467525ffffffff,2.0,0.0,0.0
8467531ffffffff,29.0,0.0,0.0
8467535ffffffff,70.0,0.0,0.0
8467537ffffffff,80.0,0.0,0.0
8467539ffffffff,32.0,0.0,0.0
846753dffffffff,2.0,0.0,0.0
8467551ffffffff,7.0,0.0,0.0
8467553ffffffff,9.0,0.0,0.0
8467555ffffffff,2.0,0.0,0.0
846756bffffffff,2.0,0.0,0.0
8467585ffffffff,11.0,0.0,0.0
846758dffffffff,6.0,0.0,0.0
8467591ffffffff,4.0,0.0,2.0
8467595ffffffff,2.0,0.0,0.0
8467599ffffffff,87.0,0.0,4.0
846759bffffffff,5.0,0.0,0.0
84675a1ffffffff,4.0,0.0,0.0
84675a5ffffffff,27.0,0.0,0.0
84675a7ffffffff,2.0,0.0,0.0
84675a9ffffffff,75.0,0.0,0.0
84675abffffffff,47.0,0.0,0.0
84675b1ffffffff,2.0,0.0,0.0
84675b3ffffffff,7.0,0.0,0.0
84675b7ffffffff,1.0,0.0,0.0
84675c1ffffffff,20.0,0.0,0.0
84675c5ffffffff,61.0,0.0,0.0
84675c7ffffffff,135.0,0.0,0.0
84675c9ffffffff,6.0,0.0,0.0
84675cbffffffff,136.0,0.0,0.0
84675cdffffffff,2.0,0.0,0.0
84675d3ffffffff,4.0,0.0,0.0
84675d5ffffffff,5.0,0.0,0.0
84675d9ffffffff,7.0,0.0,0.0
84675ddffffffff,14.0,0.0,0.0
84675e1ffffffff,8.0,0.0,0.0
84675e3ffffffff,43.0,0.0,0.0
84675e7ffffffff,8.0,0.0,0.0
84675e9ffffffff,2.0,0.0,0.0
84675ebffffffff,82.0,0.0,0.0
