cell_id,Pandion haliaetus,Pandion haliaetus haliaetus,Pandion haliaetus carolinensis,Pandion haliaetus ridgwayi,Pandion haliaetus cristatus
821faffffffffff,172.0,3.0,0.0,0.0,0.0
821fb7fffffffff,105.0,0.0,0.0,0.0,0.0
82200ffffffffff,2.0,0.0,0.0,0.0,0.0
822017fffffffff,2.0,0.0,0.0,0.0,0.0
82201ffffffffff,2.0,0.0,0.0,0.0,0.0
82209ffffffffff,2.0,0.0,0.0,0.0,0.0
8220a7fffffffff,1.0,0.0,0.0,0.0,0.0
8220b7fffffffff,2.0,0.0,0.0,0.0,0.0
8220effffffffff,2.0,0.0,0.0,0.0,0.0
82219ffffffffff,11.0,0.0,0.0,0.0,0.0
8221a7fffffffff,2.0,0.0,0.0,0.0,0.0
822407fffffffff,1.0,0.0,0.0,0.0,0.0
82240ffffffffff,1.0,0.0,0.0,0.0,0.0
82242ffffffffff,4.0,0.0,0.0,0.0,0.0
822467fffffffff,1.0,0.0,0.0,0.0,0.0
822477fffffffff,2.0,0.0,0.0,0.0,0.0
822487fffffffff,5.0,3.0,0.0,0.0,0.0
82248ffffffffff,7.0,3.0,0.0,0.0,0.0
822517fffffffff,3.0,0.0,0.0,0.0,0.0
82255ffffffffff,2.0,0.0,0.0,0.0,0.0
82256ffffffffff,2.0,2.0,0.0,0.0,0.0
8225a7fffffffff,1.0,0.0,0.0,0.0,0.0
8225b7fffffffff,2.0,2.0,0.0,0.0,0.0
822607fffffffff,203.0,0.0,24.0,0.0,0.0
82260ffffffffff,659.0,0.0,61.0,0.0,0.0
822617fffffffff,355.0,0.0,13.0,0.0,0.0
82261ffffffffff,157.0,0.0,10.0,0.0,0.0
822627fffffffff,2389.0,0.0,45.0,0.0,0.0
82262ffffffffff,2397.0,0.0,31.0,0.0,0.0
822637fffffffff,89.0,0.0,4.0,0.0,0.0
822647fffffffff,1481.0,0.0,106.0,0.0,0.0
82264ffffffffff,5406.0,0.0,86.0,0.0,0.0
822657fffffffff,2496.0,0.0,27.0,0.0,0.0
82265ffffffffff,985.0,0.0,19.0,0.0,0.0
822667fffffffff,5066.0,0.0,135.0,0.0,0.0
82266ffffffffff,2554.0,0.0,69.0,0.0,0.0
822677fffffffff,861.0,0.0,24.0,0.0,0.0
822687fffffffff,9299.0,0.0,4.0,0.0,0.0
82268ffffffffff,7039.0,0.0,2.0,0.0,0.0
822697fffffffff,4238.0,0.0,662.0,0.0,0.0
82269ffffffffff,4360.0,0.0,37.0,0.0,0.0
8226a7fffffffff,426.0,0.0,22.0,0.0,0.0
8226affffffffff,2839.0,0.0,14.0,0.0,0.0
8226b7fffffffff,2009.0,0.0,84.0,0.0,0.0
8226c7fffffffff,703.0,0.0,18.0,0.0,0.0
8226cffffffffff,2148.0,0.0,59.0,0.0,0.0
8226d7fffffffff,275.0,0.0,13.0,0.0,0.0
8226dffffffffff,463.0,0.0,79.0,0.0,0.0
8226e7fffffffff,1496.0,0.0,23.0,0.0,0.0
8226effffffffff,467.0,0.0,4.0,0.0,0.0
8226f7fffffffff,424.0,0.0,0.0,0.0,0.0
822707fffffffff,466.0,0.0,4.0,0.0,0.0
82270ffffffffff,685.0,0.0,23.0,0.0,0.0
822717fffffffff,159.0,0.0,0.0,0.0,0.0
82271ffffffffff,168.0,0.0,4.0,0.0,0.0
822727fffffffff,1.0,0.0,0.0,0.0,0.0
82272ffffffffff,10.0,0.0,0.0,0.0,0.0
822747fffffffff,2110.0,0.0,14.0,0.0,0.0
82274ffffffffff,7772.0,0.0,9.0,0.0,0.0
822757fffffffff,4948.0,0.0,389.0,0.0,0.0
82275ffffffffff,8173.0,0.0,149.0,0.0,0.0
822767fffffffff,1008.0,0.0,28.0,0.0,0.0
82276ffffffffff,2942.0,0.0,71.0,0.0,0.0
822777fffffffff,204.0,0.0,4.0,0.0,0.0
822787fffffffff,154.0,0.0,3.0,0.0,0.0
82278ffffffffff,243.0,0.0,9.0,0.0,0.0
822797fffffffff,1129.0,0.0,52.0,0.0,0.0
82279ffffffffff,1219.0,0.0,90.0,0.0,0.0
8227a7fffffffff,109.0,0.0,0.0,0.0,0.0
8227affffffffff,107.0,0.0,10.0,0.0,0.0
8227b7fffffffff,103.0,0.0,6.0,0.0,0.0
822807fffffffff,4689.0,0.0,323.0,0.0,0.0
822817fffffffff,5176.0,0.0,70.0,0.0,0.0
82281ffffffffff,9836.0,0.0,1163.0,0.0,0.0
822837fffffffff,27001.0,0.0,1462.0,0.0,0.0
822887fffffffff,6797.0,0.0,500.0,0.0,0.0
82288ffffffffff,6143.0,0.0,270.0,0.0,0.0
822897fffffffff,5425.0,0.0,222.0,0.0,0.0
82289ffffffffff,4573.0,0.0,110.0,0.0,0.0
8228a7fffffffff,73.0,0.0,6.0,0.0,0.0
8228affffffffff,3791.0,0.0,86.0,0.0,0.0
8228b7fffffffff,1617.0,0.0,141.0,0.0,0.0
8228c7fffffffff,1648.0,0.0,54.0,0.0,0.0
8228cffffffffff,28.0,0.0,18.0,0.0,0.0
8228d7fffffffff,24909.0,0.0,823.0,0.0,0.0
8228dffffffffff,4215.0,0.0,29.0,0.0,0.0
8228e7fffffffff,1.0,0.0,0.0,0.0,0.0
8228f7fffffffff,23134.0,0.0,547.0,0.0,0.0
822917fffffffff,2996.0,0.0,203.0,0.0,0.0
82291ffffffffff,803.0,0.0,293.0,0.0,0.0
822987fffffffff,1296.0,0.0,40.0,0.0,0.0
82298ffffffffff,5485.0,0.0,141.0,0.0,0.0
822997fffffffff,973.0,0.0,51.0,0.0,0.0
82299ffffffffff,195.0,0.0,21.0,0.0,0.0
8229a7fffffffff,42236.0,0.0,1393.0,0.0,0.0
8229affffffffff,5950.0,0.0,64.0,0.0,0.0
8229b7fffffffff,3191.0,0.0,302.0,0.0,0.0
822a07fffffffff,2043.0,0.0,249.0,0.0,0.0
822a17fffffffff,93697.0,0.0,5113.0,0.0,0.0
822a1ffffffffff,19.0,0.0,0.0,0.0,0.0
822a27fffffffff,2.0,0.0,0.0,0.0,0.0
822a37fffffffff,56748.0,0.0,6415.0,0.0,0.0
822a4ffffffffff,163.0,0.0,0.0,0.0,0.0
822a87fffffffff,5388.0,0.0,164.0,0.0,0.0
822a8ffffffffff,12363.0,0.0,538.0,0.0,0.0
822a97fffffffff,7796.0,0.0,414.0,0.0,0.0
822a9ffffffffff,1969.0,0.0,43.0,0.0,0.0
822aa7fffffffff,22052.0,0.0,4527.0,0.0,0.0
822aaffffffffff,138721.0,0.0,12362.0,0.0,0.0
822ab7fffffffff,25332.0,0.0,1108.0,0.0,0.0
822ad7fffffffff,7947.0,0.0,285.0,0.0,0.0
822af7fffffffff,27178.0,0.0,1862.0,0.0,0.0
822b07fffffffff,2422.0,0.0,23.0,0.0,0.0
822b0ffffffffff,3760.0,0.0,38.0,0.0,0.0
822b17fffffffff,2593.0,0.0,41.0,0.0,0.0
822b1ffffffffff,15076.0,0.0,476.0,0.0,0.0
822b27fffffffff,303.0,0.0,0.0,0.0,0.0
822b2ffffffffff,358.0,0.0,5.0,0.0,0.0
822b37fffffffff,1202.0,0.0,1.0,0.0,0.0
822b87fffffffff,10652.0,0.0,689.0,0.0,0.0
822b8ffffffffff,20828.0,0.0,2079.0,0.0,0.0
822b97fffffffff,555.0,0.0,40.0,0.0,0.0
822b9ffffffffff,22016.0,0.0,2216.0,0.0,0.0
822ba7fffffffff,2258.0,0.0,6.0,0.0,0.0
822baffffffffff,18264.0,0.0,164.0,0.0,0.0
822bb7fffffffff,139.0,0.0,0.0,0.0,0.0
822c07fffffffff,29.0,0.0,0.0,0.0,0.0
822c0ffffffffff,42.0,0.0,0.0,0.0,0.0
822c17fffffffff,2.0,0.0,0.0,0.0,0.0
822c27fffffffff,173.0,0.0,0.0,0.0,0.0
822c2ffffffffff,20.0,0.0,0.0,0.0,0.0
822c47fffffffff,1.0,0.0,0.0,0.0,0.0
822c77fffffffff,1.0,0.0,0.0,0.0,0.0
822c87fffffffff,20.0,2.0,0.0,0.0,0.0
822c97fffffffff,362.0,25.0,0.0,0.0,0.0
822caffffffffff,3.0,0.0,0.0,0.0,0.0
822cc7fffffffff,147.0,0.0,0.0,0.0,0.0
