cell_id,Petroica macrocephala,Petroica macrocephala [macrocephala Group],Petroica macrocephala dannefaerdi
84bb2d3ffffffff,86.0,84.0,0.0
84bb2dbffffffff,6.0,4.0,0.0
84bb501ffffffff,14.0,6.0,0.0
84bb503ffffffff,26.0,6.0,0.0
84bb507ffffffff,17.0,3.0,0.0
84bb509ffffffff,4.0,2.0,0.0
84bb50bffffffff,26.0,13.0,0.0
84bb50dffffffff,22.0,12.0,0.0
84bb513ffffffff,2.0,2.0,0.0
84bb517ffffffff,10.0,1.0,0.0
84bb52bffffffff,145.0,98.0,0.0
84bb531ffffffff,5.0,5.0,0.0
84bb539ffffffff,39.0,32.0,0.0
84bb53bffffffff,625.0,352.0,0.0
84bb53dffffffff,69.0,53.0,0.0
84bb545ffffffff,15.0,11.0,0.0
84bb547ffffffff,3.0,0.0,0.0
84bb54dffffffff,9.0,6.0,0.0
84bb561ffffffff,20.0,6.0,0.0
84bb563ffffffff,22.0,4.0,0.0
84bb569ffffffff,26.0,16.0,0.0
84bb56dffffffff,19.0,15.0,0.0
84bb581ffffffff,8.0,8.0,0.0
84bb5e1ffffffff,16.0,10.0,0.0
84bb5e5ffffffff,10.0,2.0,0.0
84bb5e9ffffffff,31.0,15.0,0.0
84bb5ebffffffff,4.0,2.0,0.0
84bb5edffffffff,9.0,9.0,0.0
84bb721ffffffff,65.0,59.0,0.0
84bb725ffffffff,26.0,26.0,0.0
84bb729ffffffff,28.0,17.0,0.0
84bb72bffffffff,63.0,40.0,0.0
84bb72dffffffff,22.0,8.0,0.0
84bb741ffffffff,7.0,4.0,0.0
84bb743ffffffff,4.0,4.0,0.0
84bb749ffffffff,25.0,12.0,0.0
84bb74bffffffff,63.0,42.0,0.0
84bb767ffffffff,46.0,32.0,0.0
84d44dbffffffff,2.0,0.0,0.0
84d46b3ffffffff,66.0,0.0,0.0
84da189ffffffff,61.0,29.0,0.0
84da18bffffffff,4.0,0.0,0.0
84da1d5ffffffff,10.0,0.0,0.0
84da811ffffffff,49.0,33.0,0.0
84da813ffffffff,168.0,106.0,0.0
84da815ffffffff,78.0,50.0,0.0
84da817ffffffff,139.0,72.0,0.0
84da819ffffffff,3.0,2.0,0.0
84da81dffffffff,11.0,11.0,0.0
84da821ffffffff,112.0,28.0,0.0
84da823ffffffff,75.0,47.0,0.0
84da825ffffffff,36.0,19.0,0.0
84da827ffffffff,71.0,26.0,0.0
84da82bffffffff,5.0,1.0,0.0
84da82dffffffff,3.0,0.0,0.0
84da831ffffffff,68.0,0.0,0.0
84da833ffffffff,17.0,2.0,0.0
84da835ffffffff,122.0,80.0,0.0
84da837ffffffff,16.0,12.0,0.0
84da839ffffffff,185.0,114.0,0.0
84da83bffffffff,119.0,47.0,0.0
84da83dffffffff,90.0,37.0,0.0
84da843ffffffff,181.0,102.0,0.0
84da847ffffffff,4.0,1.0,0.0
84da851ffffffff,8.0,3.0,0.0
84da853ffffffff,3.0,0.0,0.0
84da855ffffffff,34.0,24.0,0.0
84da857ffffffff,16.0,5.0,0.0
84da85bffffffff,188.0,120.0,0.0
84da85dffffffff,3.0,1.0,0.0
84da863ffffffff,2.0,2.0,0.0
84da867ffffffff,45.0,21.0,0.0
84da8c1ffffffff,25.0,22.0,0.0
84da8c3ffffffff,73.0,67.0,0.0
84da8c5ffffffff,62.0,52.0,0.0
84da8c7ffffffff,157.0,150.0,0.0
84da8c9ffffffff,196.0,196.0,0.0
84da8cdffffffff,53.0,43.0,0.0
84da8e1ffffffff,8.0,2.0,0.0
84da8e5ffffffff,2.0,2.0,0.0
84da8e9ffffffff,173.0,144.0,0.0
84da8ebffffffff,46.0,42.0,0.0
84da8edffffffff,681.0,428.0,0.0
84da901ffffffff,17.0,12.0,0.0
84da903ffffffff,12.0,2.0,0.0
84da905ffffffff,13.0,11.0,0.0
84da907ffffffff,52.0,22.0,0.0
84da909ffffffff,47.0,46.0,0.0
84da90bffffffff,281.0,159.0,0.0
84da90dffffffff,46.0,20.0,0.0
84da919ffffffff,40.0,28.0,0.0
84da91bffffffff,181.0,118.0,0.0
84da91dffffffff,96.0,72.0,0.0
84da921ffffffff,7.0,4.0,0.0
84da925ffffffff,103.0,95.0,0.0
84da929ffffffff,47.0,27.0,0.0
84da92bffffffff,14.0,9.0,0.0
84da92dffffffff,31.0,7.0,0.0
84da943ffffffff,6.0,1.0,0.0
84da945ffffffff,3.0,0.0,0.0
84da947ffffffff,17.0,11.0,0.0
84da951ffffffff,5.0,3.0,0.0
84da953ffffffff,3.0,0.0,0.0
84da955ffffffff,259.0,165.0,0.0
84da957ffffffff,27.0,26.0,0.0
84da95bffffffff,17.0,5.0,0.0
84da95dffffffff,6.0,6.0,0.0
84da961ffffffff,49.0,36.0,0.0
84da963ffffffff,11.0,4.0,0.0
84da965ffffffff,8.0,5.0,0.0
84da967ffffffff,11.0,7.0,0.0
84da969ffffffff,12.0,8.0,0.0
84da96bffffffff,3.0,3.0,0.0
84da96dffffffff,33.0,33.0,0.0
84da9c9ffffffff,105.0,63.0,0.0
84daa87ffffffff,2.0,0.0,0.0
84daa91ffffffff,69.0,2.0,20.0
84daaa1ffffffff,40.0,16.0,0.0
84daaa3ffffffff,25.0,6.0,0.0
84daaa5ffffffff,2.0,0.0,0.0
84daaa7ffffffff,4.0,2.0,0.0
84daaa9ffffffff,7.0,7.0,0.0
84daaabffffffff,557.0,267.0,0.0
84daaadffffffff,7.0,0.0,0.0
84daabdffffffff,3.0,1.0,0.0
84dab35ffffffff,42.0,27.0,0.0
84dab37ffffffff,10.0,5.0,0.0
