cell_id,Arremon flavirostris,Arremon flavirostris polionotus,Arremon flavirostris flavirostris
84a8857ffffffff,4.0,0.0,4.0
84a885bffffffff,2.0,0.0,0.0
84a8889ffffffff,2.0,0.0,0.0
84a8895ffffffff,6.0,0.0,0.0
84a88bbffffffff,2.0,0.0,0.0
84a88c1ffffffff,7.0,0.0,2.0
84a88c3ffffffff,8.0,0.0,0.0
84a88c7ffffffff,1.0,0.0,1.0
84a88cdffffffff,3.0,0.0,2.0
84a88d5ffffffff,4.0,0.0,0.0
84a88ddffffffff,27.0,0.0,10.0
84a88e9ffffffff,28.0,0.0,0.0
84a8a13ffffffff,3.0,0.0,2.0
84a8a85ffffffff,7.0,0.0,0.0
84a8a89ffffffff,1.0,0.0,1.0
84a8a91ffffffff,13.0,0.0,1.0
84a8a95ffffffff,4.0,0.0,4.0
84a8a97ffffffff,30.0,0.0,10.0
84a8a99ffffffff,3.0,0.0,3.0
84a8aa5ffffffff,2.0,0.0,0.0
84a8aa7ffffffff,2.0,0.0,0.0
84a8aadffffffff,8.0,0.0,0.0
84a8ac1ffffffff,1.0,0.0,1.0
84a8ac5ffffffff,1.0,0.0,1.0
84a8acbffffffff,1.0,0.0,1.0
84a8ad1ffffffff,3.0,0.0,0.0
84a8ad3ffffffff,28.0,0.0,6.0
84a8ad5ffffffff,2.0,0.0,0.0
84a8ad9ffffffff,5.0,0.0,0.0
84a8ae1ffffffff,17.0,0.0,3.0
84a8ae3ffffffff,4.0,0.0,0.0
84a8ae7ffffffff,1.0,0.0,0.0
84a8c15ffffffff,1.0,0.0,0.0
84a8c23ffffffff,13.0,0.0,0.0
84a8c25ffffffff,83.0,0.0,38.0
84a8c2bffffffff,1.0,0.0,0.0
84a8c63ffffffff,2.0,0.0,0.0
84a8d01ffffffff,1.0,0.0,0.0
84a8d19ffffffff,59.0,0.0,5.0
84a8d1bffffffff,59.0,0.0,14.0
84a8d37ffffffff,3.0,0.0,0.0
84a8d53ffffffff,3.0,0.0,0.0
84a8dd7ffffffff,2.0,0.0,0.0
84a8de1ffffffff,20.0,0.0,1.0
84a8de3ffffffff,16.0,0.0,2.0
84a8de7ffffffff,2.0,0.0,2.0
84a8de9ffffffff,6.0,0.0,0.0
84a8debffffffff,20.0,0.0,0.0
84a8ec9ffffffff,2.0,0.0,0.0
84a8f03ffffffff,1.0,0.0,0.0
84a8f0bffffffff,1.0,0.0,0.0
84a8f41ffffffff,14.0,0.0,2.0
84a8f43ffffffff,6.0,0.0,0.0
84a8f45ffffffff,3.0,0.0,0.0
84a8f47ffffffff,1.0,0.0,0.0
84a8f4bffffffff,1.0,0.0,0.0
84a8f4dffffffff,4.0,0.0,0.0
84a8f57ffffffff,4.0,0.0,0.0
84a8f63ffffffff,4.0,0.0,0.0
84a940dffffffff,9.0,0.0,0.0
84a9411ffffffff,93.0,0.0,0.0
84a9413ffffffff,23.0,0.0,0.0
84a9417ffffffff,6.0,0.0,0.0
84a9419ffffffff,23.0,0.0,0.0
84a941bffffffff,91.0,0.0,0.0
84a9425ffffffff,3.0,0.0,0.0
84a9427ffffffff,1.0,0.0,0.0
84a9431ffffffff,2.0,0.0,0.0
84a9433ffffffff,2.0,0.0,0.0
84a9437ffffffff,2.0,0.0,0.0
84a943dffffffff,4.0,0.0,0.0
84a9443ffffffff,1.0,0.0,0.0
84a9447ffffffff,23.0,0.0,0.0
84a944bffffffff,5.0,0.0,0.0
84a9451ffffffff,2.0,0.0,0.0
84a9453ffffffff,33.0,0.0,0.0
84a9457ffffffff,23.0,0.0,0.0
84a945bffffffff,27.0,0.0,0.0
84a9461ffffffff,53.0,0.0,0.0
84a9465ffffffff,18.0,0.0,0.0
84a946bffffffff,2.0,0.0,0.0
84a9483ffffffff,2.0,0.0,0.0
84a94a9ffffffff,1.0,0.0,0.0
84a94c1ffffffff,14.0,0.0,0.0
84a94c3ffffffff,3.0,0.0,0.0
84a94c5ffffffff,19.0,0.0,0.0
84a94c7ffffffff,57.0,0.0,0.0
84a94d5ffffffff,2.0,0.0,0.0
84a94ddffffffff,12.0,0.0,0.0
84a94e1ffffffff,3.0,0.0,0.0
84a94e3ffffffff,2.0,0.0,0.0
84a94e5ffffffff,65.0,0.0,0.0
84a94e7ffffffff,41.0,0.0,0.0
84a94e9ffffffff,15.0,0.0,0.0
84a94edffffffff,20.0,0.0,0.0
84a9507ffffffff,2.0,0.0,0.0
84a950dffffffff,4.0,0.0,0.0
84a9515ffffffff,1.0,0.0,0.0
84a9517ffffffff,2.0,0.0,0.0
84a9531ffffffff,4.0,0.0,0.0
84a9533ffffffff,37.0,0.0,0.0
84a9537ffffffff,1.0,1.0,0.0
84a953bffffffff,374.0,17.0,0.0
84a959bffffffff,1.0,0.0,0.0
84a95a5ffffffff,12.0,0.0,0.0
84a95abffffffff,2.0,0.0,0.0
84a95adffffffff,1.0,0.0,0.0
84a95c1ffffffff,1.0,0.0,0.0
84a95c3ffffffff,3.0,0.0,0.0
84a95c5ffffffff,12.0,0.0,0.0
84a95c9ffffffff,20.0,0.0,0.0
84a95d9ffffffff,6.0,0.0,0.0
84a95dbffffffff,25.0,0.0,0.0
84a95e5ffffffff,6.0,0.0,0.0
84a95edffffffff,315.0,6.0,0.0
84a9611ffffffff,42.0,0.0,0.0
84a9613ffffffff,3.0,0.0,0.0
84a9617ffffffff,27.0,0.0,0.0
84a9619ffffffff,11.0,0.0,0.0
84a9631ffffffff,10.0,0.0,0.0
84a9637ffffffff,7.0,0.0,0.0
84a965bffffffff,2.0,0.0,0.0
84a9685ffffffff,63.0,0.0,0.0
84a96a5ffffffff,10.0,0.0,0.0
84a96a7ffffffff,26.0,0.0,0.0
84a96a9ffffffff,10.0,0.0,0.0
84a96abffffffff,11.0,0.0,0.0
84a96adffffffff,118.0,0.0,0.0
84a96b1ffffffff,4.0,0.0,0.0
84a96b5ffffffff,7.0,0.0,0.0
84a96b9ffffffff,19.0,0.0,0.0
84a96bbffffffff,2.0,0.0,0.0
84a96bdffffffff,1.0,0.0,0.0
84a96c5ffffffff,31.0,0.0,0.0
84a96e1ffffffff,3.0,0.0,0.0
84a96e5ffffffff,22.0,0.0,0.0
84a96e7ffffffff,68.0,0.0,0.0
84a96e9ffffffff,27.0,0.0,0.0
84b268bffffffff,1.0,0.0,0.0
84b26d1ffffffff,7.0,0.0,0.0
84b26d7ffffffff,8.0,0.0,0.0
84b3499ffffffff,2.0,0.0,0.0
84b34dbffffffff,5.0,0.0,0.0
84c2c97ffffffff,2.0,0.0,0.0
84c2cb1ffffffff,12.0,0.0,0.0
84c2cb3ffffffff,3.0,0.0,0.0
