cell_id,Fulvetta vinipectus,Fulvetta vinipectus vinipectus/kangrae,Fulvetta vinipectus chumbiensis,Fulvetta vinipectus austeni,Fulvetta vinipectus ripponi,Fulvetta vinipectus bieti/perstriata,Fulvetta vinipectus valentinae
843ce51ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
843ce59ffffffff,201.0,0.0,0.0,0.0,0.0,0.0,0.0
843ce5bffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
843ce95ffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8440403ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8440431ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8440435ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8440439ffffffff,53.0,0.0,0.0,0.0,0.0,0.0,0.0
84404c5ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
84404c7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84404e1ffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8440521ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8440529ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8440585ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8440587ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8440589ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
844058dffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8440591ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
844059dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84405b9ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
84405c9ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
84405cbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84405ddffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8440733ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8440c19ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8440c59ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8440e13ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8440ec1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8440ec5ffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
8440ec7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8440ee5ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8440eebffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8441433ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8441593ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
844159bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8464987ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
