cell_id,Cacicus uropygialis,Cacicus uropygialis microrhynchus,Cacicus uropygialis pacificus,Cacicus uropygialis uropygialis
8467921ffffffff,3.0,0.0,0.0,0.0
846793bffffffff,8.0,0.0,0.0,0.0
8467945ffffffff,2.0,0.0,0.0,0.0
8467961ffffffff,4.0,0.0,0.0,0.0
8467969ffffffff,1.0,0.0,0.0,0.0
84679a1ffffffff,159.0,0.0,0.0,0.0
84679a3ffffffff,1.0,0.0,0.0,0.0
84679a5ffffffff,2690.0,0.0,0.0,0.0
84679a7ffffffff,333.0,0.0,0.0,0.0
84679adffffffff,34.0,0.0,0.0,0.0
84679b5ffffffff,144.0,0.0,0.0,0.0
84679b7ffffffff,629.0,0.0,0.0,0.0
846d683ffffffff,3.0,0.0,0.0,0.0
846d689ffffffff,2.0,0.0,0.0,0.0
846d68bffffffff,529.0,0.0,0.0,0.0
846d68dffffffff,2.0,0.0,0.0,0.0
846d691ffffffff,33.0,0.0,0.0,0.0
846d693ffffffff,5.0,0.0,0.0,0.0
846d697ffffffff,64.0,0.0,0.0,0.0
846d699ffffffff,187.0,0.0,0.0,0.0
846d69bffffffff,1211.0,0.0,0.0,0.0
846d69dffffffff,553.0,0.0,0.0,0.0
846d6d1ffffffff,43.0,0.0,0.0,0.0
846d6d3ffffffff,144.0,0.0,0.0,0.0
846d6d5ffffffff,24.0,0.0,0.0,0.0
846d6d7ffffffff,23.0,0.0,0.0,0.0
848e649ffffffff,7.0,0.0,0.0,0.0
848e651ffffffff,1.0,0.0,0.0,0.0
848e655ffffffff,1.0,0.0,0.0,0.0
848f0d9ffffffff,2.0,0.0,0.0,0.0
848f0dbffffffff,74.0,0.0,15.0,0.0
848f28dffffffff,8.0,0.0,0.0,0.0
848f291ffffffff,13.0,0.0,6.0,0.0
848f293ffffffff,3.0,0.0,0.0,0.0
848f295ffffffff,33.0,0.0,1.0,0.0
848f297ffffffff,1.0,0.0,1.0,0.0
848f29bffffffff,2.0,0.0,0.0,0.0
848f2bbffffffff,21.0,0.0,4.0,0.0
848f2c1ffffffff,1.0,0.0,0.0,0.0
848f2c3ffffffff,17.0,0.0,4.0,0.0
848f2c9ffffffff,7.0,0.0,3.0,0.0
848f2cbffffffff,45.0,0.0,0.0,0.0
848f2cdffffffff,133.0,0.0,15.0,0.0
848f2d3ffffffff,5.0,0.0,0.0,4.0
848f2d5ffffffff,1.0,0.0,0.0,0.0
848f2ddffffffff,1.0,0.0,0.0,0.0
848f421ffffffff,17.0,0.0,0.0,0.0
848f425ffffffff,6.0,0.0,0.0,0.0
848f429ffffffff,6.0,0.0,0.0,0.0
848f439ffffffff,2.0,0.0,0.0,2.0
848f461ffffffff,2.0,0.0,0.0,0.0
848f463ffffffff,14.0,0.0,0.0,6.0
848f465ffffffff,14.0,0.0,0.0,0.0
848f467ffffffff,11.0,0.0,0.0,2.0
848f4a5ffffffff,11.0,0.0,0.0,0.0
848f4adffffffff,11.0,0.0,0.0,0.0
848f549ffffffff,67.0,0.0,0.0,0.0
848f559ffffffff,6.0,0.0,0.0,3.0
848f5d3ffffffff,2.0,0.0,0.0,0.0
848f5d9ffffffff,2.0,0.0,0.0,0.0
848f5ddffffffff,17.0,0.0,0.0,0.0
848f705ffffffff,54.0,0.0,0.0,17.0
848f70dffffffff,2.0,0.0,0.0,2.0
848f721ffffffff,41.0,0.0,0.0,30.0
848f727ffffffff,9.0,0.0,0.0,0.0
848f729ffffffff,104.0,0.0,0.0,49.0
848f733ffffffff,323.0,0.0,0.0,100.0
848f737ffffffff,3.0,0.0,0.0,0.0
848f745ffffffff,5.0,0.0,0.0,0.0
848f74dffffffff,1.0,0.0,0.0,0.0
848f763ffffffff,11.0,0.0,0.0,1.0
848f765ffffffff,9.0,0.0,0.0,0.0
848f769ffffffff,3.0,0.0,0.0,0.0
848f76bffffffff,60.0,0.0,0.0,5.0
