cell_id,Rissa tridactyla,Rissa tridactyla tridactyla,Rissa tridactyla pollicaris
822db7fffffffff,11.0,0.0,0.0
822e17fffffffff,32.0,0.0,17.0
822e1ffffffffff,9.0,0.0,0.0
822e2ffffffffff,2.0,0.0,0.0
822e67fffffffff,4.0,0.0,2.0
822e8ffffffffff,33.0,0.0,0.0
822e9ffffffffff,10.0,0.0,4.0
822ea7fffffffff,11.0,0.0,0.0
822eaffffffffff,16.0,0.0,2.0
822ef7fffffffff,4.0,0.0,0.0
822f5ffffffffff,84.0,0.0,57.0
82301ffffffffff,4.0,0.0,2.0
8230c7fffffffff,2.0,0.0,0.0
8230e7fffffffff,2.0,0.0,0.0
8230effffffffff,11.0,0.0,0.0
823427fffffffff,6.0,0.0,0.0
823437fffffffff,2.0,0.0,0.0
82344ffffffffff,3.0,0.0,0.0
823467fffffffff,2.0,0.0,0.0
82346ffffffffff,10.0,0.0,0.0
82351ffffffffff,41.0,0.0,0.0
8235affffffffff,2.0,0.0,0.0
823827fffffffff,5.0,0.0,0.0
823917fffffffff,249.0,0.0,0.0
82391ffffffffff,143.0,0.0,0.0
823927fffffffff,200.0,0.0,0.0
82392ffffffffff,7.0,0.0,0.0
823937fffffffff,317.0,0.0,0.0
823947fffffffff,18.0,0.0,0.0
823967fffffffff,1.0,0.0,0.0
82396ffffffffff,7.0,0.0,0.0
823977fffffffff,2.0,0.0,0.0
823b67fffffffff,1.0,0.0,0.0
8240e7fffffffff,9.0,0.0,0.0
824ba7fffffffff,19.0,0.0,0.0
824bb7fffffffff,4.0,0.0,0.0
8255a7fffffffff,1.0,0.0,0.0
82574ffffffffff,3.0,0.0,0.0
