cell_id,Lathrotriccus euleri,Lathrotriccus euleri [flaviventris Group],Lathrotriccus euleri euleri/argentinus
84a8315ffffffff,10.0,0.0,0.0
84a8317ffffffff,15.0,0.0,0.0
84a8319ffffffff,21.0,0.0,0.0
84a831bffffffff,29.0,0.0,0.0
84a831dffffffff,24.0,0.0,0.0
84a8331ffffffff,2.0,0.0,0.0
84a8333ffffffff,16.0,0.0,0.0
84a8337ffffffff,5.0,0.0,0.0
84a833bffffffff,75.0,0.0,0.0
84a8351ffffffff,4.0,0.0,0.0
84a8353ffffffff,150.0,0.0,0.0
84a8357ffffffff,49.0,0.0,0.0
84a8359ffffffff,13.0,0.0,0.0
84a835bffffffff,64.0,0.0,0.0
84a835dffffffff,2.0,0.0,0.0
84a840dffffffff,2.0,0.0,0.0
84a8441ffffffff,2.0,0.0,0.0
84a8447ffffffff,4.0,0.0,0.0
84a8449ffffffff,2.0,0.0,0.0
84a844dffffffff,3.0,0.0,0.0
84a8463ffffffff,1.0,0.0,0.0
84a8495ffffffff,1.0,0.0,0.0
84a8559ffffffff,4.0,0.0,0.0
84a8591ffffffff,24.0,0.0,0.0
84a8599ffffffff,21.0,0.0,0.0
84a85d3ffffffff,12.0,0.0,0.0
84a8601ffffffff,4.0,0.0,0.0
84a860dffffffff,12.0,0.0,0.0
84a8633ffffffff,5.0,0.0,0.0
84a865bffffffff,3.0,0.0,0.0
84a86e7ffffffff,3.0,0.0,0.0
84a871bffffffff,1.0,0.0,0.0
84a8759ffffffff,4.0,0.0,0.0
84a8805ffffffff,46.0,0.0,0.0
84a8807ffffffff,21.0,0.0,0.0
84a8809ffffffff,2.0,0.0,0.0
84a880dffffffff,6.0,0.0,0.0
84a8811ffffffff,130.0,0.0,0.0
84a8813ffffffff,3.0,0.0,0.0
84a8817ffffffff,2.0,0.0,0.0
84a8819ffffffff,6.0,0.0,0.0
84a881bffffffff,70.0,0.0,0.0
84a8825ffffffff,8.0,0.0,0.0
84a882bffffffff,2.0,0.0,0.0
84a882dffffffff,48.0,0.0,0.0
84a8839ffffffff,5.0,0.0,0.0
84a883bffffffff,8.0,0.0,0.0
84a883dffffffff,3.0,0.0,0.0
84a8849ffffffff,157.0,0.0,0.0
84a884bffffffff,5.0,0.0,0.0
84a884dffffffff,19.0,0.0,0.0
84a8853ffffffff,2.0,0.0,0.0
84a8857ffffffff,14.0,0.0,0.0
84a885bffffffff,4.0,0.0,0.0
84a8863ffffffff,9.0,0.0,0.0
84a8867ffffffff,1.0,0.0,0.0
84a8895ffffffff,10.0,0.0,0.0
84a88a9ffffffff,6.0,0.0,0.0
84a88bbffffffff,20.0,0.0,0.0
84a88c1ffffffff,5.0,0.0,0.0
84a88cdffffffff,1.0,0.0,0.0
84a88ddffffffff,13.0,0.0,0.0
84a88e7ffffffff,2.0,0.0,0.0
84a88e9ffffffff,12.0,0.0,0.0
84a8917ffffffff,2.0,0.0,0.0
84a8919ffffffff,44.0,0.0,0.0
84a8953ffffffff,12.0,0.0,0.0
84a89b3ffffffff,10.0,0.0,0.0
84a8a03ffffffff,14.0,0.0,0.0
84a8a07ffffffff,102.0,0.0,0.0
84a8a11ffffffff,22.0,0.0,0.0
84a8a13ffffffff,283.0,0.0,0.0
84a8a15ffffffff,50.0,0.0,0.0
84a8a17ffffffff,99.0,0.0,0.0
84a8a19ffffffff,86.0,0.0,0.0
84a8a1bffffffff,3.0,0.0,0.0
84a8a1dffffffff,8.0,0.0,0.0
84a8a21ffffffff,19.0,0.0,0.0
84a8a23ffffffff,216.0,0.0,0.0
84a8a27ffffffff,94.0,0.0,0.0
84a8a2bffffffff,9.0,0.0,0.0
84a8a31ffffffff,10.0,0.0,0.0
84a8a33ffffffff,8.0,0.0,0.0
84a8a35ffffffff,34.0,0.0,0.0
84a8a37ffffffff,1.0,0.0,0.0
84a8a39ffffffff,16.0,0.0,0.0
84a8a3bffffffff,4.0,0.0,0.0
84a8a3dffffffff,146.0,0.0,0.0
84a8a53ffffffff,86.0,0.0,0.0
84a8a85ffffffff,3.0,0.0,0.0
84a8a8bffffffff,1.0,0.0,0.0
84a8a91ffffffff,28.0,0.0,0.0
84a8a97ffffffff,10.0,0.0,0.0
84a8a99ffffffff,3.0,0.0,0.0
84a8aa5ffffffff,6.0,0.0,0.0
84a8aa7ffffffff,4.0,0.0,0.0
84a8aadffffffff,23.0,0.0,0.0
84a8ab9ffffffff,4.0,0.0,0.0
84a8ac5ffffffff,5.0,0.0,0.0
84a8ac9ffffffff,9.0,0.0,0.0
84a8acbffffffff,8.0,0.0,0.0
84a8acdffffffff,42.0,0.0,0.0
84a8ad1ffffffff,40.0,0.0,0.0
84a8ad3ffffffff,11.0,0.0,0.0
84a8ad5ffffffff,4.0,0.0,0.0
84a8addffffffff,1.0,0.0,0.0
84a8ae1ffffffff,6.0,0.0,0.0
84a8ae3ffffffff,4.0,0.0,0.0
84a8ae5ffffffff,16.0,0.0,0.0
84a8ae9ffffffff,4.0,0.0,0.0
84a8aebffffffff,1.0,0.0,0.0
84a8aedffffffff,1.0,0.0,0.0
84a8b13ffffffff,3.0,0.0,0.0
84a8b1bffffffff,8.0,0.0,0.0
84a8c03ffffffff,31.0,0.0,0.0
84a8c05ffffffff,22.0,0.0,0.0
84a8c07ffffffff,1.0,0.0,0.0
84a8c09ffffffff,1.0,0.0,0.0
84a8c0dffffffff,4.0,0.0,0.0
84a8c23ffffffff,27.0,0.0,0.0
84a8c25ffffffff,95.0,0.0,0.0
84a8c2bffffffff,8.0,0.0,0.0
84a8c43ffffffff,2.0,0.0,0.0
84a8c63ffffffff,6.0,0.0,0.0
84a8c97ffffffff,3.0,0.0,0.0
84a8cebffffffff,6.0,0.0,0.0
84a8d19ffffffff,25.0,0.0,0.0
84a8d1bffffffff,84.0,0.0,0.0
84a8d43ffffffff,6.0,0.0,0.0
84a8d47ffffffff,2.0,0.0,0.0
84a8d53ffffffff,1.0,0.0,0.0
84a8d69ffffffff,4.0,0.0,0.0
84a8da9ffffffff,4.0,0.0,0.0
84a8dadffffffff,1.0,0.0,0.0
84a8dd7ffffffff,1.0,0.0,0.0
84a8dd9ffffffff,2.0,0.0,0.0
84a8de1ffffffff,5.0,0.0,0.0
84a8de3ffffffff,17.0,0.0,0.0
84a8debffffffff,15.0,0.0,0.0
84a8e65ffffffff,1.0,0.0,0.0
84a8e69ffffffff,4.0,0.0,0.0
84a8ec9ffffffff,10.0,0.0,0.0
84a8f0bffffffff,2.0,0.0,0.0
84a8f4dffffffff,7.0,0.0,0.0
84a8f63ffffffff,6.0,0.0,0.0
84a8f6bffffffff,1.0,0.0,0.0
84a9013ffffffff,13.0,0.0,0.0
84a9017ffffffff,3.0,0.0,0.0
84a9033ffffffff,5.0,0.0,0.0
84a9051ffffffff,15.0,0.0,0.0
84a9057ffffffff,4.0,0.0,0.0
84a9087ffffffff,2.0,0.0,0.0
84a9089ffffffff,2.0,0.0,0.0
84a908bffffffff,2.0,0.0,0.0
84a9095ffffffff,7.0,0.0,0.0
84a909dffffffff,12.0,0.0,0.0
84a90a5ffffffff,1.0,0.0,0.0
84a90a7ffffffff,4.0,0.0,0.0
84a90adffffffff,2.0,0.0,0.0
84a90b9ffffffff,2.0,0.0,0.0
84a90bbffffffff,2.0,0.0,0.0
84a90c3ffffffff,1.0,0.0,0.0
84a90c7ffffffff,2.0,0.0,0.0
84a90c9ffffffff,6.0,0.0,0.0
84a90cdffffffff,3.0,0.0,0.0
84a90d5ffffffff,5.0,0.0,0.0
84a90d9ffffffff,3.0,0.0,0.0
84a90e1ffffffff,4.0,0.0,0.0
84a90e5ffffffff,32.0,0.0,0.0
84a9187ffffffff,2.0,0.0,0.0
84a918bffffffff,22.0,0.0,0.0
84a9191ffffffff,26.0,0.0,0.0
84a9193ffffffff,2.0,0.0,0.0
84a9195ffffffff,28.0,0.0,0.0
84a919dffffffff,5.0,0.0,0.0
84a91b1ffffffff,48.0,0.0,0.0
84a91b3ffffffff,2.0,0.0,0.0
84a91b5ffffffff,26.0,0.0,0.0
84a91b7ffffffff,30.0,0.0,0.0
84a91b9ffffffff,2.0,0.0,0.0
84a91bbffffffff,11.0,0.0,0.0
84a91bdffffffff,4.0,0.0,0.0
84a91d1ffffffff,10.0,0.0,0.0
84a91d7ffffffff,10.0,0.0,0.0
84a91d9ffffffff,34.0,0.0,0.0
84a91dbffffffff,2.0,0.0,0.0
84a9293ffffffff,2.0,0.0,0.0
84a9295ffffffff,2.0,0.0,0.0
84a92adffffffff,2.0,0.0,0.0
84a92c3ffffffff,3.0,0.0,0.0
84a92c5ffffffff,5.0,0.0,0.0
84a92c7ffffffff,2.0,0.0,0.0
84a92cbffffffff,171.0,0.0,0.0
84a92cdffffffff,2.0,0.0,0.0
84a92d7ffffffff,2.0,0.0,0.0
84a92ddffffffff,14.0,0.0,0.0
84a92e1ffffffff,2.0,0.0,0.0
84a92e3ffffffff,4.0,0.0,0.0
84a92ebffffffff,24.0,0.0,0.0
84a9407ffffffff,3.0,0.0,0.0
84a940dffffffff,11.0,0.0,0.0
84a9411ffffffff,10.0,0.0,0.0
84a9413ffffffff,21.0,0.0,0.0
84a9419ffffffff,2.0,0.0,0.0
84a941bffffffff,48.0,0.0,0.0
84a9425ffffffff,79.0,0.0,0.0
84a9427ffffffff,9.0,0.0,0.0
84a9429ffffffff,7.0,0.0,0.0
84a9433ffffffff,8.0,0.0,0.0
84a9437ffffffff,2.0,0.0,0.0
84a943dffffffff,111.0,0.0,0.0
84a9441ffffffff,37.0,0.0,0.0
84a9443ffffffff,3.0,0.0,0.0
84a9445ffffffff,17.0,0.0,0.0
84a9447ffffffff,4.0,0.0,0.0
84a9449ffffffff,1.0,0.0,0.0
84a945bffffffff,4.0,0.0,0.0
84a9461ffffffff,6.0,0.0,0.0
84a9463ffffffff,2.0,0.0,0.0
84a9465ffffffff,96.0,0.0,0.0
84a9467ffffffff,9.0,0.0,0.0
84a946bffffffff,5.0,0.0,0.0
84a94a9ffffffff,1.0,0.0,0.0
84a94c1ffffffff,8.0,0.0,0.0
84a94c5ffffffff,7.0,0.0,0.0
84a94c7ffffffff,39.0,0.0,0.0
84a94ddffffffff,4.0,0.0,0.0
84a94e5ffffffff,15.0,0.0,0.0
84a94e9ffffffff,12.0,0.0,0.0
84a9501ffffffff,36.0,0.0,0.0
84a9503ffffffff,6.0,0.0,0.0
84a9507ffffffff,71.0,0.0,0.0
84a9509ffffffff,43.0,0.0,0.0
84a950bffffffff,44.0,0.0,0.0
84a950dffffffff,26.0,0.0,0.0
84a9511ffffffff,2.0,0.0,0.0
84a9515ffffffff,2.0,0.0,0.0
84a9517ffffffff,2.0,0.0,0.0
84a9521ffffffff,4.0,0.0,0.0
