cell_id,Geothlypis trichas,Geothlypis trichas [arizela Group],Geothlypis trichas [melanops Group],Geothlypis trichas [trichas Group],Geothlypis trichas insperata,Geothlypis trichas chapalensis
8426427ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426437ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
8426439ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
842644dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426461ffffffff,24.0,0.0,0.0,0.0,0.0,0.0
8426463ffffffff,43.0,0.0,0.0,0.0,0.0,0.0
8426467ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842646bffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8426481ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8426483ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426487ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426489ffffffff,27.0,0.0,0.0,0.0,0.0,0.0
842648bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426493ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84264a1ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
84264a5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84264a7ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
84264adffffffff,12.0,0.0,0.0,0.0,0.0,0.0
84264c3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84264c7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84264d1ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
84264d5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84264dbffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84264ddffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84264e1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84264e5ffffffff,46.0,0.0,0.0,0.0,0.0,0.0
84264e7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426501ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
842650dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
842651bffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8426521ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842652bffffffff,24.0,0.0,0.0,0.0,0.0,0.0
8426531ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8426533ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
842653bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
842653dffffffff,38.0,0.0,0.0,0.0,0.0,0.0
8426541ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426547ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
842654dffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8426555ffffffff,55.0,0.0,0.0,0.0,0.0,0.0
8426557ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426559ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426561ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426563ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426565ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426567ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
842656dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426599ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
842659bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84265b5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84265b9ffffffff,38.0,0.0,0.0,0.0,0.0,0.0
84265c5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84265cdffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84265d3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84265d9ffffffff,60.0,0.0,0.0,0.0,0.0,0.0
84265dbffffffff,17.0,0.0,0.0,0.0,0.0,0.0
84265ddffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84265e5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84265e7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426603ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426605ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426607ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8426609ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
842661bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426631ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842663dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426641ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426645ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8426647ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426649ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
842664dffffffff,33.0,0.0,0.0,0.0,0.0,0.0
842665dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426665ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426669ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842666bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426681ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426689ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842669bffffffff,12.0,0.0,0.0,0.0,0.0,0.0
84266a1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84266a5ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
84266a9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84266adffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84266b1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84266bbffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84266c1ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
84266c5ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
84266d5ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
84266dbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84266e1ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8426717ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426719ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
842673dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426745ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426747ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426801ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426805ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
842680bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426819ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
842681bffffffff,59.0,0.0,0.0,0.0,0.0,0.0
8426821ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426851ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426857ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426859ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426881ffffffff,24.0,0.0,0.0,0.0,0.0,0.0
8426885ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426889ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
842688dffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426893ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426899ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842689dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84268a3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84268a7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84268abffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84268adffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84268b3ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84268bdffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84268c5ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
84268c7ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84268cdffffffff,30.0,0.0,0.0,0.0,0.0,0.0
84268d5ffffffff,154.0,0.0,0.0,0.0,0.0,0.0
84268d7ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84268d9ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84268dbffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84268ddffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84268e1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84268e7ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84268e9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84268ebffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8426905ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
842690dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842692bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426939ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
842694dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
842695bffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8426961ffffffff,41.0,0.0,0.0,0.0,0.0,0.0
8426963ffffffff,19.0,0.0,0.0,0.0,0.0,0.0
8426967ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8426969ffffffff,53.0,0.0,0.0,0.0,0.0,0.0
842696bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426987ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8426989ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426991ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426995ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84269a1ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
84269a5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84269c5ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84269cdffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84269d1ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84269d5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84269e1ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
84269e9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84269ebffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426a15ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426a2bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426a41ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426a81ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
