cell_id,Pericrocotus solaris,Pericrocotus solaris [solaris Group],Pericrocotus solaris montanus/cinereigula
844ba03ffffffff,1291.0,71.0,0.0
844ba05ffffffff,1852.0,272.0,0.0
844ba07ffffffff,801.0,30.0,0.0
844ba0bffffffff,275.0,32.0,0.0
844ba15ffffffff,81.0,1.0,0.0
844ba1dffffffff,632.0,25.0,0.0
844ba21ffffffff,1017.0,61.0,0.0
844ba23ffffffff,54.0,0.0,0.0
844ba25ffffffff,1796.0,23.0,0.0
844ba27ffffffff,1105.0,31.0,0.0
844ba29ffffffff,221.0,0.0,0.0
844ba2bffffffff,2657.0,110.0,0.0
844ba31ffffffff,2.0,0.0,0.0
844ba35ffffffff,272.0,0.0,0.0
844ba39ffffffff,1155.0,27.0,0.0
844ba3dffffffff,570.0,4.0,0.0
844ba57ffffffff,1.0,0.0,0.0
844ba63ffffffff,1.0,0.0,0.0
844bb11ffffffff,8.0,0.0,0.0
844bb13ffffffff,160.0,4.0,0.0
844bb19ffffffff,40.0,3.0,0.0
844bb1bffffffff,835.0,15.0,0.0
844bb59ffffffff,4.0,0.0,0.0
846416dffffffff,73.0,15.0,0.0
846480bffffffff,2.0,2.0,0.0
8464821ffffffff,66.0,26.0,0.0
8464825ffffffff,14.0,0.0,0.0
8464829ffffffff,3.0,0.0,0.0
846482bffffffff,537.0,97.0,0.0
846482dffffffff,4.0,2.0,0.0
8464843ffffffff,2.0,0.0,0.0
8464901ffffffff,4.0,0.0,0.0
8464911ffffffff,389.0,107.0,0.0
846491bffffffff,2.0,0.0,0.0
846491dffffffff,2.0,0.0,0.0
8464949ffffffff,2.0,2.0,0.0
846494bffffffff,6.0,6.0,0.0
8464955ffffffff,3.0,2.0,0.0
8464983ffffffff,31.0,2.0,0.0
84649c9ffffffff,2.0,2.0,0.0
8464a35ffffffff,62.0,17.0,0.0
8464a3dffffffff,9.0,0.0,0.0
8464b03ffffffff,2.0,2.0,0.0
8464b09ffffffff,1.0,1.0,0.0
8464b55ffffffff,2.0,0.0,0.0
8464b57ffffffff,3.0,0.0,0.0
8464b5dffffffff,2.0,0.0,0.0
8465005ffffffff,2.0,0.0,0.0
846500bffffffff,483.0,0.0,33.0
8465033ffffffff,7.0,0.0,0.0
8465039ffffffff,21.0,0.0,0.0
8465055ffffffff,66.0,0.0,1.0
8465057ffffffff,4.0,0.0,0.0
846505dffffffff,11.0,0.0,0.0
8465099ffffffff,1.0,0.0,0.0
84650d1ffffffff,9.0,0.0,0.0
84652b7ffffffff,1.0,0.0,0.0
84652d9ffffffff,10.0,0.0,0.0
8465545ffffffff,25.0,0.0,0.0
846556bffffffff,22.0,0.0,0.0
8465801ffffffff,7.0,0.0,0.0
8465803ffffffff,35.0,0.0,0.0
8465817ffffffff,5.0,0.0,0.0
8465b0dffffffff,2.0,2.0,0.0
8465b2bffffffff,13.0,0.0,0.0
8465b61ffffffff,34.0,4.0,0.0
8465b63ffffffff,2.0,0.0,0.0
8465b65ffffffff,5.0,1.0,0.0
8465b67ffffffff,44.0,8.0,0.0
8465b6bffffffff,12.0,0.0,0.0
8468025ffffffff,4.0,0.0,2.0
8468111ffffffff,7.0,0.0,2.0
8468113ffffffff,1.0,0.0,1.0
8468115ffffffff,4.0,0.0,4.0
8468119ffffffff,1047.0,0.0,134.0
846811bffffffff,20.0,0.0,7.0
8468123ffffffff,4.0,0.0,0.0
8468985ffffffff,7.0,0.0,0.0
8468ac9ffffffff,13.0,0.0,1.0
8469341ffffffff,3.0,0.0,0.0
8469345ffffffff,120.0,16.0,0.0
8469347ffffffff,2.0,2.0,0.0
846934dffffffff,5.0,2.0,0.0
848c1a7ffffffff,5.0,0.0,0.0
848c961ffffffff,6.0,0.0,0.0
848cd0bffffffff,27.0,0.0,2.0
848cd33ffffffff,2.0,0.0,0.0
848cd55ffffffff,33.0,0.0,1.0
848cd5dffffffff,6.0,0.0,1.0
848cf4dffffffff,2.0,0.0,0.0
