cell_id,Alaemon alaudipes,Alaemon alaudipes boavistae,Alaemon alaudipes [alaudipes Group]
8439989ffffffff,3.0,0.0,0.0
843998dffffffff,4.0,0.0,0.0
843999bffffffff,4.0,0.0,0.0
84399dbffffffff,1.0,0.0,0.0
84399e5ffffffff,4.0,0.0,0.0
84399ebffffffff,1.0,0.0,0.0
843e28bffffffff,1.0,0.0,0.0
843e34bffffffff,1.0,0.0,0.0
843e457ffffffff,1.0,0.0,0.0
843e45dffffffff,2.0,0.0,0.0
843e4ddffffffff,1.0,0.0,0.0
843e5b5ffffffff,1.0,0.0,0.0
843e5d5ffffffff,1.0,0.0,0.0
843e621ffffffff,1.0,0.0,0.0
843e685ffffffff,2.0,0.0,0.0
843e689ffffffff,6.0,0.0,0.0
843e68bffffffff,2.0,0.0,0.0
843e6a7ffffffff,1.0,0.0,0.0
843e6c3ffffffff,2.0,0.0,0.0
843e6cbffffffff,4.0,0.0,0.0
843e6d1ffffffff,3.0,0.0,0.0
843e707ffffffff,3.0,0.0,0.0
843e711ffffffff,1.0,0.0,0.0
843e719ffffffff,3.0,0.0,0.0
843ee93ffffffff,2.0,0.0,0.0
844225bffffffff,2.0,0.0,0.0
8442301ffffffff,2.0,0.0,0.0
844230dffffffff,2.0,0.0,0.0
8442331ffffffff,2.0,0.0,0.0
8442333ffffffff,1.0,0.0,0.0
8442515ffffffff,61.0,0.0,0.0
8442531ffffffff,37.0,0.0,0.0
8442533ffffffff,14.0,0.0,0.0
8442537ffffffff,2.0,0.0,0.0
8442c19ffffffff,1.0,0.0,0.0
8442c1bffffffff,7.0,0.0,0.0
8442c4bffffffff,7.0,0.0,0.0
8442c57ffffffff,1.0,0.0,0.0
8442c59ffffffff,3.0,0.0,0.0
8442c5dffffffff,72.0,0.0,0.0
8442e31ffffffff,5.0,0.0,0.0
8442e37ffffffff,14.0,0.0,0.0
8443107ffffffff,5.0,0.0,0.0
8443117ffffffff,2.0,0.0,0.0
844313bffffffff,2.0,0.0,0.0
84431e1ffffffff,3.0,0.0,0.0
84431e9ffffffff,2.0,0.0,0.0
8443257ffffffff,2.0,0.0,0.0
8443341ffffffff,1.0,0.0,0.0
8443347ffffffff,1.0,0.0,0.0
8443367ffffffff,1.0,0.0,0.0
8443505ffffffff,3.0,0.0,0.0
844374bffffffff,1.0,0.0,0.0
84438a3ffffffff,1.0,0.0,0.0
84438abffffffff,1.0,0.0,0.0
84438bdffffffff,2.0,0.0,0.0
84438c9ffffffff,2.0,0.0,0.0
84438e7ffffffff,1.0,0.0,0.0
8443929ffffffff,2.0,0.0,0.0
8443933ffffffff,3.0,0.0,0.0
8443939ffffffff,1.0,0.0,0.0
844393bffffffff,3.0,0.0,0.0
8443965ffffffff,2.0,0.0,0.0
844396dffffffff,4.0,0.0,0.0
8443981ffffffff,16.0,0.0,0.0
8443987ffffffff,5.0,0.0,0.0
8443989ffffffff,2.0,0.0,0.0
844398dffffffff,13.0,0.0,0.0
8443999ffffffff,2.0,0.0,0.0
844399dffffffff,1.0,0.0,0.0
84439c9ffffffff,1.0,0.0,0.0
8443a01ffffffff,3.0,0.0,0.0
8443a03ffffffff,20.0,0.0,0.0
8443a0dffffffff,1.0,0.0,0.0
8443a11ffffffff,8.0,0.0,0.0
8443a13ffffffff,12.0,0.0,0.0
8443a15ffffffff,18.0,0.0,0.0
8443a17ffffffff,195.0,0.0,1.0
8443a1dffffffff,1.0,0.0,0.0
8443a21ffffffff,1.0,0.0,0.0
8443a23ffffffff,1.0,0.0,0.0
8443a25ffffffff,2.0,0.0,1.0
8443a29ffffffff,1.0,0.0,0.0
8443a37ffffffff,4.0,0.0,0.0
8443a39ffffffff,11.0,0.0,1.0
8443a67ffffffff,1.0,0.0,0.0
8443a69ffffffff,10.0,0.0,1.0
8443a6bffffffff,7.0,0.0,0.0
8443a91ffffffff,15.0,0.0,0.0
8443a93ffffffff,4.0,0.0,0.0
8443ac1ffffffff,14.0,0.0,3.0
8443ac3ffffffff,2.0,0.0,0.0
8443ad3ffffffff,6.0,0.0,0.0
8443ae5ffffffff,1.0,0.0,0.0
8443ae9ffffffff,2.0,0.0,0.0
8443aedffffffff,43.0,0.0,3.0
845203bffffffff,2.0,0.0,0.0
8452113ffffffff,9.0,0.0,0.0
845213bffffffff,3.0,0.0,0.0
845214bffffffff,2.0,0.0,0.0
8452155ffffffff,12.0,0.0,0.0
8452157ffffffff,4.0,0.0,0.0
84521e9ffffffff,5.0,0.0,0.0
84521edffffffff,3.0,0.0,0.0
84522b3ffffffff,2.0,0.0,0.0
8452323ffffffff,2.0,0.0,0.0
845232bffffffff,2.0,0.0,0.0
84524d7ffffffff,5.0,0.0,0.0
84524d9ffffffff,2.0,0.0,0.0
84524ddffffffff,2.0,0.0,0.0
8452691ffffffff,2.0,0.0,0.0
8452697ffffffff,6.0,0.0,0.0
845269bffffffff,10.0,0.0,0.0
84526b1ffffffff,3.0,0.0,0.0
84526b3ffffffff,5.0,0.0,0.0
84526bbffffffff,2.0,0.0,0.0
84528bbffffffff,4.0,0.0,0.0
8452d09ffffffff,1.0,0.0,0.0
8452d41ffffffff,2.0,0.0,0.0
8452d6dffffffff,8.0,0.0,0.0
8452f23ffffffff,4.0,0.0,0.0
8452f35ffffffff,1.0,0.0,0.0
84530c9ffffffff,2.0,0.0,0.0
8453129ffffffff,3.0,0.0,0.0
845312bffffffff,4.0,0.0,0.0
8453245ffffffff,4.0,0.0,0.0
8453291ffffffff,12.0,0.0,0.0
8453295ffffffff,2.0,0.0,0.0
8453323ffffffff,2.0,0.0,0.0
845332bffffffff,2.0,0.0,0.0
8453369ffffffff,4.0,0.0,0.0
845343dffffffff,5.0,0.0,0.0
8453441ffffffff,7.0,0.0,0.0
8453459ffffffff,3.0,0.0,0.0
845345bffffffff,6.0,0.0,0.0
84534c3ffffffff,2.0,0.0,0.0
84534c9ffffffff,1.0,0.0,0.0
84534cdffffffff,2.0,0.0,0.0
84534d3ffffffff,1.0,0.0,0.0
84534d5ffffffff,12.0,0.0,0.0
84534dbffffffff,1.0,0.0,0.0
84534ddffffffff,1.0,0.0,0.0
8453549ffffffff,2.0,0.0,0.0
8453629ffffffff,2.0,0.0,0.0
845364dffffffff,4.0,0.0,1.0
845366dffffffff,1.0,0.0,0.0
8453685ffffffff,22.0,0.0,0.0
8453687ffffffff,4.0,0.0,0.0
84536a3ffffffff,54.0,0.0,0.0
84536a9ffffffff,10.0,0.0,0.0
84536b5ffffffff,3.0,0.0,0.0
84536bdffffffff,1.0,0.0,0.0
84536e5ffffffff,9.0,0.0,0.0
84536edffffffff,3.0,0.0,0.0
8453723ffffffff,2.0,0.0,0.0
8453725ffffffff,3.0,0.0,0.0
845372bffffffff,19.0,0.0,0.0
845373dffffffff,6.0,0.0,0.0
8453765ffffffff,6.0,0.0,0.0
8453a01ffffffff,1.0,0.0,0.0
8453a09ffffffff,3.0,0.0,0.0
8453a4bffffffff,3.0,0.0,0.0
8453a95ffffffff,5.0,0.0,0.0
8453abbffffffff,2.0,0.0,0.0
8453ad7ffffffff,3.0,0.0,0.0
8453addffffffff,2.0,0.0,0.0
8454149ffffffff,1.0,0.0,0.0
8454327ffffffff,5.0,0.0,0.0
8454365ffffffff,6.0,0.0,0.0
8454949ffffffff,22.0,12.0,0.0
8454b01ffffffff,7.0,2.0,0.0
8454b05ffffffff,11.0,7.0,0.0
8454b07ffffffff,41.0,23.0,0.0
8454b0dffffffff,12.0,5.0,0.0
8454b35ffffffff,6.0,4.0,0.0
8454b6bffffffff,6.0,3.0,0.0
8455101ffffffff,2.0,0.0,0.0
8455103ffffffff,19.0,0.0,0.0
8455107ffffffff,37.0,0.0,0.0
845510dffffffff,3.0,0.0,0.0
8455121ffffffff,16.0,0.0,0.0
8455123ffffffff,13.0,0.0,0.0
845512bffffffff,28.0,0.0,0.0
8455131ffffffff,16.0,0.0,0.0
8455133ffffffff,13.0,0.0,3.0
8455135ffffffff,3.0,0.0,0.0
8455137ffffffff,21.0,0.0,0.0
8455139ffffffff,13.0,0.0,0.0
845513bffffffff,1.0,0.0,0.0
845513dffffffff,17.0,0.0,2.0
8455183ffffffff,3.0,0.0,0.0
8455187ffffffff,3.0,0.0,0.0
8455193ffffffff,3.0,0.0,0.0
84551a1ffffffff,2.0,0.0,0.0
84551abffffffff,1.0,0.0,0.0
84551edffffffff,23.0,0.0,5.0
8455245ffffffff,1.0,0.0,0.0
8455305ffffffff,3.0,0.0,0.0
845530dffffffff,3.0,0.0,1.0
8455327ffffffff,2.0,0.0,0.0
845534bffffffff,18.0,0.0,2.0
8455351ffffffff,1.0,0.0,0.0
8455353ffffffff,2.0,0.0,0.0
8455a99ffffffff,1.0,0.0,0.0
8455ab3ffffffff,1.0,0.0,0.0
8455abdffffffff,3.0,0.0,0.0
8455ac7ffffffff,2.0,0.0,0.0
8455ac9ffffffff,4.0,0.0,0.0
8459015ffffffff,1.0,0.0,0.0
8459017ffffffff,1.0,0.0,0.0
845901dffffffff,1.0,0.0,0.0
8463241ffffffff,6.0,0.0,0.0
8463247ffffffff,3.0,0.0,0.0
8463265ffffffff,9.0,0.0,0.0
846326bffffffff,3.0,0.0,0.0
8463309ffffffff,2.0,0.0,0.0
846330bffffffff,1.0,0.0,0.0
8463357ffffffff,2.0,0.0,0.0
846335dffffffff,1.0,0.0,0.0
8463365ffffffff,12.0,0.0,0.0
8463367ffffffff,9.0,0.0,0.0
846336dffffffff,37.0,0.0,0.0
