cell_id,Pteroglossus azara,Pteroglossus azara flavirostris,Pteroglossus azara azara,Pteroglossus azara mariae
848b709ffffffff,6.0,0.0,0.0,0.0
848b713ffffffff,102.0,0.0,0.0,7.0
848b717ffffffff,4.0,0.0,0.0,0.0
848b71bffffffff,25.0,0.0,0.0,8.0
848b743ffffffff,1.0,0.0,0.0,0.0
848b745ffffffff,3.0,0.0,0.0,0.0
848b747ffffffff,8.0,0.0,0.0,0.0
848b757ffffffff,3.0,0.0,0.0,0.0
848e649ffffffff,2.0,0.0,0.0,0.0
848e651ffffffff,2.0,0.0,0.0,0.0
848f401ffffffff,47.0,0.0,0.0,12.0
848f403ffffffff,1.0,0.0,0.0,0.0
848f40dffffffff,4.0,0.0,0.0,0.0
848f439ffffffff,7.0,0.0,0.0,4.0
848f44bffffffff,2.0,0.0,0.0,0.0
848f463ffffffff,5.0,0.0,0.0,0.0
848f489ffffffff,1.0,0.0,0.0,0.0
848f495ffffffff,2.0,0.0,0.0,0.0
848f4c1ffffffff,2.0,0.0,0.0,0.0
848f4c7ffffffff,2.0,0.0,0.0,0.0
848f611ffffffff,1.0,0.0,0.0,0.0
848f613ffffffff,31.0,0.0,0.0,0.0
848f617ffffffff,2.0,0.0,0.0,0.0
848f61bffffffff,16.0,0.0,0.0,0.0
848f633ffffffff,2.0,0.0,0.0,0.0
848f6e9ffffffff,17.0,0.0,0.0,0.0
848f705ffffffff,9.0,1.0,0.0,0.0
848f70dffffffff,1.0,0.0,0.0,0.0
848f71bffffffff,3.0,0.0,0.0,0.0
848f729ffffffff,5.0,0.0,0.0,0.0
848f72bffffffff,54.0,10.0,0.0,0.0
848f73dffffffff,2.0,0.0,0.0,2.0
848f741ffffffff,2.0,0.0,0.0,0.0
848f745ffffffff,2.0,0.0,0.0,0.0
848f74bffffffff,7.0,0.0,0.0,0.0
848f763ffffffff,4.0,0.0,0.0,0.0
848f76bffffffff,6.0,0.0,0.0,0.0
