cell_id,Dryoscopus cubla,Dryoscopus cubla affinis,Dryoscopus cubla [cubla Group]
839748fffffffff,12.0,0.0,0.0
83974afffffffff,293.0,0.0,0.0
83974bfffffffff,90.0,0.0,0.0
83974efffffffff,118.0,0.0,0.0
839750fffffffff,44.0,0.0,0.0
839751fffffffff,885.0,0.0,0.0
839752fffffffff,3.0,0.0,0.0
839753fffffffff,9.0,0.0,0.0
839754fffffffff,10.0,0.0,0.0
839755fffffffff,4.0,0.0,0.0
839758fffffffff,14.0,0.0,0.0
83975cfffffffff,198.0,0.0,1.0
83975dfffffffff,77.0,0.0,0.0
83975efffffffff,38.0,0.0,0.0
839770fffffffff,12.0,0.0,0.0
839771fffffffff,2.0,0.0,0.0
839772fffffffff,38.0,0.0,0.0
839773fffffffff,6.0,0.0,0.0
839774fffffffff,2.0,0.0,0.0
839775fffffffff,7.0,0.0,0.0
839788fffffffff,18.0,0.0,0.0
839789fffffffff,7.0,0.0,0.0
83978afffffffff,2.0,0.0,0.0
83978bfffffffff,23.0,0.0,0.0
83978dfffffffff,25.0,0.0,0.0
83978efffffffff,44.0,0.0,0.0
839791fffffffff,6.0,0.0,0.0
839793fffffffff,5.0,0.0,0.0
839799fffffffff,2.0,0.0,0.0
83979dfffffffff,3.0,0.0,0.0
83979efffffffff,3.0,0.0,0.0
8397a8fffffffff,80.0,0.0,0.0
8397aafffffffff,46.0,0.0,0.0
8397abfffffffff,5.0,0.0,0.0
8397acfffffffff,12.0,0.0,0.0
8397adfffffffff,2.0,0.0,0.0
8397b0fffffffff,4.0,0.0,0.0
83ac80fffffffff,3.0,0.0,0.0
83ac81fffffffff,10.0,0.0,0.0
83ac85fffffffff,9.0,0.0,0.0
83ac86fffffffff,152.0,0.0,0.0
83ac8afffffffff,62.0,0.0,0.0
83ac8cfffffffff,6.0,0.0,0.0
83ac8efffffffff,14.0,0.0,0.0
83ac90fffffffff,3.0,0.0,0.0
83ac94fffffffff,8.0,0.0,0.0
83ac95fffffffff,10.0,0.0,0.0
83ac96fffffffff,42.0,0.0,0.0
83ac99fffffffff,2.0,0.0,0.0
83aca0fffffffff,7.0,0.0,0.0
83aca2fffffffff,10.0,0.0,0.0
83aca3fffffffff,59.0,0.0,0.0
83acaafffffffff,2.0,0.0,0.0
83acaefffffffff,7.0,0.0,0.0
83acb1fffffffff,40.0,0.0,0.0
83acb3fffffffff,42.0,0.0,0.0
83ad32fffffffff,3.0,0.0,0.0
83bc09fffffffff,9.0,0.0,0.0
83bc0bfffffffff,15.0,0.0,0.0
83bc19fffffffff,16.0,0.0,0.0
83bc1bfffffffff,41.0,0.0,0.0
83bc40fffffffff,5.0,0.0,0.0
83bc44fffffffff,38.0,0.0,0.0
83bc45fffffffff,86.0,0.0,0.0
83bc46fffffffff,8.0,0.0,0.0
83bc54fffffffff,5.0,0.0,0.0
83bc71fffffffff,10.0,0.0,0.0
83bc72fffffffff,2.0,0.0,0.0
83bc73fffffffff,12.0,0.0,0.0
83bc89fffffffff,161.0,0.0,0.0
83bc8bfffffffff,2.0,0.0,0.0
83bc99fffffffff,41.0,0.0,0.0
83bc9bfffffffff,5.0,0.0,0.0
83bcc2fffffffff,8.0,0.0,0.0
83bcc3fffffffff,63.0,0.0,1.0
83bcc4fffffffff,15.0,0.0,0.0
83bcc6fffffffff,3.0,0.0,0.0
83bccafffffffff,24.0,0.0,0.0
83bcd0fffffffff,375.0,0.0,2.0
83bcd1fffffffff,56.0,0.0,0.0
83bcd2fffffffff,1521.0,0.0,2.0
83bcd3fffffffff,106.0,0.0,0.0
83bcd4fffffffff,90.0,0.0,0.0
83bcd5fffffffff,9.0,0.0,0.0
83bcd6fffffffff,374.0,0.0,0.0
83bcd8fffffffff,31.0,0.0,0.0
83bcd9fffffffff,20.0,0.0,0.0
83bcdafffffffff,4.0,0.0,0.0
83bcdcfffffffff,221.0,0.0,0.0
83bcddfffffffff,48.0,0.0,0.0
83bcdefffffffff,47.0,0.0,0.0
83bce2fffffffff,13.0,0.0,0.0
83bce6fffffffff,85.0,0.0,0.0
83bcf0fffffffff,178.0,0.0,2.0
83bcf1fffffffff,5.0,0.0,0.0
83bcf2fffffffff,944.0,0.0,4.0
83bcf3fffffffff,32.0,0.0,0.0
83bcf4fffffffff,101.0,0.0,2.0
83bcf5fffffffff,370.0,0.0,1.0
83bcf6fffffffff,843.0,0.0,7.0
