cell_id,Pteroglossus inscriptus,Pteroglossus inscriptus humboldti,Pteroglossus inscriptus inscriptus
838bb4fffffffff,2.0,0.0,0.0
838bb5fffffffff,385.0,0.0,0.0
838e64fffffffff,1.0,0.0,0.0
838f40fffffffff,129.0,0.0,0.0
838f43fffffffff,6.0,0.0,0.0
838f44fffffffff,3.0,0.0,0.0
838f46fffffffff,191.0,0.0,0.0
838f48fffffffff,17.0,0.0,0.0
838f4afffffffff,7.0,0.0,0.0
838f61fffffffff,162.0,0.0,0.0
838f6bfffffffff,8.0,0.0,0.0
838f6efffffffff,35.0,0.0,0.0
838f71fffffffff,8.0,0.0,0.0
838f72fffffffff,4.0,0.0,0.0
838f73fffffffff,3.0,0.0,0.0
838f74fffffffff,17.0,0.0,0.0
83a859fffffffff,4.0,0.0,0.0
83a85bfffffffff,1.0,0.0,0.0
83a8c9fffffffff,8.0,0.0,0.0
