cell_id,Pyrrhula pyrrhula,Pyrrhula pyrrhula [pyrrhula Group],Pyrrhula pyrrhula [griseiventris Group]
841f217ffffffff,1.0,0.0,0.0
841f233ffffffff,4.0,2.0,0.0
841f2a3ffffffff,12.0,12.0,0.0
841f5adffffffff,3.0,3.0,0.0
841f5c5ffffffff,8.0,8.0,0.0
841f5e9ffffffff,5.0,5.0,0.0
841f715ffffffff,2.0,0.0,0.0
841f725ffffffff,6.0,4.0,0.0
841f887ffffffff,1.0,0.0,0.0
841f8d1ffffffff,2.0,0.0,0.0
841f9e3ffffffff,2.0,0.0,0.0
841fad3ffffffff,2.0,2.0,0.0
84204abffffffff,4.0,1.0,0.0
8422db7ffffffff,28.0,0.0,17.0
8424c05ffffffff,3.0,0.0,0.0
842c1b3ffffffff,2.0,2.0,0.0
842c263ffffffff,1.0,1.0,0.0
842d311ffffffff,1.0,0.0,0.0
842e745ffffffff,4.0,0.0,0.0
842f5d7ffffffff,8.0,0.0,0.0
8430acdffffffff,2.0,0.0,0.0
84316e5ffffffff,8.0,0.0,0.0
8431aa5ffffffff,6.0,0.0,2.0
8439001ffffffff,2.0,0.0,0.0
8439019ffffffff,2.0,0.0,0.0
843901dffffffff,2.0,0.0,0.0
843902dffffffff,2.0,0.0,0.0
8439041ffffffff,13.0,0.0,0.0
8439043ffffffff,3.0,0.0,0.0
8439045ffffffff,5.0,0.0,0.0
8439047ffffffff,1.0,0.0,0.0
8439049ffffffff,1.0,0.0,0.0
843904bffffffff,8.0,0.0,0.0
843904dffffffff,2.0,0.0,0.0
8439051ffffffff,5.0,0.0,0.0
8439057ffffffff,7.0,0.0,0.0
8439059ffffffff,2.0,0.0,0.0
843905dffffffff,2.0,0.0,0.0
8439063ffffffff,2.0,0.0,0.0
8439069ffffffff,5.0,0.0,0.0
843906dffffffff,4.0,0.0,0.0
84390e7ffffffff,1.0,0.0,0.0
8439101ffffffff,20.0,0.0,0.0
843910bffffffff,2.0,0.0,0.0
8439115ffffffff,12.0,0.0,0.0
8439155ffffffff,2.0,0.0,0.0
8439159ffffffff,1.0,0.0,0.0
843915bffffffff,68.0,0.0,0.0
843915dffffffff,10.0,0.0,0.0
8439181ffffffff,6.0,0.0,0.0
843919bffffffff,2.0,0.0,0.0
84391a9ffffffff,5.0,0.0,0.0
84391abffffffff,2.0,0.0,0.0
8439205ffffffff,2.0,0.0,0.0
843921bffffffff,2.0,0.0,0.0
8439221ffffffff,6.0,0.0,0.0
8439223ffffffff,2.0,0.0,0.0
8439227ffffffff,10.0,0.0,0.0
8439239ffffffff,5.0,0.0,0.0
843923bffffffff,1.0,0.0,0.0
8439253ffffffff,2.0,0.0,0.0
84392a5ffffffff,2.0,0.0,0.0
84392a7ffffffff,22.0,0.0,0.0
84392adffffffff,1.0,0.0,0.0
84392b1ffffffff,7.0,0.0,0.0
84392b5ffffffff,2.0,0.0,0.0
84392bdffffffff,2.0,0.0,0.0
84392c9ffffffff,1.0,0.0,0.0
84392cbffffffff,2.0,0.0,0.0
8439313ffffffff,1.0,0.0,0.0
8439317ffffffff,3.0,0.0,0.0
843931bffffffff,2.0,0.0,0.0
8439333ffffffff,2.0,0.0,0.0
8439337ffffffff,11.0,0.0,0.0
843933bffffffff,4.0,0.0,0.0
8439423ffffffff,2.0,0.0,0.0
8439449ffffffff,2.0,2.0,0.0
8439621ffffffff,2.0,2.0,0.0
8439627ffffffff,3.0,3.0,0.0
843f2dbffffffff,1.0,0.0,0.0
844b56dffffffff,1.0,0.0,0.0
