cell_id,Loriotus luctuosus,Loriotus luctuosus nitidissimus,Loriotus luctuosus [luctuosus Group]
836629fffffffff,31.0,0.0,0.0
83662bfffffffff,9.0,0.0,0.0
83662efffffffff,15.0,0.0,0.0
836631fffffffff,7.0,0.0,0.0
836641fffffffff,7.0,0.0,0.0
836644fffffffff,2.0,0.0,0.0
836654fffffffff,2.0,0.0,0.0
836656fffffffff,104.0,0.0,0.0
83665afffffffff,25.0,0.0,0.0
83665bfffffffff,28.0,0.0,0.0
83665efffffffff,5.0,0.0,0.0
836663fffffffff,3.0,0.0,0.0
83666bfffffffff,1.0,0.0,0.0
836672fffffffff,7.0,0.0,0.0
836676fffffffff,3.0,0.0,0.0
8366a0fffffffff,464.0,0.0,0.0
8366a1fffffffff,6.0,0.0,0.0
8366a3fffffffff,2.0,0.0,0.0
8366a5fffffffff,8476.0,0.0,0.0
8366a6fffffffff,6.0,0.0,0.0
8366a9fffffffff,2.0,0.0,0.0
8366adfffffffff,1.0,0.0,0.0
8366b0fffffffff,1497.0,0.0,0.0
8366b1fffffffff,8.0,0.0,0.0
8366b4fffffffff,2733.0,0.0,0.0
8366b5fffffffff,633.0,0.0,0.0
8366b6fffffffff,9.0,0.0,0.0
8366c0fffffffff,24.0,0.0,0.0
8366c2fffffffff,53.0,0.0,0.0
8366c4fffffffff,252.0,0.0,0.0
8366c5fffffffff,9.0,0.0,0.0
8366c6fffffffff,21.0,0.0,0.0
8366cefffffffff,5.0,0.0,0.0
8366d0fffffffff,43.0,0.0,0.0
8366d1fffffffff,16.0,0.0,0.0
8366d2fffffffff,86.0,0.0,0.0
8366d3fffffffff,2676.0,0.0,0.0
8366d5fffffffff,9.0,0.0,0.0
8366d8fffffffff,2.0,0.0,0.0
8366dafffffffff,17.0,0.0,0.0
8366dbfffffffff,5.0,0.0,0.0
8366dcfffffffff,57.0,0.0,0.0
8366ddfffffffff,13.0,0.0,0.0
8366defffffffff,311.0,0.0,0.0
8366e0fffffffff,355.0,0.0,0.0
8366e1fffffffff,9.0,0.0,0.0
8366e2fffffffff,121.0,0.0,0.0
8366e3fffffffff,20.0,0.0,0.0
8366e4fffffffff,382.0,0.0,0.0
8366e5fffffffff,362.0,0.0,0.0
8366e6fffffffff,1054.0,0.0,0.0
8366ecfffffffff,7.0,0.0,0.0
8366eefffffffff,23.0,0.0,0.0
8366f0fffffffff,449.0,0.0,0.0
8366f1fffffffff,218.0,0.0,0.0
8366f5fffffffff,143.0,0.0,0.0
836753fffffffff,1.0,0.0,0.0
836758fffffffff,2.0,0.0,0.0
83675afffffffff,31.0,0.0,0.0
83675cfffffffff,3.0,0.0,0.0
83675efffffffff,29.0,0.0,0.0
83678bfffffffff,4.0,0.0,0.0
836793fffffffff,10.0,0.0,0.0
836794fffffffff,2.0,0.0,0.0
836796fffffffff,22.0,0.0,0.0
83679afffffffff,596.0,0.0,0.0
83679bfffffffff,275.0,0.0,0.0
836d68fffffffff,109.0,0.0,0.0
836d69fffffffff,4493.0,0.0,0.0
836d6dfffffffff,146.0,0.0,0.0
838044fffffffff,4.0,0.0,0.0
838054fffffffff,2.0,0.0,0.0
838061fffffffff,11.0,0.0,0.0
838063fffffffff,1.0,0.0,0.0
838065fffffffff,17.0,0.0,0.0
838074fffffffff,2.0,0.0,0.0
838075fffffffff,1.0,0.0,0.0
838142fffffffff,1.0,0.0,0.0
838143fffffffff,4.0,0.0,0.0
838145fffffffff,3.0,0.0,0.0
838146fffffffff,2.0,0.0,0.0
83814afffffffff,97.0,0.0,0.0
83814dfffffffff,59.0,0.0,0.0
83814efffffffff,73.0,0.0,0.0
838158fffffffff,1.0,0.0,0.0
838159fffffffff,6.0,0.0,0.0
83815afffffffff,12.0,0.0,0.0
83815dfffffffff,8.0,0.0,0.0
838163fffffffff,33.0,0.0,0.0
838171fffffffff,30.0,0.0,0.0
838175fffffffff,2.0,0.0,0.0
838a00fffffffff,5.0,0.0,0.0
838a01fffffffff,2.0,0.0,0.0
838a04fffffffff,2.0,0.0,0.0
838a05fffffffff,11.0,0.0,0.0
838a10fffffffff,12.0,0.0,0.0
838a15fffffffff,13.0,0.0,0.0
838a20fffffffff,2.0,0.0,0.0
838a23fffffffff,5.0,0.0,0.0
838a24fffffffff,7.0,0.0,0.0
838a31fffffffff,12.0,0.0,0.0
838a33fffffffff,3.0,0.0,0.0
838a45fffffffff,21.0,0.0,0.0
838a4bfffffffff,2.0,0.0,0.0
838a63fffffffff,7.0,0.0,0.0
838a69fffffffff,10.0,0.0,0.0
838a6dfffffffff,13.0,0.0,0.0
838a6efffffffff,3.0,0.0,0.0
838a70fffffffff,1.0,0.0,0.0
838a80fffffffff,13.0,0.0,0.0
838a92fffffffff,3.0,0.0,0.0
838a9cfffffffff,2.0,0.0,0.0
838aa9fffffffff,4.0,0.0,0.0
838aabfffffffff,2.0,0.0,0.0
838aacfffffffff,2.0,0.0,0.0
838aadfffffffff,2.0,0.0,0.0
838ab6fffffffff,3.0,0.0,0.0
838ac6fffffffff,1.0,0.0,0.0
838adbfffffffff,7.0,0.0,0.0
838adcfffffffff,9.0,0.0,0.0
838adefffffffff,2.0,0.0,0.0
838af0fffffffff,11.0,0.0,0.0
838af2fffffffff,20.0,0.0,0.0
838af4fffffffff,18.0,0.0,0.0
838af6fffffffff,21.0,0.0,0.0
838b09fffffffff,2.0,0.0,0.0
838b0cfffffffff,14.0,0.0,0.0
838b11fffffffff,6.0,0.0,0.0
838b1dfffffffff,3.0,0.0,0.0
838b20fffffffff,2.0,0.0,0.0
838b21fffffffff,7.0,0.0,0.0
838b22fffffffff,45.0,0.0,0.0
838b23fffffffff,8.0,0.0,0.0
838b26fffffffff,2.0,0.0,0.0
838b2cfffffffff,2.0,0.0,0.0
838b2efffffffff,7.0,0.0,0.0
838b31fffffffff,2.0,0.0,0.0
838b40fffffffff,35.0,0.0,0.0
838b42fffffffff,4.0,0.0,0.0
838b44fffffffff,240.0,0.0,0.0
838b45fffffffff,4.0,0.0,0.0
838b46fffffffff,1.0,0.0,0.0
838b48fffffffff,1.0,0.0,0.0
838b4efffffffff,9.0,0.0,0.0
838b50fffffffff,2.0,0.0,0.0
838b51fffffffff,37.0,0.0,0.0
838b52fffffffff,5.0,0.0,0.0
838b56fffffffff,21.0,0.0,0.0
838b5cfffffffff,56.0,0.0,0.0
838b5efffffffff,2.0,0.0,0.0
838b61fffffffff,96.0,0.0,0.0
838b62fffffffff,22.0,0.0,0.0
838b63fffffffff,153.0,0.0,0.0
838b68fffffffff,4.0,0.0,0.0
838b69fffffffff,7.0,0.0,0.0
838b6cfffffffff,1.0,0.0,0.0
838b6efffffffff,21.0,0.0,0.0
838b70fffffffff,4.0,0.0,0.0
838b71fffffffff,302.0,0.0,0.0
838b74fffffffff,5.0,0.0,0.0
838b75fffffffff,5.0,0.0,0.0
838b76fffffffff,2.0,0.0,0.0
838b83fffffffff,3.0,0.0,0.0
838b88fffffffff,8.0,0.0,0.0
838b8afffffffff,3.0,0.0,0.0
838b8dfffffffff,1.0,0.0,0.0
838b99fffffffff,33.0,0.0,0.0
838b9dfffffffff,285.0,0.0,0.0
838ba0fffffffff,2.0,0.0,0.0
838ba4fffffffff,4.0,0.0,0.0
838ba6fffffffff,14.0,0.0,0.0
838bb5fffffffff,37.0,0.0,0.0
838e64fffffffff,6.0,0.0,0.0
838f08fffffffff,1.0,0.0,0.0
838f0dfffffffff,609.0,0.0,0.0
838f28fffffffff,29.0,0.0,0.0
838f29fffffffff,83.0,0.0,0.0
838f2afffffffff,142.0,0.0,0.0
838f2bfffffffff,240.0,0.0,0.0
838f2cfffffffff,347.0,0.0,0.0
838f2dfffffffff,3.0,0.0,0.0
838f2efffffffff,2.0,0.0,0.0
838f40fffffffff,61.0,0.0,0.0
838f42fffffffff,2.0,0.0,0.0
838f43fffffffff,3.0,0.0,0.0
838f44fffffffff,4.0,0.0,0.0
838f46fffffffff,38.0,0.0,0.0
838f48fffffffff,4.0,0.0,0.0
838f4afffffffff,7.0,0.0,0.0
838f55fffffffff,7.0,0.0,0.0
838f61fffffffff,5.0,0.0,0.0
838f6bfffffffff,4.0,0.0,0.0
838f70fffffffff,1.0,0.0,0.0
838f71fffffffff,3.0,0.0,0.0
838f72fffffffff,34.0,0.0,0.0
838f73fffffffff,3.0,0.0,0.0
838f74fffffffff,10.0,0.0,0.0
838f76fffffffff,24.0,0.0,0.0
83a859fffffffff,4.0,0.0,0.0
83b324fffffffff,3.0,0.0,0.0
