cell_id,Conirostrum cinereum,Conirostrum cinereum fraseri,Conirostrum cinereum cinereum/littorale
848e6a9ffffffff,2.0,0.0,0.0
848e6b5ffffffff,13.0,0.0,0.0
848e6b7ffffffff,4.0,0.0,0.0
848e6c1ffffffff,5.0,0.0,0.0
848e6c3ffffffff,7.0,0.0,0.0
848e6c5ffffffff,12.0,0.0,0.0
848e6c7ffffffff,1.0,0.0,0.0
848e6cbffffffff,3.0,0.0,0.0
848e6cdffffffff,9.0,0.0,0.0
848e6d1ffffffff,9.0,0.0,0.0
848e6d7ffffffff,2.0,0.0,0.0
848e6d9ffffffff,320.0,0.0,3.0
848e6ddffffffff,98.0,0.0,0.0
848e6e5ffffffff,7.0,0.0,0.0
848e6e9ffffffff,3.0,0.0,0.0
848e759ffffffff,86.0,0.0,3.0
848e75bffffffff,26.0,0.0,0.0
848f081ffffffff,18.0,0.0,0.0
848f083ffffffff,4.0,0.0,0.0
848f087ffffffff,22.0,0.0,0.0
848f089ffffffff,14.0,0.0,0.0
848f08bffffffff,1.0,0.0,0.0
848f093ffffffff,5.0,0.0,0.0
848f095ffffffff,91.0,0.0,0.0
848f099ffffffff,4.0,0.0,0.0
848f09dffffffff,2.0,0.0,0.0
848f0b3ffffffff,11.0,0.0,0.0
848f0b9ffffffff,14.0,0.0,0.0
848f0bbffffffff,36.0,0.0,0.0
848f0d1ffffffff,1.0,0.0,0.0
848f0ddffffffff,4.0,0.0,0.0
848f291ffffffff,7.0,0.0,0.0
848f297ffffffff,20.0,1.0,0.0
848f299ffffffff,18.0,11.0,0.0
848f2d1ffffffff,25.0,2.0,0.0
848f2d3ffffffff,33.0,0.0,0.0
848f2d9ffffffff,39.0,9.0,0.0
848f2dbffffffff,4.0,0.0,0.0
848f2ddffffffff,26.0,1.0,0.0
848f425ffffffff,4.0,0.0,0.0
848f42dffffffff,14.0,0.0,0.0
848f4a5ffffffff,22.0,0.0,0.0
848f501ffffffff,26.0,0.0,0.0
848f505ffffffff,47.0,0.0,0.0
848f507ffffffff,20.0,0.0,0.0
848f509ffffffff,2.0,0.0,0.0
848f50bffffffff,2.0,0.0,0.0
848f50dffffffff,191.0,0.0,0.0
848f511ffffffff,6.0,0.0,0.0
848f513ffffffff,7.0,0.0,0.0
848f515ffffffff,40.0,0.0,0.0
848f517ffffffff,22.0,0.0,0.0
848f519ffffffff,223.0,0.0,0.0
848f51bffffffff,8.0,0.0,0.0
848f51dffffffff,48.0,0.0,0.0
848f53bffffffff,10.0,0.0,0.0
848f541ffffffff,4.0,0.0,0.0
848f545ffffffff,3.0,0.0,0.0
848f547ffffffff,38.0,0.0,0.0
848f54dffffffff,20.0,0.0,0.0
848f551ffffffff,1.0,0.0,0.0
848f553ffffffff,76.0,0.0,0.0
848f555ffffffff,2.0,0.0,0.0
848f559ffffffff,5.0,0.0,0.0
848f55bffffffff,21.0,0.0,0.0
848f563ffffffff,33.0,0.0,0.0
848f569ffffffff,7.0,0.0,0.0
848f56bffffffff,18.0,0.0,0.0
848f56dffffffff,3.0,0.0,0.0
848f581ffffffff,72.0,0.0,1.0
848f583ffffffff,3.0,0.0,0.0
848f587ffffffff,4.0,0.0,0.0
848f589ffffffff,11.0,0.0,1.0
848f58dffffffff,105.0,0.0,7.0
848f591ffffffff,2.0,0.0,0.0
848f593ffffffff,8.0,0.0,0.0
848f597ffffffff,59.0,0.0,2.0
848f599ffffffff,7.0,0.0,0.0
848f59bffffffff,15.0,0.0,0.0
848f59dffffffff,15.0,0.0,0.0
848f5a9ffffffff,1.0,0.0,0.0
848f5b1ffffffff,18.0,0.0,0.0
848f5b3ffffffff,2.0,0.0,0.0
848f5b7ffffffff,4.0,0.0,0.0
848f5b9ffffffff,36.0,0.0,3.0
848f5bbffffffff,4.0,0.0,0.0
848f5bdffffffff,2.0,0.0,0.0
848f5c1ffffffff,5.0,0.0,0.0
848f5c3ffffffff,1.0,0.0,0.0
848f5cdffffffff,30.0,0.0,0.0
848f5d7ffffffff,4.0,0.0,0.0
848f5e1ffffffff,16.0,0.0,0.0
848f5e9ffffffff,12.0,0.0,0.0
848f5ebffffffff,7.0,0.0,0.0
848f5edffffffff,2.0,0.0,0.0
848f72dffffffff,4.0,0.0,0.0
848f745ffffffff,4.0,0.0,0.0
848f761ffffffff,16.0,0.0,0.0
848f765ffffffff,20.0,0.0,0.0
848f767ffffffff,7.0,0.0,0.0
848f769ffffffff,126.0,13.0,0.0
848f76dffffffff,153.0,6.0,0.0
84b3001ffffffff,184.0,0.0,0.0
84b3003ffffffff,4.0,0.0,0.0
84b3009ffffffff,471.0,0.0,0.0
84b300bffffffff,102.0,0.0,0.0
84b300dffffffff,20.0,0.0,0.0
84b3011ffffffff,24.0,0.0,0.0
84b3013ffffffff,1.0,0.0,0.0
84b3015ffffffff,12.0,0.0,0.0
84b3017ffffffff,13.0,0.0,0.0
84b301dffffffff,6.0,0.0,0.0
84b3041ffffffff,45.0,0.0,0.0
84b3043ffffffff,446.0,0.0,0.0
84b3045ffffffff,7.0,0.0,0.0
84b3047ffffffff,1062.0,0.0,0.0
84b3049ffffffff,1.0,0.0,0.0
84b304dffffffff,3.0,0.0,0.0
84b3051ffffffff,2.0,0.0,0.0
84b3055ffffffff,61.0,0.0,0.0
84b305dffffffff,626.0,0.0,0.0
84b30e1ffffffff,2.0,0.0,0.0
84b30e9ffffffff,73.0,0.0,0.0
84b30ebffffffff,4.0,0.0,0.0
84b30edffffffff,7.0,0.0,0.0
84b3201ffffffff,1.0,0.0,0.0
84b3209ffffffff,9.0,0.0,0.0
84b320bffffffff,10.0,0.0,0.0
84b320dffffffff,28.0,0.0,0.0
84b3219ffffffff,59.0,0.0,0.0
84b321dffffffff,7.0,0.0,0.0
84b3227ffffffff,2.0,0.0,0.0
84b3241ffffffff,4.0,0.0,0.0
84b3243ffffffff,36.0,0.0,0.0
84b3245ffffffff,2.0,0.0,0.0
84b324dffffffff,2.0,0.0,0.0
84b3253ffffffff,13.0,0.0,0.0
84b3255ffffffff,2.0,0.0,0.0
84b3257ffffffff,12.0,0.0,0.0
84b3261ffffffff,10.0,0.0,0.0
84b3263ffffffff,2.0,0.0,0.0
84b326bffffffff,2.0,0.0,0.0
84b32dbffffffff,2.0,0.0,0.0
84b32ddffffffff,4.0,0.0,0.0
84b3301ffffffff,1.0,0.0,0.0
84b3303ffffffff,104.0,0.0,0.0
84b3305ffffffff,8.0,0.0,0.0
84b3309ffffffff,9.0,0.0,0.0
84b330dffffffff,3.0,0.0,0.0
84b3313ffffffff,8.0,0.0,0.0
84b3315ffffffff,5.0,0.0,0.0
84b3319ffffffff,7.0,0.0,0.0
84b331dffffffff,2.0,0.0,0.0
84b3341ffffffff,23.0,0.0,0.0
84b3343ffffffff,9.0,0.0,0.0
84b3345ffffffff,2.0,0.0,0.0
84b3347ffffffff,2.0,0.0,0.0
84b334bffffffff,19.0,0.0,0.0
84b334dffffffff,2.0,0.0,0.0
84b3355ffffffff,297.0,0.0,0.0
84b3357ffffffff,4.0,0.0,0.0
84b335dffffffff,2.0,0.0,0.0
84b3363ffffffff,5.0,0.0,0.0
84b3367ffffffff,2.0,0.0,0.0
