cell_id,Uropsila leucogastra,Uropsila leucogastra [leucogastra Group],Uropsila leucogastra pacifica
8445287ffffffff,218.0,50.0,0.0
8445289ffffffff,692.0,11.0,0.0
844528bffffffff,1.0,0.0,0.0
844528dffffffff,149.0,3.0,0.0
8445291ffffffff,6.0,0.0,0.0
8445297ffffffff,4.0,0.0,0.0
84452a1ffffffff,47.0,8.0,0.0
84452a3ffffffff,2.0,0.0,0.0
84452a5ffffffff,501.0,0.0,0.0
84452a7ffffffff,21.0,2.0,0.0
84452a9ffffffff,480.0,0.0,0.0
84452abffffffff,47.0,0.0,0.0
84452adffffffff,512.0,0.0,0.0
84452b1ffffffff,2.0,0.0,0.0
84452b3ffffffff,13.0,0.0,0.0
84452b5ffffffff,20.0,0.0,0.0
84452b9ffffffff,127.0,16.0,0.0
84452bdffffffff,128.0,8.0,0.0
84452c1ffffffff,33.0,0.0,0.0
84452c3ffffffff,323.0,43.0,0.0
84452c5ffffffff,67.0,7.0,0.0
84452c7ffffffff,390.0,27.0,0.0
84452c9ffffffff,26.0,2.0,0.0
84452cbffffffff,2.0,0.0,0.0
84452d5ffffffff,20.0,0.0,0.0
84452d9ffffffff,49.0,6.0,0.0
84452dbffffffff,19.0,0.0,0.0
84452ddffffffff,2.0,0.0,0.0
84452e1ffffffff,1758.0,0.0,0.0
84452e3ffffffff,200.0,0.0,0.0
84452e5ffffffff,582.0,0.0,0.0
84452e7ffffffff,95.0,0.0,0.0
84452e9ffffffff,133.0,0.0,0.0
84452ebffffffff,1236.0,190.0,0.0
84452edffffffff,108.0,0.0,0.0
8445353ffffffff,228.0,16.0,0.0
8445357ffffffff,3.0,0.0,0.0
8445721ffffffff,44.0,6.0,0.0
8445725ffffffff,299.0,2.0,0.0
8445727ffffffff,6.0,2.0,0.0
844572dffffffff,2.0,0.0,0.0
844574dffffffff,5.0,0.0,0.0
8445761ffffffff,6.0,0.0,0.0
8445765ffffffff,6.0,0.0,0.0
8445767ffffffff,9.0,0.0,0.0
844836dffffffff,2.0,0.0,0.0
8448b49ffffffff,3.0,0.0,0.0
8448b4dffffffff,5.0,0.0,0.0
8449929ffffffff,3.0,0.0,0.0
8449961ffffffff,203.0,53.0,0.0
8449963ffffffff,2.0,0.0,0.0
8449965ffffffff,37.0,0.0,0.0
8449967ffffffff,120.0,1.0,0.0
8449969ffffffff,90.0,11.0,0.0
844996bffffffff,1.0,1.0,0.0
844996dffffffff,94.0,10.0,0.0
8449981ffffffff,1.0,0.0,0.0
8449987ffffffff,14.0,0.0,0.0
84499a3ffffffff,2.0,0.0,0.0
84499c5ffffffff,2.0,0.0,0.0
84499e3ffffffff,2.0,0.0,0.0
8449a17ffffffff,1.0,0.0,0.0
8449a21ffffffff,8.0,0.0,0.0
8449a23ffffffff,8.0,0.0,2.0
8449a2bffffffff,71.0,0.0,15.0
8449a3bffffffff,1.0,0.0,0.0
8449a3dffffffff,48.0,0.0,19.0
8449a81ffffffff,3.0,0.0,0.0
8449a89ffffffff,96.0,0.0,24.0
8449a8bffffffff,31.0,0.0,0.0
8449a8dffffffff,3.0,0.0,0.0
8449a91ffffffff,24.0,0.0,7.0
8449a93ffffffff,41.0,0.0,9.0
8449a97ffffffff,2.0,0.0,0.0
8449a99ffffffff,3.0,0.0,0.0
8449a9bffffffff,70.0,0.0,16.0
8449a9dffffffff,1.0,0.0,0.0
8449ac7ffffffff,4.0,0.0,0.0
8449ad5ffffffff,21.0,0.0,0.0
8449ad7ffffffff,40.0,0.0,0.0
8449b57ffffffff,4.0,0.0,4.0
846d201ffffffff,15.0,0.0,0.0
846d203ffffffff,20.0,0.0,0.0
846d207ffffffff,1.0,0.0,0.0
846d20bffffffff,12.0,0.0,0.0
846d21bffffffff,8.0,2.0,0.0
846d21dffffffff,1.0,0.0,0.0
846d223ffffffff,27.0,6.0,0.0
846d231ffffffff,4.0,1.0,0.0
846d239ffffffff,3.0,2.0,0.0
846d23dffffffff,121.0,45.0,0.0
846d253ffffffff,2.0,0.0,0.0
846d2c1ffffffff,18.0,14.0,0.0
846d2c3ffffffff,13.0,2.0,0.0
846d2c9ffffffff,208.0,38.0,0.0
846d2cbffffffff,20.0,11.0,0.0
846d2cdffffffff,2.0,0.0,0.0
846d2d9ffffffff,12.0,0.0,0.0
846d2ddffffffff,8.0,0.0,0.0
846d2ebffffffff,2.0,1.0,0.0
846d30dffffffff,61.0,19.0,0.0
846d319ffffffff,90.0,53.0,0.0
846d341ffffffff,25.0,10.0,0.0
846d34dffffffff,54.0,0.0,0.0
846d35bffffffff,3.0,0.0,0.0
846d35dffffffff,17.0,0.0,0.0
846d369ffffffff,11.0,0.0,0.0
846d36bffffffff,4.0,2.0,0.0
