cell_id,Picus viridis,Picus viridis viridis/karelini,Picus viridis innominatus
84194a3ffffffff,13.0,0.0,0.0
84194a5ffffffff,840.0,74.0,0.0
84194a7ffffffff,46.0,1.0,0.0
84194a9ffffffff,213.0,2.0,0.0
84194abffffffff,77.0,4.0,0.0
84194adffffffff,526.0,49.0,0.0
84194b3ffffffff,1.0,0.0,0.0
84194b9ffffffff,32.0,6.0,0.0
84194bbffffffff,18.0,4.0,0.0
84194c5ffffffff,283.0,168.0,0.0
84194d1ffffffff,14.0,2.0,0.0
84194d3ffffffff,57.0,24.0,0.0
84194d5ffffffff,9.0,2.0,0.0
84194d7ffffffff,42.0,2.0,0.0
84194d9ffffffff,117.0,14.0,0.0
84194dbffffffff,191.0,12.0,0.0
84194ddffffffff,160.0,88.0,0.0
84194e1ffffffff,55.0,6.0,0.0
84194e3ffffffff,138.0,32.0,0.0
84194e5ffffffff,653.0,15.0,0.0
84194e7ffffffff,521.0,43.0,0.0
84194e9ffffffff,233.0,51.0,0.0
84194ebffffffff,156.0,8.0,0.0
84194edffffffff,309.0,32.0,0.0
8419513ffffffff,13.0,2.0,0.0
8419519ffffffff,2.0,0.0,0.0
841951bffffffff,14.0,2.0,0.0
841953bffffffff,7.0,0.0,0.0
8419549ffffffff,2.0,2.0,0.0
8419551ffffffff,5.0,0.0,0.0
8419553ffffffff,20.0,8.0,0.0
8419555ffffffff,9.0,0.0,0.0
8419557ffffffff,20.0,4.0,0.0
8419559ffffffff,8.0,1.0,0.0
841955bffffffff,6.0,0.0,0.0
841955dffffffff,2.0,0.0,0.0
841956bffffffff,1.0,0.0,0.0
8419581ffffffff,83.0,2.0,0.0
8419583ffffffff,42.0,0.0,0.0
8419585ffffffff,20.0,0.0,0.0
8419587ffffffff,29.0,1.0,0.0
8419589ffffffff,112.0,8.0,0.0
841958bffffffff,41.0,2.0,0.0
841958dffffffff,6.0,0.0,0.0
8419591ffffffff,334.0,35.0,0.0
8419593ffffffff,26.0,2.0,0.0
8419595ffffffff,23.0,0.0,0.0
8419597ffffffff,144.0,0.0,0.0
