cell_id,Motacilla tschutschensis,Motacilla tschutschensis tschutschensis/plexa,Motacilla tschutschensis taivana,Motacilla tschutschensis macronyx
83696cfffffffff,3.0,0.0,0.0,0.0
839451fffffffff,3.0,1.0,0.0,0.0
83945afffffffff,1.0,1.0,0.0,0.0
839480fffffffff,5.0,0.0,0.0,3.0
8394edfffffffff,7.0,7.0,0.0,0.0
83956afffffffff,3.0,0.0,3.0,0.0
8395a4fffffffff,3.0,3.0,0.0,0.0
839c19fffffffff,2.0,0.0,0.0,0.0
839c6cfffffffff,4.0,0.0,0.0,0.0
839c8afffffffff,1.0,0.0,0.0,0.0
839d0bfffffffff,2.0,0.0,0.0,0.0
83a726fffffffff,15.0,0.0,0.0,0.0
83a79afffffffff,8.0,0.0,0.0,0.0
83b89afffffffff,2.0,0.0,0.0,0.0
83b916fffffffff,8.0,0.0,0.0,0.0
83b936fffffffff,9.0,0.0,0.0,0.0
83be1dfffffffff,24.0,0.0,0.0,0.0
83be63fffffffff,26.0,0.0,0.0,0.0
83be6efffffffff,2.0,0.0,0.0,0.0
83be8dfffffffff,36.0,3.0,0.0,0.0
83beabfffffffff,2.0,0.0,0.0,0.0
83bf4efffffffff,11.0,0.0,0.0,0.0
83c986fffffffff,2.0,0.0,0.0,0.0
83c993fffffffff,6.0,0.0,0.0,0.0
