cell_id,Sporophila morelleti,Sporophila morelleti sharpei,Sporophila morelleti morelleti
846d2bbffffffff,102.0,0.0,0.0
846d2bdffffffff,4.0,0.0,0.0
846d2c1ffffffff,35.0,0.0,0.0
846d2c3ffffffff,104.0,0.0,0.0
846d2c5ffffffff,13.0,0.0,0.0
846d2c7ffffffff,30.0,0.0,0.0
846d2c9ffffffff,654.0,0.0,0.0
846d2cbffffffff,98.0,0.0,0.0
846d2cdffffffff,10.0,0.0,0.0
846d2d1ffffffff,643.0,0.0,0.0
846d2d3ffffffff,436.0,0.0,0.0
846d2d5ffffffff,9.0,0.0,0.0
846d2d7ffffffff,1751.0,0.0,0.0
846d2d9ffffffff,87.0,0.0,0.0
846d2dbffffffff,40.0,0.0,0.0
846d2ddffffffff,51.0,0.0,0.0
846d2e3ffffffff,2.0,0.0,0.0
846d2e5ffffffff,104.0,0.0,0.0
846d2e9ffffffff,44.0,0.0,0.0
846d2ebffffffff,77.0,0.0,0.0
846d2edffffffff,3.0,0.0,0.0
846d303ffffffff,12.0,0.0,0.0
846d305ffffffff,57.0,0.0,0.0
846d307ffffffff,40.0,0.0,0.0
846d309ffffffff,2.0,0.0,0.0
846d30dffffffff,491.0,0.0,0.0
846d311ffffffff,11.0,0.0,0.0
846d319ffffffff,246.0,0.0,0.0
846d31bffffffff,89.0,0.0,0.0
846d31dffffffff,2.0,0.0,0.0
846d341ffffffff,117.0,0.0,0.0
846d343ffffffff,38.0,0.0,0.0
846d345ffffffff,2.0,0.0,0.0
846d347ffffffff,31.0,0.0,0.0
846d34bffffffff,99.0,0.0,0.0
846d34dffffffff,1734.0,0.0,0.0
846d351ffffffff,2.0,0.0,0.0
846d357ffffffff,5.0,0.0,0.0
846d35bffffffff,1993.0,0.0,0.0
846d35dffffffff,444.0,0.0,0.0
846d361ffffffff,6.0,0.0,0.0
846d363ffffffff,9.0,0.0,0.0
846d367ffffffff,6.0,0.0,0.0
846d369ffffffff,18.0,0.0,0.0
846d36bffffffff,13.0,0.0,0.0
846d36dffffffff,58.0,0.0,0.0
846d601ffffffff,47.0,0.0,0.0
846d603ffffffff,2.0,0.0,0.0
846d605ffffffff,65.0,0.0,0.0
846d607ffffffff,43.0,0.0,0.0
846d609ffffffff,4.0,0.0,0.0
846d60bffffffff,2.0,0.0,0.0
846d60dffffffff,326.0,0.0,0.0
846d613ffffffff,13.0,0.0,0.0
846d615ffffffff,9.0,0.0,0.0
846d617ffffffff,3.0,0.0,0.0
846d619ffffffff,3.0,0.0,0.0
846d61bffffffff,5.0,0.0,0.0
846d639ffffffff,87.0,0.0,0.0
846d641ffffffff,921.0,0.0,0.0
846d643ffffffff,4.0,0.0,0.0
846d645ffffffff,620.0,0.0,0.0
846d649ffffffff,37.0,0.0,0.0
846d64bffffffff,29.0,0.0,0.0
846d64dffffffff,25.0,0.0,0.0
846d651ffffffff,330.0,0.0,0.0
846d653ffffffff,266.0,0.0,0.0
846d655ffffffff,156.0,0.0,0.0
846d657ffffffff,135.0,0.0,0.0
846d659ffffffff,1.0,0.0,0.0
846d65bffffffff,33.0,0.0,0.0
846d661ffffffff,58.0,0.0,0.0
846d663ffffffff,161.0,0.0,0.0
846d665ffffffff,87.0,0.0,0.0
846d667ffffffff,57.0,0.0,0.0
846d669ffffffff,5.0,0.0,0.0
846d66bffffffff,57.0,0.0,0.0
846d66dffffffff,39.0,0.0,0.0
846d681ffffffff,226.0,0.0,0.0
846d683ffffffff,648.0,0.0,0.0
846d685ffffffff,30.0,0.0,0.0
846d687ffffffff,520.0,0.0,0.0
846d689ffffffff,151.0,0.0,0.0
846d68bffffffff,1816.0,0.0,0.0
846d68dffffffff,25.0,0.0,0.0
846d691ffffffff,583.0,0.0,0.0
846d693ffffffff,282.0,0.0,0.0
846d695ffffffff,1204.0,0.0,0.0
846d697ffffffff,2028.0,0.0,0.0
846d699ffffffff,414.0,0.0,0.0
846d69bffffffff,355.0,0.0,0.0
846d69dffffffff,2001.0,0.0,0.0
846d6abffffffff,59.0,0.0,0.0
846d6b1ffffffff,12.0,0.0,0.0
846d6b9ffffffff,179.0,0.0,0.0
846d6bbffffffff,826.0,0.0,0.0
846d6bdffffffff,12.0,0.0,0.0
846d6c3ffffffff,42.0,0.0,0.0
846d6c9ffffffff,14.0,0.0,0.0
846d6cbffffffff,2.0,0.0,0.0
846d6cdffffffff,3.0,0.0,0.0
846d6d1ffffffff,31.0,0.0,0.0
846d6d3ffffffff,274.0,0.0,0.0
846d6d5ffffffff,1101.0,0.0,0.0
846d6d7ffffffff,49.0,0.0,0.0
846d6ddffffffff,29.0,0.0,0.0
846d6e9ffffffff,5.0,0.0,0.0
846d741ffffffff,155.0,0.0,0.0
846d743ffffffff,49.0,0.0,0.0
846d745ffffffff,148.0,0.0,0.0
846d747ffffffff,206.0,0.0,0.0
846d749ffffffff,61.0,0.0,0.0
846d74bffffffff,361.0,0.0,0.0
846d751ffffffff,149.0,0.0,0.0
846d759ffffffff,32.0,0.0,0.0
846d75bffffffff,187.0,0.0,0.0
846d75dffffffff,326.0,0.0,0.0
846d769ffffffff,160.0,0.0,0.0
846d76dffffffff,133.0,0.0,0.0
