cell_id,Tringa semipalmata,Tringa semipalmata semipalmata,Tringa semipalmata inornata
84262ddffffffff,7.0,0.0,0.0
84262e1ffffffff,9.0,0.0,2.0
84262e3ffffffff,1.0,0.0,0.0
84262e5ffffffff,2.0,0.0,0.0
84262e7ffffffff,4.0,0.0,2.0
84262e9ffffffff,4.0,0.0,0.0
84262ebffffffff,5.0,0.0,0.0
8426301ffffffff,7.0,0.0,2.0
8426303ffffffff,20.0,0.0,2.0
8426305ffffffff,3.0,0.0,0.0
8426307ffffffff,12.0,0.0,0.0
8426309ffffffff,13.0,0.0,6.0
842630bffffffff,35.0,0.0,14.0
842630dffffffff,16.0,0.0,2.0
8426311ffffffff,2.0,0.0,0.0
8426313ffffffff,2.0,0.0,0.0
8426315ffffffff,6.0,0.0,0.0
8426317ffffffff,5.0,0.0,0.0
842631dffffffff,5.0,0.0,0.0
8426321ffffffff,2.0,0.0,0.0
842632bffffffff,1.0,0.0,0.0
8426331ffffffff,7.0,0.0,0.0
8426333ffffffff,9.0,0.0,0.0
8426335ffffffff,4.0,0.0,0.0
8426337ffffffff,17.0,0.0,0.0
8426339ffffffff,2.0,0.0,0.0
842633bffffffff,4.0,0.0,0.0
842633dffffffff,10.0,0.0,2.0
8426341ffffffff,497.0,0.0,174.0
8426343ffffffff,5.0,0.0,3.0
8426345ffffffff,131.0,0.0,42.0
8426347ffffffff,11.0,0.0,6.0
8426349ffffffff,44.0,0.0,14.0
842634bffffffff,17.0,0.0,4.0
842634dffffffff,355.0,0.0,110.0
8426351ffffffff,7.0,0.0,0.0
8426353ffffffff,9.0,0.0,4.0
8426355ffffffff,5.0,0.0,3.0
8426357ffffffff,33.0,0.0,6.0
8426359ffffffff,2.0,0.0,0.0
842635bffffffff,2.0,0.0,0.0
842635dffffffff,4.0,0.0,0.0
8426363ffffffff,3.0,0.0,2.0
8426365ffffffff,4.0,0.0,2.0
8426369ffffffff,46.0,0.0,10.0
842636bffffffff,66.0,0.0,11.0
842636dffffffff,2.0,0.0,0.0
8426405ffffffff,3.0,0.0,0.0
842640dffffffff,15.0,0.0,0.0
8426433ffffffff,1.0,0.0,0.0
8426437ffffffff,4.0,0.0,0.0
842644dffffffff,2.0,0.0,0.0
8426461ffffffff,30.0,0.0,2.0
8426463ffffffff,6.0,0.0,0.0
8426469ffffffff,2.0,0.0,0.0
842646bffffffff,83.0,0.0,0.0
842646dffffffff,3.0,0.0,0.0
8426489ffffffff,14.0,0.0,5.0
84264c1ffffffff,2.0,0.0,0.0
84264c5ffffffff,11.0,0.0,3.0
84264cbffffffff,1.0,0.0,0.0
84264e5ffffffff,10.0,0.0,0.0
84264edffffffff,1.0,0.0,0.0
8426505ffffffff,4.0,0.0,0.0
842650dffffffff,8.0,0.0,0.0
8426521ffffffff,8.0,0.0,0.0
842652bffffffff,48.0,0.0,0.0
842652dffffffff,7.0,0.0,0.0
8426531ffffffff,23.0,0.0,0.0
8426533ffffffff,37.0,0.0,0.0
8426535ffffffff,15.0,0.0,0.0
