cell_id,Anisognathus lacrymosus,Anisognathus lacrymosus pallididorsalis,Anisognathus lacrymosus melanops,Anisognathus lacrymosus yariguierum,Anisognathus lacrymosus intensus,Anisognathus lacrymosus [palpebrosus Group],Anisognathus lacrymosus lacrymosus
846629dffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
84662b1ffffffff,41.0,0.0,7.0,0.0,0.0,0.0,0.0
84662bbffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84662d3ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
84662edffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
846656dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c0dffffffff,57.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c21ffffffff,35.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c25ffffffff,194.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c2dffffffff,89.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c47ffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c61ffffffff,250.0,0.0,0.0,0.0,0.0,1.0,0.0
8466c63ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c67ffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c69ffffffff,291.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c6dffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d0bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d11ffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d15ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d19ffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d33ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d53ffffffff,77.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d59ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d5bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8466de1ffffffff,269.0,0.0,0.0,0.0,0.0,15.0,0.0
8466de5ffffffff,54.0,0.0,0.0,0.0,0.0,0.0,0.0
8466dedffffffff,703.0,0.0,0.0,0.0,0.0,45.0,0.0
8466e09ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e0bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e2dffffffff,261.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e43ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e55ffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e61ffffffff,186.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e65ffffffff,885.0,0.0,0.0,0.0,0.0,30.0,0.0
8466e67ffffffff,583.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e69ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e6dffffffff,3558.0,0.0,0.0,0.0,0.0,75.0,0.0
8466f13ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8466f15ffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8466f19ffffffff,176.0,0.0,0.0,0.0,0.0,0.0,0.0
8466f1dffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0
8466f37ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466f3bffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8466f53ffffffff,73.0,0.0,0.0,0.0,0.0,0.0,0.0
8466f57ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466f5bffffffff,60.0,0.0,0.0,0.0,0.0,0.0,0.0
84675a5ffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
84675adffffffff,117.0,0.0,0.0,0.0,0.0,0.0,0.0
848b617ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848b6c1ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
848b6c9ffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
848b6cdffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
848e619ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
848e641ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
848e649ffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
848e64bffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
848e651ffffffff,118.0,0.0,0.0,0.0,0.0,0.0,0.0
848e655ffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
848e657ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
848e6d9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848f293ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848f29bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
848f2bbffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
848f2d3ffffffff,25.0,0.0,0.0,0.0,0.0,1.0,0.0
848f425ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
848f42dffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
848f465ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
848f467ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
848f4a5ffffffff,207.0,0.0,0.0,0.0,0.0,0.0,24.0
848f4a7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
848f509ffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
848f51dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848f541ffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
848f549ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848f54bffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
848f54dffffffff,68.0,0.0,0.0,0.0,0.0,0.0,0.0
848f551ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848f553ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
848f555ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
848f559ffffffff,94.0,0.0,0.0,0.0,0.0,0.0,0.0
848f55bffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
848f55dffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
848f5c1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848f5c3ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
848f5cbffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
848f5d7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
848f5ddffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0
848f705ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848f721ffffffff,775.0,0.0,0.0,0.0,0.0,55.0,0.0
848f725ffffffff,10.0,0.0,0.0,0.0,0.0,4.0,0.0
848f727ffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0
848f729ffffffff,10.0,0.0,0.0,0.0,0.0,1.0,0.0
848f72dffffffff,111.0,0.0,0.0,0.0,0.0,2.0,0.0
848f733ffffffff,138.0,0.0,0.0,0.0,0.0,0.0,0.0
848f745ffffffff,47.0,0.0,0.0,0.0,0.0,0.0,0.0
848f761ffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
848f763ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
848f765ffffffff,20.0,0.0,0.0,0.0,0.0,6.0,0.0
848f767ffffffff,248.0,0.0,0.0,0.0,0.0,30.0,0.0
848f769ffffffff,73.0,0.0,0.0,0.0,0.0,0.0,0.0
848f76bffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0
848f76dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
