cell_id,Phyllomyias griseiceps,Phyllomyias griseiceps griseiceps,Phyllomyias griseiceps cristatus,Phyllomyias griseiceps caucae,Phyllomyias griseiceps pallidiceps
84675cbffffffff,27.0,0.0,0.0,0.0,0.0
84675ddffffffff,4.0,0.0,0.0,0.0,0.0
84675e1ffffffff,6.0,0.0,0.0,0.0,0.0
84675e3ffffffff,1.0,0.0,0.0,0.0,0.0
84675e7ffffffff,4.0,0.0,0.0,0.0,0.0
84675ebffffffff,41.0,0.0,0.0,0.0,0.0
848adb9ffffffff,4.0,0.0,0.0,0.0,0.0
848adbbffffffff,2.0,0.0,0.0,0.0,1.0
848ade3ffffffff,2.0,0.0,0.0,0.0,0.0
848b69bffffffff,1.0,0.0,0.0,0.0,0.0
848e643ffffffff,8.0,0.0,0.0,0.0,0.0
848e64bffffffff,9.0,0.0,0.0,0.0,0.0
848e651ffffffff,6.0,0.0,0.0,0.0,0.0
848e65bffffffff,1.0,0.0,0.0,0.0,0.0
848f0d1ffffffff,9.0,0.0,0.0,0.0,0.0
848f0d9ffffffff,1.0,0.0,0.0,0.0,0.0
848f0dbffffffff,176.0,0.0,0.0,0.0,0.0
848f285ffffffff,7.0,2.0,0.0,0.0,0.0
848f28dffffffff,6.0,0.0,0.0,0.0,0.0
848f291ffffffff,8.0,0.0,0.0,0.0,0.0
848f295ffffffff,60.0,0.0,0.0,0.0,0.0
848f2a1ffffffff,18.0,0.0,0.0,0.0,0.0
848f2a9ffffffff,277.0,2.0,0.0,0.0,0.0
848f2abffffffff,20.0,0.0,0.0,0.0,0.0
848f2b9ffffffff,2.0,0.0,0.0,0.0,0.0
848f2bbffffffff,12.0,0.0,0.0,0.0,0.0
848f2bdffffffff,17.0,3.0,0.0,0.0,0.0
848f2c1ffffffff,7.0,0.0,0.0,0.0,0.0
848f2c3ffffffff,11.0,0.0,0.0,0.0,0.0
848f2c9ffffffff,14.0,0.0,0.0,0.0,0.0
848f2cbffffffff,73.0,0.0,0.0,0.0,0.0
848f2cdffffffff,69.0,0.0,0.0,0.0,0.0
848f2e7ffffffff,6.0,0.0,0.0,0.0,0.0
848f401ffffffff,7.0,0.0,0.0,0.0,0.0
848f429ffffffff,7.0,0.0,0.0,0.0,0.0
848f439ffffffff,12.0,0.0,0.0,0.0,0.0
848f461ffffffff,26.0,0.0,0.0,0.0,0.0
848f463ffffffff,113.0,0.0,0.0,0.0,0.0
848f465ffffffff,1.0,0.0,0.0,0.0,0.0
848f467ffffffff,3.0,0.0,0.0,0.0,0.0
848f705ffffffff,15.0,0.0,0.0,0.0,0.0
848f721ffffffff,2.0,0.0,0.0,0.0,0.0
848f727ffffffff,2.0,0.0,0.0,0.0,0.0
848f729ffffffff,28.0,0.0,0.0,0.0,3.0
848f72bffffffff,38.0,0.0,0.0,0.0,3.0
848f733ffffffff,4.0,0.0,0.0,0.0,0.0
848f745ffffffff,26.0,0.0,0.0,0.0,0.0
848f74dffffffff,13.0,0.0,0.0,0.0,0.0
848f763ffffffff,20.0,0.0,0.0,0.0,0.0
848f765ffffffff,1.0,0.0,0.0,0.0,0.0
848f76bffffffff,10.0,0.0,0.0,0.0,0.0
