cell_id,Amazilis amazilia,Amazilis amazilia [dumerilii Group],Amazilis amazilia amazilia,Amazilis amazilia caeruleigularis
848f5bbffffffff,1.0,0.0,0.0,0.0
848f5bdffffffff,1.0,0.0,0.0,0.0
848f5e1ffffffff,24.0,0.0,0.0,0.0
848f5e7ffffffff,4.0,0.0,0.0,0.0
848f5e9ffffffff,2.0,0.0,0.0,0.0
848f5ebffffffff,7.0,0.0,0.0,0.0
848f5edffffffff,4.0,0.0,0.0,0.0
848f721ffffffff,14.0,9.0,0.0,0.0
848f725ffffffff,52.0,12.0,0.0,0.0
848f72dffffffff,295.0,87.0,0.0,0.0
848f737ffffffff,2.0,0.0,0.0,0.0
848f761ffffffff,22.0,0.0,0.0,0.0
848f765ffffffff,101.0,0.0,0.0,0.0
848f767ffffffff,12.0,2.0,0.0,0.0
848f76dffffffff,5.0,0.0,0.0,0.0
