cell_id,Thinornis tricollaris,Thinornis tricollaris tricollaris,Thinornis tricollaris bifrontatus
83a31cfffffffff,7.0,0.0,2.0
83a31dfffffffff,28.0,0.0,2.0
83a376fffffffff,3.0,0.0,0.0
83a38bfffffffff,9.0,0.0,9.0
83a38dfffffffff,2.0,0.0,0.0
83a38efffffffff,3.0,0.0,0.0
83a399fffffffff,170.0,0.0,56.0
83a39dfffffffff,13.0,0.0,0.0
83a3abfffffffff,2.0,0.0,0.0
83ac12fffffffff,160.0,12.0,0.0
83ac80fffffffff,149.0,5.0,0.0
83ac81fffffffff,14.0,0.0,0.0
83ac82fffffffff,41.0,4.0,0.0
83ac84fffffffff,10.0,0.0,0.0
83ac85fffffffff,13.0,0.0,0.0
83ac86fffffffff,224.0,37.0,0.0
83ac8afffffffff,35.0,0.0,0.0
83ac8cfffffffff,4.0,0.0,0.0
83ac8efffffffff,14.0,0.0,0.0
83ac96fffffffff,78.0,2.0,0.0
83ac9dfffffffff,4.0,0.0,0.0
83aca0fffffffff,1.0,0.0,0.0
83aca1fffffffff,1.0,0.0,0.0
83aca2fffffffff,47.0,2.0,0.0
83aca4fffffffff,31.0,8.0,0.0
83aca5fffffffff,2.0,0.0,0.0
83aca6fffffffff,246.0,37.0,0.0
83acaafffffffff,7.0,2.0,0.0
83acaefffffffff,17.0,6.0,0.0
83acb3fffffffff,2.0,0.0,0.0
83ad12fffffffff,4.0,0.0,0.0
83ad32fffffffff,337.0,72.0,0.0
83ad36fffffffff,525.0,107.0,0.0
83ad82fffffffff,2.0,0.0,0.0
83ad86fffffffff,1.0,0.0,0.0
83ad9bfffffffff,2.0,0.0,0.0
83ada0fffffffff,3.0,0.0,0.0
83ada2fffffffff,34.0,3.0,0.0
83ada3fffffffff,4.0,0.0,0.0
83ada4fffffffff,18.0,0.0,0.0
83ada6fffffffff,1.0,0.0,0.0
83ada8fffffffff,6.0,2.0,0.0
83adaafffffffff,7.0,0.0,0.0
83adacfffffffff,4.0,3.0,0.0
83adaefffffffff,7.0,0.0,0.0
83adb0fffffffff,3.0,0.0,0.0
83adb5fffffffff,4.0,0.0,0.0
83bc09fffffffff,10.0,1.0,0.0
83bc0bfffffffff,4.0,0.0,0.0
83bc19fffffffff,3.0,0.0,0.0
83bc1bfffffffff,18.0,3.0,0.0
83bc40fffffffff,2.0,0.0,0.0
83bc41fffffffff,11.0,9.0,0.0
83bc42fffffffff,2.0,0.0,0.0
83bc43fffffffff,43.0,0.0,0.0
83bc44fffffffff,15.0,1.0,0.0
83bc45fffffffff,41.0,5.0,0.0
83bc46fffffffff,12.0,2.0,0.0
83bc48fffffffff,27.0,0.0,0.0
83bc49fffffffff,18.0,0.0,0.0
83bc4afffffffff,8.0,2.0,0.0
83bc4bfffffffff,13.0,3.0,0.0
83bc4cfffffffff,2.0,0.0,0.0
83bc4dfffffffff,123.0,21.0,0.0
83bc4efffffffff,3.0,0.0,0.0
83bc50fffffffff,1.0,0.0,0.0
83bc51fffffffff,1.0,0.0,0.0
83bc52fffffffff,1.0,0.0,0.0
83bc54fffffffff,2.0,0.0,0.0
83bc55fffffffff,7.0,0.0,0.0
83bc5cfffffffff,3.0,0.0,0.0
83bc5efffffffff,10.0,1.0,0.0
83bc68fffffffff,106.0,27.0,0.0
83bc69fffffffff,20.0,0.0,0.0
83bc6afffffffff,69.0,9.0,0.0
83bc6bfffffffff,39.0,4.0,0.0
83bc71fffffffff,41.0,0.0,0.0
83bc72fffffffff,2.0,0.0,0.0
83bc73fffffffff,75.0,0.0,0.0
83bc89fffffffff,119.0,20.0,0.0
83bc8bfffffffff,5.0,0.0,0.0
83bc99fffffffff,5.0,0.0,0.0
83bc9bfffffffff,1.0,0.0,0.0
83bcc0fffffffff,1.0,0.0,0.0
83bcc1fffffffff,9.0,4.0,0.0
83bcc2fffffffff,311.0,34.0,0.0
83bcc3fffffffff,114.0,14.0,0.0
83bcc5fffffffff,2.0,0.0,0.0
83bcc6fffffffff,206.0,38.0,0.0
83bccafffffffff,27.0,0.0,0.0
83bccbfffffffff,2.0,0.0,0.0
83bcccfffffffff,4.0,0.0,0.0
83bccefffffffff,2.0,0.0,0.0
83bcd0fffffffff,148.0,11.0,0.0
83bcd1fffffffff,28.0,6.0,0.0
83bcd2fffffffff,1560.0,305.0,0.0
83bcd3fffffffff,41.0,8.0,0.0
83bcd4fffffffff,50.0,4.0,0.0
83bcd5fffffffff,26.0,4.0,0.0
83bcd6fffffffff,735.0,133.0,0.0
83bcd8fffffffff,17.0,2.0,0.0
83bcd9fffffffff,40.0,12.0,0.0
83bcdafffffffff,5.0,0.0,0.0
83bcdcfffffffff,172.0,19.0,0.0
83bcddfffffffff,85.0,8.0,0.0
83bcdefffffffff,33.0,2.0,0.0
83bce0fffffffff,3.0,0.0,0.0
83bce1fffffffff,7.0,0.0,0.0
83bce2fffffffff,13.0,0.0,0.0
83bce6fffffffff,21.0,2.0,0.0
83bce8fffffffff,7.0,0.0,0.0
83bce9fffffffff,47.0,2.0,0.0
83bceafffffffff,3.0,0.0,0.0
83bcebfffffffff,2.0,0.0,0.0
83bcedfffffffff,2.0,0.0,0.0
83bcf0fffffffff,47.0,12.0,0.0
83bcf1fffffffff,19.0,0.0,0.0
83bcf2fffffffff,655.0,88.0,0.0
83bcf3fffffffff,57.0,12.0,0.0
83bcf4fffffffff,20.0,7.0,0.0
83bcf5fffffffff,209.0,22.0,0.0
83bcf6fffffffff,320.0,40.0,0.0
