cell_id,Arremonops rufivirgatus,Arremonops rufivirgatus [rufivirgatus Group],Arremonops rufivirgatus [superciliosus Group]
8448333ffffffff,1.0,0.0,0.0
8448337ffffffff,15.0,0.0,0.0
844833bffffffff,6.0,0.0,0.0
844833dffffffff,1.0,0.0,0.0
8448361ffffffff,10.0,0.0,0.0
8448363ffffffff,5.0,0.0,0.0
8448367ffffffff,3.0,0.0,0.0
8448369ffffffff,5.0,0.0,0.0
844836dffffffff,2.0,0.0,0.0
8448803ffffffff,32.0,0.0,0.0
8448805ffffffff,21.0,0.0,0.0
8448807ffffffff,8.0,0.0,0.0
844880dffffffff,996.0,0.0,0.0
8448815ffffffff,46.0,0.0,0.0
8448817ffffffff,14.0,0.0,0.0
8448821ffffffff,17.0,0.0,0.0
8448823ffffffff,14.0,0.0,0.0
8448825ffffffff,741.0,0.0,0.0
8448827ffffffff,54.0,0.0,0.0
8448829ffffffff,6.0,0.0,0.0
844882bffffffff,82.0,0.0,0.0
844882dffffffff,300.0,0.0,0.0
8448831ffffffff,375.0,0.0,0.0
8448833ffffffff,385.0,0.0,0.0
8448835ffffffff,42.0,0.0,0.0
8448837ffffffff,296.0,0.0,0.0
8448839ffffffff,36.0,0.0,0.0
844883bffffffff,17.0,0.0,0.0
844883dffffffff,12.0,0.0,0.0
8448841ffffffff,6.0,0.0,0.0
8448845ffffffff,19.0,0.0,0.0
8448849ffffffff,8.0,0.0,0.0
844884bffffffff,11.0,4.0,0.0
844884dffffffff,36.0,4.0,0.0
8448851ffffffff,2.0,0.0,0.0
8448853ffffffff,4.0,0.0,0.0
8448855ffffffff,4.0,0.0,0.0
8448859ffffffff,2.0,0.0,0.0
8448861ffffffff,46.0,0.0,0.0
8448863ffffffff,25.0,0.0,0.0
8448865ffffffff,45.0,0.0,0.0
8448867ffffffff,57.0,0.0,0.0
8448869ffffffff,132.0,0.0,0.0
844886bffffffff,529.0,0.0,0.0
844886dffffffff,15.0,0.0,0.0
84488e1ffffffff,177.0,0.0,0.0
84488e3ffffffff,19.0,0.0,0.0
84488e5ffffffff,38.0,0.0,0.0
84488e9ffffffff,352.0,0.0,0.0
84488ebffffffff,11.0,0.0,0.0
84488edffffffff,624.0,0.0,0.0
8448903ffffffff,9.0,0.0,0.0
844890bffffffff,24.0,0.0,0.0
8448911ffffffff,48.0,0.0,0.0
8448919ffffffff,86.0,0.0,0.0
844891bffffffff,60.0,0.0,0.0
844891dffffffff,4.0,0.0,0.0
8448951ffffffff,724.0,0.0,0.0
8448953ffffffff,218.0,0.0,0.0
8448955ffffffff,42.0,0.0,0.0
8448957ffffffff,123.0,0.0,0.0
8448959ffffffff,734.0,0.0,0.0
844895bffffffff,97.0,0.0,0.0
844895dffffffff,2.0,0.0,0.0
84489c1ffffffff,1084.0,0.0,0.0
84489c9ffffffff,79.0,0.0,0.0
84489cbffffffff,53.0,0.0,0.0
84489cdffffffff,14.0,0.0,0.0
84489d3ffffffff,113.0,0.0,0.0
84489d9ffffffff,261.0,0.0,0.0
84489ddffffffff,53.0,0.0,0.0
8448a05ffffffff,2.0,0.0,0.0
8448a21ffffffff,1206.0,39.0,0.0
8448a23ffffffff,6.0,3.0,0.0
8448a25ffffffff,9.0,0.0,0.0
8448a27ffffffff,492.0,174.0,0.0
8448a2bffffffff,54.0,0.0,0.0
8448a2dffffffff,75.0,0.0,0.0
8448a65ffffffff,3.0,0.0,0.0
8448a67ffffffff,6.0,0.0,0.0
8448b0bffffffff,1.0,0.0,0.0
8448b13ffffffff,4113.0,0.0,0.0
8448b15ffffffff,5190.0,0.0,0.0
8448b17ffffffff,175.0,0.0,0.0
8448b19ffffffff,12.0,2.0,0.0
8448b1bffffffff,42.0,24.0,0.0
8448b1dffffffff,144.0,6.0,0.0
8448b23ffffffff,693.0,0.0,0.0
8448b2bffffffff,2122.0,0.0,0.0
8448b31ffffffff,449.0,0.0,0.0
8448b33ffffffff,20.0,0.0,0.0
8448b35ffffffff,125.0,0.0,0.0
8448b37ffffffff,760.0,0.0,0.0
8448b39ffffffff,11615.0,0.0,0.0
8448b3bffffffff,204.0,0.0,0.0
8448b3dffffffff,5311.0,0.0,0.0
8448b49ffffffff,3.0,0.0,0.0
8448b4dffffffff,16.0,0.0,0.0
8448b51ffffffff,29.0,0.0,0.0
8448b53ffffffff,4.0,0.0,0.0
8448b59ffffffff,9.0,0.0,0.0
8448b5bffffffff,178.0,4.0,0.0
8449901ffffffff,6.0,0.0,0.0
8449903ffffffff,20.0,0.0,0.0
8449905ffffffff,2.0,0.0,0.0
8449907ffffffff,8.0,0.0,0.0
8449913ffffffff,5.0,0.0,0.0
8449917ffffffff,1.0,0.0,0.0
844991dffffffff,14.0,0.0,0.0
844992bffffffff,11.0,0.0,0.0
8449931ffffffff,1.0,0.0,0.0
8449933ffffffff,1.0,0.0,0.0
8449961ffffffff,205.0,84.0,0.0
8449963ffffffff,39.0,3.0,0.0
8449965ffffffff,1.0,0.0,0.0
8449967ffffffff,6.0,2.0,0.0
8449969ffffffff,90.0,9.0,0.0
844996bffffffff,4.0,2.0,0.0
844996dffffffff,55.0,0.0,0.0
8449981ffffffff,51.0,0.0,0.0
8449983ffffffff,6.0,0.0,0.0
8449985ffffffff,2.0,0.0,0.0
8449987ffffffff,337.0,17.0,0.0
844998dffffffff,6.0,0.0,0.0
84499a1ffffffff,1.0,0.0,0.0
84499a3ffffffff,6.0,2.0,0.0
84499b1ffffffff,79.0,6.0,0.0
84499b5ffffffff,15.0,2.0,0.0
84499b7ffffffff,4.0,0.0,0.0
84499bdffffffff,4.0,0.0,0.0
84499c1ffffffff,4.0,0.0,0.0
84499c5ffffffff,16.0,0.0,0.0
84499cdffffffff,29.0,0.0,0.0
84499ddffffffff,2.0,0.0,0.0
84499e3ffffffff,101.0,0.0,0.0
84499e7ffffffff,2.0,0.0,0.0
84499ebffffffff,10.0,0.0,0.0
8449a21ffffffff,4.0,0.0,0.0
8449a23ffffffff,12.0,0.0,2.0
8449a2bffffffff,20.0,0.0,3.0
8449a3dffffffff,36.0,0.0,9.0
8449a81ffffffff,4.0,0.0,0.0
8449a83ffffffff,1.0,0.0,0.0
8449a85ffffffff,22.0,0.0,2.0
8449a89ffffffff,13.0,0.0,2.0
8449a8bffffffff,20.0,0.0,2.0
8449a8dffffffff,12.0,0.0,0.0
8449a91ffffffff,23.0,0.0,2.0
8449a93ffffffff,32.0,0.0,3.0
8449a95ffffffff,2.0,0.0,0.0
8449a99ffffffff,6.0,0.0,0.0
8449a9bffffffff,7.0,0.0,0.0
8449a9dffffffff,1.0,0.0,0.0
8449ad5ffffffff,3.0,0.0,0.0
8449ad7ffffffff,20.0,0.0,4.0
8449ae1ffffffff,1.0,0.0,0.0
8449ae3ffffffff,11.0,0.0,0.0
8449b0bffffffff,14.0,0.0,0.0
8449b0dffffffff,2.0,0.0,0.0
8449b53ffffffff,3.0,0.0,3.0
8449b55ffffffff,10.0,0.0,5.0
8449b65ffffffff,1.0,0.0,0.0
8449b6bffffffff,2.0,0.0,0.0
8449b6dffffffff,4.0,0.0,0.0
846d049ffffffff,1.0,0.0,1.0
846d06dffffffff,11.0,0.0,0.0
846d141ffffffff,6.0,0.0,2.0
846d159ffffffff,541.0,0.0,80.0
846d15dffffffff,47.0,0.0,2.0
846d223ffffffff,12.0,0.0,2.0
846d22dffffffff,2.0,2.0,0.0
846d231ffffffff,277.0,0.0,37.0
846d235ffffffff,1.0,0.0,0.0
846d239ffffffff,260.0,0.0,74.0
846d23dffffffff,242.0,0.0,23.0
846d267ffffffff,2.0,0.0,0.0
846d281ffffffff,2.0,0.0,0.0
846d28dffffffff,2.0,0.0,0.0
846d2c9ffffffff,14.0,0.0,0.0
846d2e3ffffffff,2.0,0.0,0.0
846d2e9ffffffff,10.0,0.0,2.0
846d2ebffffffff,12.0,0.0,0.0
846d305ffffffff,5.0,3.0,0.0
846d30dffffffff,139.0,23.0,0.0
846d311ffffffff,4.0,0.0,0.0
846d319ffffffff,128.0,36.0,0.0
846d333ffffffff,15.0,0.0,7.0
846d337ffffffff,52.0,0.0,7.0
846d34bffffffff,12.0,4.0,0.0
846d35dffffffff,51.0,2.0,0.0
846d369ffffffff,9.0,0.0,0.0
846d36bffffffff,4.0,0.0,0.0
846d613ffffffff,27.0,0.0,0.0
846d615ffffffff,6.0,0.0,0.0
846d617ffffffff,341.0,0.0,0.0
846d681ffffffff,211.0,0.0,0.0
846d683ffffffff,101.0,0.0,0.0
846d685ffffffff,84.0,0.0,0.0
846d687ffffffff,55.0,0.0,0.0
846d68bffffffff,31.0,0.0,0.0
846d68dffffffff,55.0,0.0,0.0
846d691ffffffff,235.0,0.0,0.0
846d693ffffffff,609.0,0.0,0.0
846d695ffffffff,241.0,0.0,0.0
846d697ffffffff,711.0,0.0,0.0
846d69bffffffff,14.0,0.0,0.0
846d69dffffffff,9.0,0.0,0.0
846d6abffffffff,7.0,0.0,0.0
846d6b1ffffffff,13.0,0.0,0.0
846d6b9ffffffff,125.0,0.0,0.0
846d6bbffffffff,2344.0,0.0,0.0
846d6bdffffffff,34.0,0.0,0.0
846d6c7ffffffff,4.0,0.0,0.0
846d6e1ffffffff,2.0,0.0,0.0
846d6e9ffffffff,370.0,0.0,0.0
846d6ebffffffff,1.0,0.0,0.0
846d6edffffffff,2.0,0.0,0.0
