cell_id,Agelasticus cyanopus,Agelasticus cyanopus atroolivaceus/unicolor,Agelasticus cyanopus cyanopus
83c2ccfffffffff,7.0,0.0,0.0
83c2cdfffffffff,219.0,0.0,0.0
83c2cefffffffff,11.0,0.0,0.0
83c2e0fffffffff,11.0,0.0,0.0
83c2e2fffffffff,1.0,0.0,0.0
83c2e3fffffffff,229.0,0.0,0.0
83c2e4fffffffff,2.0,0.0,0.0
83c2e5fffffffff,2.0,0.0,0.0
83c2e8fffffffff,35.0,0.0,0.0
83c2eafffffffff,46.0,0.0,0.0
83c2ebfffffffff,32.0,0.0,0.0
83c2ecfffffffff,2.0,0.0,0.0
83c2eefffffffff,70.0,0.0,0.0
83c34bfffffffff,2.0,0.0,0.0
83c35dfffffffff,2.0,0.0,0.0
