cell_id,Thlypopsis sordida,Thlypopsis sordida chrysopis/orinocensis,Thlypopsis sordida sordida
83a8d4fffffffff,6.0,0.0,0.0
83a8d9fffffffff,2.0,0.0,0.0
83a8ddfffffffff,2.0,0.0,0.0
83a8defffffffff,27.0,0.0,0.0
83a8e6fffffffff,2.0,0.0,0.0
83a8f0fffffffff,1.0,0.0,0.0
83a8f1fffffffff,1.0,0.0,0.0
83a8f4fffffffff,16.0,0.0,0.0
83a91bfffffffff,13.0,0.0,0.0
83a940fffffffff,21.0,0.0,0.0
83a941fffffffff,182.0,0.0,0.0
83a942fffffffff,6.0,0.0,0.0
83a943fffffffff,10.0,0.0,0.0
83a944fffffffff,175.0,0.0,0.0
83a945fffffffff,75.0,0.0,0.0
83a946fffffffff,64.0,0.0,0.0
83a94cfffffffff,20.0,0.0,0.0
83a94efffffffff,147.0,0.0,0.0
83a953fffffffff,2.0,0.0,0.0
83a95cfffffffff,2.0,0.0,0.0
83a95dfffffffff,15.0,0.0,0.0
83a961fffffffff,61.0,0.0,0.0
83a962fffffffff,103.0,0.0,0.0
83a963fffffffff,19.0,0.0,0.0
83a965fffffffff,3.0,0.0,0.0
83a968fffffffff,2.0,0.0,0.0
83a96afffffffff,31.0,0.0,0.0
83a96efffffffff,66.0,0.0,0.0
83b269fffffffff,2.0,0.0,0.0
83b26dfffffffff,7.0,0.0,0.0
83b270fffffffff,9.0,0.0,0.0
83b274fffffffff,13.0,0.0,0.0
83b325fffffffff,9.0,0.0,0.0
83b340fffffffff,18.0,0.0,0.0
83b342fffffffff,497.0,0.0,0.0
83b343fffffffff,7.0,0.0,0.0
83b344fffffffff,12.0,0.0,0.0
83b346fffffffff,29.0,0.0,0.0
83b351fffffffff,144.0,0.0,0.0
83b358fffffffff,34.0,0.0,0.0
83b35afffffffff,3.0,0.0,0.0
83b35bfffffffff,32.0,0.0,0.0
83b35cfffffffff,105.0,0.0,0.0
83b35efffffffff,111.0,0.0,0.0
83b362fffffffff,4.0,0.0,0.0
83b366fffffffff,31.0,0.0,0.0
83c2c9fffffffff,9.0,0.0,0.0
83c2cbfffffffff,4.0,0.0,0.0
