cell_id,Aphelocoma woodhouseii,Aphelocoma woodhouseii [woodhouseii Group],Aphelocoma woodhouseii sumichrasti/remota
8448907ffffffff,2.0,0.0,0.0
8448983ffffffff,1.0,1.0,0.0
8448997ffffffff,1.0,1.0,0.0
84489bbffffffff,6.0,6.0,0.0
84489c1ffffffff,4.0,0.0,0.0
84489c3ffffffff,26.0,26.0,0.0
84489c5ffffffff,3.0,0.0,0.0
84489d1ffffffff,3.0,3.0,0.0
84489d3ffffffff,1.0,1.0,0.0
84489d9ffffffff,1.0,1.0,0.0
8448ab7ffffffff,9.0,1.0,0.0
8448c07ffffffff,3.0,3.0,0.0
8448c11ffffffff,2.0,2.0,0.0
8448c25ffffffff,2.0,2.0,0.0
8448c59ffffffff,19.0,1.0,0.0
8448c61ffffffff,7.0,0.0,0.0
8448c63ffffffff,10.0,10.0,0.0
8448c67ffffffff,6.0,6.0,0.0
8448c69ffffffff,6.0,4.0,0.0
8448ccbffffffff,5.0,2.0,0.0
8448cd3ffffffff,7.0,2.0,0.0
8448cd9ffffffff,34.0,25.0,0.0
8448cdbffffffff,5.0,5.0,0.0
8448d0dffffffff,8.0,0.0,0.0
8448d27ffffffff,2.0,0.0,0.0
8448d4bffffffff,19.0,19.0,0.0
8448d53ffffffff,4.0,4.0,0.0
8448d5dffffffff,11.0,11.0,0.0
8448d81ffffffff,1.0,1.0,0.0
8448d83ffffffff,5.0,3.0,0.0
8448d85ffffffff,1.0,1.0,0.0
8448d87ffffffff,12.0,10.0,0.0
8448da9ffffffff,1.0,1.0,0.0
8448dc3ffffffff,2.0,0.0,0.0
8448dc7ffffffff,3.0,3.0,0.0
8448e33ffffffff,4.0,2.0,0.0
8448e37ffffffff,10.0,8.0,0.0
8448e81ffffffff,3.0,1.0,0.0
8448e85ffffffff,350.0,77.0,0.0
8448e87ffffffff,1.0,0.0,0.0
8448e8dffffffff,198.0,39.0,0.0
8448eabffffffff,8.0,6.0,0.0
8448eadffffffff,7.0,6.0,0.0
8448eb1ffffffff,21.0,18.0,0.0
8448eb3ffffffff,20.0,14.0,0.0
8448eb5ffffffff,9.0,7.0,0.0
8448eb7ffffffff,1.0,0.0,0.0
8448ec7ffffffff,21.0,5.0,0.0
8448ee3ffffffff,65.0,21.0,0.0
8448ee5ffffffff,2.0,2.0,0.0
8448ee7ffffffff,1.0,0.0,0.0
8448ee9ffffffff,41.0,7.0,0.0
8448eebffffffff,138.0,24.0,0.0
8448f21ffffffff,1.0,1.0,0.0
8448f25ffffffff,2.0,0.0,0.0
8448f2dffffffff,29.0,0.0,0.0
8449821ffffffff,2.0,0.0,0.0
844983dffffffff,3.0,2.0,0.0
84498c1ffffffff,1.0,0.0,0.0
8449909ffffffff,2.0,0.0,2.0
844990dffffffff,2.0,0.0,2.0
8449943ffffffff,1.0,0.0,0.0
8449953ffffffff,2.0,0.0,0.0
8449a27ffffffff,2.0,0.0,0.0
846d32bffffffff,25.0,0.0,23.0
846d335ffffffff,1.0,0.0,1.0
846d33dffffffff,3.0,0.0,3.0
846d36dffffffff,3.0,0.0,3.0
