cell_id,Sakesphorus canadensis,Sakesphorus canadensis pulchellus,Sakesphorus canadensis [canadensis Group]
836623fffffffff,23.0,1.0,0.0
836625fffffffff,898.0,63.0,0.0
836628fffffffff,8.0,0.0,0.0
83662bfffffffff,12.0,0.0,0.0
83662cfffffffff,139.0,0.0,0.0
83662efffffffff,6.0,0.0,0.0
836631fffffffff,548.0,2.0,0.0
836640fffffffff,1.0,0.0,0.0
836641fffffffff,556.0,0.0,37.0
836642fffffffff,1.0,0.0,0.0
836643fffffffff,3.0,0.0,0.0
836644fffffffff,17.0,0.0,0.0
836645fffffffff,11.0,0.0,0.0
836646fffffffff,1.0,0.0,0.0
836650fffffffff,40.0,0.0,0.0
836652fffffffff,552.0,0.0,10.0
836654fffffffff,244.0,0.0,4.0
836656fffffffff,281.0,0.0,23.0
83665efffffffff,3.0,0.0,0.0
836660fffffffff,28.0,0.0,0.0
836662fffffffff,7.0,0.0,0.0
836663fffffffff,105.0,0.0,2.0
836664fffffffff,30.0,0.0,0.0
836666fffffffff,2.0,0.0,0.0
83666afffffffff,2.0,0.0,0.0
83666cfffffffff,2.0,0.0,0.0
83666efffffffff,13.0,0.0,0.0
836670fffffffff,28.0,0.0,0.0
836671fffffffff,13.0,0.0,0.0
836672fffffffff,228.0,0.0,3.0
836673fffffffff,60.0,0.0,17.0
836674fffffffff,6.0,0.0,0.0
836675fffffffff,50.0,0.0,0.0
836676fffffffff,4.0,0.0,0.0
8366e0fffffffff,15.0,0.0,0.0
8366e1fffffffff,179.0,0.0,2.0
8366e4fffffffff,27.0,0.0,0.0
8366e5fffffffff,874.0,0.0,5.0
8366e6fffffffff,1.0,0.0,0.0
8366ecfffffffff,185.0,0.0,6.0
8366eefffffffff,2.0,0.0,0.0
836741fffffffff,28.0,0.0,0.0
836742fffffffff,53.0,0.0,0.0
836743fffffffff,285.0,3.0,0.0
836748fffffffff,1.0,0.0,0.0
83674afffffffff,81.0,0.0,8.0
83674cfffffffff,97.0,0.0,0.0
83674dfffffffff,9.0,0.0,0.0
83674efffffffff,71.0,0.0,0.0
836750fffffffff,3.0,0.0,0.0
836751fffffffff,39.0,5.0,0.0
836752fffffffff,147.0,0.0,0.0
836753fffffffff,225.0,0.0,0.0
836755fffffffff,1053.0,9.0,0.0
836756fffffffff,73.0,0.0,0.0
836758fffffffff,12.0,0.0,0.0
836759fffffffff,55.0,0.0,2.0
83675afffffffff,55.0,0.0,0.0
83675bfffffffff,4.0,0.0,0.0
83675cfffffffff,235.0,0.0,0.0
83675dfffffffff,11.0,0.0,0.0
83675efffffffff,28.0,0.0,0.0
83676bfffffffff,4.0,0.0,0.0
838a45fffffffff,109.0,0.0,0.0
838a56fffffffff,4.0,0.0,0.0
838a69fffffffff,4.0,0.0,0.0
838a6dfffffffff,117.0,0.0,0.0
838a9dfffffffff,4.0,0.0,0.0
838ac4fffffffff,1.0,0.0,0.0
838ad1fffffffff,29.0,0.0,0.0
838ad5fffffffff,3.0,0.0,0.0
838adafffffffff,105.0,0.0,16.0
838adbfffffffff,21.0,0.0,0.0
838adcfffffffff,66.0,0.0,5.0
838adefffffffff,4.0,0.0,2.0
838aeafffffffff,2.0,0.0,0.0
838af0fffffffff,143.0,0.0,20.0
838af1fffffffff,28.0,0.0,0.0
838af4fffffffff,7.0,0.0,0.0
838f48fffffffff,23.0,0.0,0.0
838f4cfffffffff,2.0,0.0,0.0
838f61fffffffff,95.0,0.0,0.0
838f65fffffffff,7.0,0.0,0.0
838f6cfffffffff,1.0,0.0,0.0
838f6efffffffff,29.0,0.0,0.0
