cell_id,Pericrocotus solaris,Pericrocotus solaris [solaris Group],Pericrocotus solaris montanus/cinereigula
8364b0fffffffff,1.0,1.0,0.0
8364b1fffffffff,3.0,2.0,0.0
8364b5fffffffff,6.0,0.0,0.0
836500fffffffff,485.0,0.0,33.0
836503fffffffff,28.0,0.0,0.0
836505fffffffff,81.0,0.0,1.0
83650dfffffffff,10.0,0.0,0.0
83652bfffffffff,1.0,0.0,0.0
83652dfffffffff,10.0,0.0,0.0
836554fffffffff,25.0,0.0,0.0
836556fffffffff,22.0,0.0,0.0
836580fffffffff,42.0,0.0,0.0
836581fffffffff,5.0,0.0,0.0
8365b2fffffffff,13.0,0.0,0.0
8365b6fffffffff,99.0,15.0,0.0
836802fffffffff,4.0,0.0,2.0
836811fffffffff,1079.0,0.0,148.0
836812fffffffff,4.0,0.0,0.0
83689afffffffff,7.0,0.0,0.0
8368acfffffffff,13.0,0.0,1.0
836934fffffffff,130.0,20.0,0.0
838c1afffffffff,5.0,0.0,0.0
838c96fffffffff,6.0,0.0,0.0
838cd0fffffffff,27.0,0.0,2.0
838cd3fffffffff,2.0,0.0,0.0
838cd5fffffffff,39.0,0.0,2.0
838cf4fffffffff,2.0,0.0,0.0
