cell_id,Cercomacroides tyrannina,Cercomacroides tyrannina tyrannina/crepera,Cercomacroides tyrannina saturatior/vicina
8466b57ffffffff,14.0,0.0,0.0
8466b59ffffffff,1.0,0.0,0.0
8466b5bffffffff,12.0,0.0,0.0
8466b5dffffffff,51.0,0.0,0.0
8466c01ffffffff,21.0,0.0,0.0
8466c03ffffffff,2.0,0.0,0.0
8466c05ffffffff,9.0,0.0,0.0
8466c0dffffffff,272.0,0.0,0.0
8466c15ffffffff,5.0,0.0,0.0
8466c17ffffffff,5.0,0.0,0.0
8466c21ffffffff,45.0,0.0,0.0
8466c27ffffffff,6.0,0.0,0.0
8466c29ffffffff,65.0,0.0,0.0
8466c2bffffffff,1.0,0.0,0.0
8466c2dffffffff,84.0,0.0,0.0
8466c4bffffffff,5.0,0.0,0.0
8466c53ffffffff,8.0,0.0,0.0
8466c5bffffffff,12.0,0.0,0.0
8466c5dffffffff,4.0,0.0,0.0
8466cdbffffffff,1.0,0.0,0.0
8466ce9ffffffff,27.0,0.0,0.0
8466d01ffffffff,15.0,0.0,0.0
8466d03ffffffff,2.0,0.0,0.0
8466d05ffffffff,15.0,0.0,0.0
8466d07ffffffff,105.0,0.0,0.0
8466d0bffffffff,2.0,0.0,0.0
8466d0dffffffff,93.0,0.0,0.0
8466d1bffffffff,12.0,0.0,0.0
8466d23ffffffff,74.0,0.0,0.0
8466d27ffffffff,2.0,0.0,0.0
8466d31ffffffff,17.0,0.0,0.0
8466d35ffffffff,144.0,0.0,0.0
8466d55ffffffff,34.0,0.0,0.0
8466e03ffffffff,60.0,0.0,0.0
8466e05ffffffff,7.0,0.0,0.0
8466e0bffffffff,102.0,0.0,0.0
8466e0dffffffff,17.0,0.0,0.0
8466e13ffffffff,2.0,0.0,0.0
8466e15ffffffff,43.0,0.0,0.0
8466e19ffffffff,2.0,0.0,0.0
8466e1dffffffff,28.0,0.0,0.0
8466e25ffffffff,2.0,0.0,0.0
8466e2bffffffff,47.0,0.0,0.0
8466e31ffffffff,7.0,0.0,0.0
8466e39ffffffff,33.0,0.0,0.0
8466e3bffffffff,35.0,0.0,0.0
8466e3dffffffff,4.0,0.0,0.0
8466e41ffffffff,171.0,3.0,0.0
8466e45ffffffff,26.0,0.0,0.0
8466e47ffffffff,4.0,0.0,0.0
8466e49ffffffff,15.0,0.0,0.0
8466e4dffffffff,8.0,0.0,0.0
8466e51ffffffff,12.0,0.0,0.0
8466e53ffffffff,3.0,0.0,0.0
8466e55ffffffff,7.0,0.0,0.0
8466e57ffffffff,1082.0,0.0,0.0
8466e59ffffffff,184.0,0.0,0.0
8466e5dffffffff,1.0,0.0,0.0
8466e61ffffffff,3.0,0.0,0.0
8466e69ffffffff,148.0,0.0,0.0
8466e6bffffffff,7.0,0.0,0.0
8466e8dffffffff,5.0,0.0,0.0
8466e9bffffffff,1.0,0.0,0.0
8466e9dffffffff,13.0,0.0,0.0
8466eadffffffff,18.0,0.0,0.0
8466ec1ffffffff,3.0,0.0,0.0
8466ec5ffffffff,14.0,0.0,0.0
8466ec7ffffffff,53.0,0.0,0.0
8466ec9ffffffff,8.0,0.0,0.0
8466ecbffffffff,126.0,0.0,0.0
8466ee5ffffffff,193.0,0.0,0.0
8466eebffffffff,4.0,0.0,0.0
8466eedffffffff,2.0,0.0,0.0
8466f01ffffffff,4.0,0.0,0.0
8466f03ffffffff,18.0,0.0,0.0
8466f0bffffffff,106.0,0.0,0.0
8466f11ffffffff,3.0,0.0,0.0
8466f17ffffffff,2.0,0.0,0.0
8466f1dffffffff,9.0,0.0,0.0
8466f35ffffffff,23.0,0.0,0.0
8466f53ffffffff,1.0,0.0,0.0
8466f57ffffffff,18.0,0.0,0.0
8466f59ffffffff,12.0,0.0,0.0
84675a5ffffffff,1.0,0.0,0.0
8467903ffffffff,2.0,0.0,0.0
8467909ffffffff,12.0,0.0,0.0
846790bffffffff,10.0,0.0,0.0
846790dffffffff,18.0,0.0,0.0
846791dffffffff,1.0,0.0,0.0
8467921ffffffff,4.0,0.0,0.0
8467925ffffffff,6.0,0.0,0.0
846792dffffffff,6.0,0.0,0.0
8467931ffffffff,3.0,0.0,0.0
8467933ffffffff,2.0,0.0,0.0
8467937ffffffff,6.0,0.0,0.0
846793bffffffff,2.0,0.0,0.0
8467945ffffffff,27.0,0.0,0.0
8467949ffffffff,5.0,0.0,0.0
846794bffffffff,3.0,0.0,0.0
846794dffffffff,3.0,0.0,0.0
8467961ffffffff,50.0,0.0,0.0
8467963ffffffff,12.0,0.0,0.0
8467965ffffffff,1.0,0.0,0.0
8467969ffffffff,7.0,0.0,0.0
846796bffffffff,7.0,0.0,0.0
84679a1ffffffff,36.0,0.0,0.0
84679a3ffffffff,13.0,0.0,0.0
84679a5ffffffff,714.0,0.0,0.0
84679a7ffffffff,81.0,0.0,0.0
84679adffffffff,32.0,0.0,0.0
84679b3ffffffff,18.0,0.0,0.0
84679b5ffffffff,5.0,0.0,0.0
84679b7ffffffff,74.0,0.0,0.0
8467b27ffffffff,2.0,0.0,0.0
846d201ffffffff,9.0,0.0,0.0
846d203ffffffff,60.0,0.0,0.0
846d21bffffffff,2.0,0.0,0.0
846d21dffffffff,55.0,12.0,0.0
846d225ffffffff,2.0,0.0,0.0
846d22dffffffff,1.0,0.0,0.0
846d2c1ffffffff,47.0,10.0,0.0
846d2c3ffffffff,76.0,2.0,0.0
846d2c5ffffffff,5.0,0.0,0.0
846d2c9ffffffff,471.0,46.0,0.0
846d2cbffffffff,107.0,32.0,0.0
846d2cdffffffff,2.0,0.0,0.0
846d2d1ffffffff,146.0,56.0,0.0
846d2d5ffffffff,5.0,4.0,0.0
846d2d9ffffffff,16.0,8.0,0.0
846d2dbffffffff,2.0,1.0,0.0
846d2ddffffffff,14.0,1.0,0.0
846d30dffffffff,39.0,5.0,0.0
846d319ffffffff,19.0,0.0,0.0
846d31bffffffff,4.0,0.0,0.0
846d36bffffffff,2.0,0.0,0.0
846d609ffffffff,2.0,0.0,0.0
846d613ffffffff,5.0,0.0,0.0
846d617ffffffff,273.0,0.0,0.0
846d61bffffffff,20.0,0.0,0.0
846d64bffffffff,129.0,0.0,0.0
846d651ffffffff,427.0,0.0,0.0
846d653ffffffff,159.0,0.0,0.0
846d655ffffffff,45.0,0.0,0.0
846d659ffffffff,5.0,0.0,0.0
846d65bffffffff,7.0,0.0,0.0
846d681ffffffff,88.0,0.0,0.0
846d683ffffffff,5.0,0.0,0.0
846d689ffffffff,210.0,0.0,0.0
846d68bffffffff,852.0,0.0,0.0
846d68dffffffff,56.0,0.0,0.0
846d691ffffffff,532.0,0.0,0.0
846d693ffffffff,176.0,0.0,0.0
846d697ffffffff,2427.0,0.0,0.0
846d699ffffffff,70.0,0.0,0.0
846d69bffffffff,188.0,0.0,0.0
846d69dffffffff,2418.0,0.0,0.0
846d6bbffffffff,31.0,0.0,0.0
846d6c3ffffffff,22.0,0.0,0.0
846d6c9ffffffff,8.0,0.0,0.0
846d6d1ffffffff,18.0,0.0,0.0
846d6d3ffffffff,29.0,0.0,0.0
846d6d5ffffffff,71.0,0.0,0.0
846d6d7ffffffff,45.0,0.0,0.0
846d6dbffffffff,2.0,0.0,0.0
846d6e9ffffffff,21.0,0.0,0.0
846d6edffffffff,1.0,0.0,0.0
848068bffffffff,1.0,0.0,0.0
84806a3ffffffff,5.0,0.0,0.0
84806abffffffff,8.0,0.0,0.0
84806b3ffffffff,1.0,0.0,0.0
84806b7ffffffff,18.0,0.0,1.0
848a4b9ffffffff,4.0,0.0,0.0
848a4bbffffffff,3.0,0.0,0.0
848a5a1ffffffff,3.0,0.0,0.0
848ad13ffffffff,34.0,0.0,0.0
848ad89ffffffff,2.0,0.0,0.0
848adc5ffffffff,15.0,0.0,0.0
848af09ffffffff,55.0,0.0,0.0
848af0bffffffff,4.0,0.0,0.0
848af29ffffffff,65.0,0.0,0.0
848af41ffffffff,9.0,0.0,0.0
848af43ffffffff,3.0,0.0,0.0
848af45ffffffff,4.0,0.0,0.0
848af61ffffffff,23.0,0.0,0.0
848af63ffffffff,108.0,0.0,0.0
848af67ffffffff,58.0,0.0,0.0
848af6bffffffff,11.0,0.0,0.0
848f295ffffffff,14.0,0.0,0.0
848f2a9ffffffff,11.0,0.0,0.0
848f2abffffffff,6.0,0.0,0.0
848f2bbffffffff,8.0,0.0,0.0
848f2c3ffffffff,3.0,0.0,0.0
848f2c9ffffffff,1.0,0.0,0.0
848f2cdffffffff,9.0,0.0,0.0
