cell_id,Catharus ustulatus,Catharus ustulatus [ustulatus Group],Catharus ustulatus [swainsoni Group]
8426e85ffffffff,3.0,0.0,0.0
8426e99ffffffff,4.0,0.0,0.0
8426e9dffffffff,4.0,0.0,0.0
8426ea9ffffffff,2.0,0.0,0.0
8426ecbffffffff,1.0,0.0,0.0
8426ed1ffffffff,18.0,0.0,0.0
8426ed3ffffffff,1.0,0.0,0.0
8426ed5ffffffff,1.0,0.0,0.0
8426ed7ffffffff,38.0,0.0,0.0
8426ed9ffffffff,4.0,0.0,0.0
8426eddffffffff,4.0,0.0,0.0
8426ee3ffffffff,1.0,0.0,0.0
8426f07ffffffff,8.0,0.0,0.0
8426f0dffffffff,7.0,0.0,0.0
8426f25ffffffff,5.0,0.0,1.0
8426f27ffffffff,8.0,1.0,0.0
8426f2dffffffff,23.0,2.0,6.0
8426f49ffffffff,2.0,0.0,0.0
8427023ffffffff,4.0,0.0,0.0
842702bffffffff,12.0,0.0,0.0
8427035ffffffff,1.0,0.0,0.0
8427085ffffffff,3.0,0.0,0.0
8427093ffffffff,2.0,0.0,0.0
84270d3ffffffff,2.0,0.0,0.0
8427117ffffffff,1.0,0.0,0.0
8427167ffffffff,2.0,0.0,0.0
8427191ffffffff,2.0,0.0,0.0
8427193ffffffff,2.0,0.0,0.0
842719dffffffff,2.0,0.0,0.0
84271a3ffffffff,1.0,0.0,0.0
84271c9ffffffff,17.0,0.0,0.0
8427407ffffffff,3.0,0.0,0.0
8427411ffffffff,2.0,0.0,0.0
842741dffffffff,2.0,0.0,0.0
8427431ffffffff,2.0,0.0,0.0
8427435ffffffff,2.0,0.0,0.0
8427437ffffffff,5.0,0.0,0.0
8427441ffffffff,2.0,0.0,0.0
8427445ffffffff,8.0,0.0,0.0
8427457ffffffff,2.0,0.0,0.0
842745bffffffff,2.0,0.0,0.0
8427467ffffffff,9.0,0.0,0.0
8427481ffffffff,2.0,0.0,0.0
8427483ffffffff,1.0,0.0,0.0
8427485ffffffff,7.0,0.0,0.0
842748dffffffff,11.0,0.0,0.0
8427499ffffffff,13.0,0.0,0.0
84274abffffffff,9.0,0.0,0.0
84274b1ffffffff,2.0,0.0,0.0
84274b3ffffffff,1.0,0.0,0.0
84274b5ffffffff,3.0,0.0,0.0
84274b7ffffffff,2.0,0.0,0.0
84274b9ffffffff,5.0,0.0,0.0
84274bbffffffff,3.0,0.0,0.0
84274d3ffffffff,2.0,0.0,0.0
84274d7ffffffff,12.0,0.0,0.0
84274dbffffffff,5.0,0.0,0.0
84274ddffffffff,3.0,0.0,0.0
84274e3ffffffff,7.0,0.0,0.0
84274e9ffffffff,1.0,0.0,0.0
842751bffffffff,1.0,0.0,0.0
8427523ffffffff,1.0,0.0,0.0
8427527ffffffff,6.0,0.0,0.0
8427541ffffffff,15.0,0.0,0.0
8427543ffffffff,6.0,0.0,0.0
8427549ffffffff,5.0,0.0,0.0
8427551ffffffff,1.0,0.0,0.0
8427553ffffffff,1.0,0.0,0.0
842755bffffffff,5.0,0.0,0.0
8427569ffffffff,36.0,0.0,3.0
842756bffffffff,5.0,0.0,3.0
8427581ffffffff,30.0,0.0,0.0
8427583ffffffff,3.0,0.0,0.0
842758dffffffff,2.0,0.0,0.0
8427591ffffffff,5.0,0.0,0.0
8427593ffffffff,24.0,0.0,2.0
8427597ffffffff,1.0,0.0,0.0
8427599ffffffff,11.0,0.0,0.0
842759bffffffff,7.0,0.0,1.0
842759dffffffff,3.0,0.0,0.0
84275a1ffffffff,7.0,0.0,0.0
84275b9ffffffff,2.0,0.0,0.0
84275c3ffffffff,4.0,0.0,0.0
84275cbffffffff,7.0,0.0,0.0
84275cdffffffff,5.0,0.0,0.0
84275d1ffffffff,13.0,0.0,0.0
84275d3ffffffff,23.0,0.0,0.0
84275d5ffffffff,1.0,0.0,0.0
84275d7ffffffff,1.0,0.0,0.0
84275d9ffffffff,11.0,0.0,2.0
84275ddffffffff,4.0,0.0,0.0
8427605ffffffff,1.0,0.0,0.0
8427607ffffffff,2.0,0.0,0.0
8427631ffffffff,7.0,0.0,0.0
8427637ffffffff,4.0,0.0,0.0
842763bffffffff,3.0,0.0,0.0
8427651ffffffff,2.0,0.0,0.0
8427659ffffffff,1.0,0.0,0.0
8427691ffffffff,12.0,0.0,0.0
8427693ffffffff,1.0,0.0,0.0
84276b1ffffffff,2.0,0.0,0.0
84276b7ffffffff,2.0,0.0,0.0
84276bbffffffff,4.0,0.0,0.0
84276bdffffffff,7.0,0.0,0.0
84276cbffffffff,1.0,0.0,0.0
84276d1ffffffff,1.0,0.0,0.0
84276d5ffffffff,1.0,0.0,0.0
8427701ffffffff,2.0,0.0,0.0
842770bffffffff,2.0,0.0,0.0
842770dffffffff,2.0,0.0,0.0
8427711ffffffff,6.0,0.0,0.0
8427717ffffffff,1.0,0.0,0.0
842771dffffffff,8.0,0.0,0.0
8427727ffffffff,10.0,0.0,0.0
842775dffffffff,1.0,0.0,0.0
8427801ffffffff,2.0,0.0,0.0
842783dffffffff,2.0,0.0,0.0
8427841ffffffff,2.0,0.0,0.0
842785dffffffff,2.0,0.0,0.0
8427867ffffffff,3.0,0.0,0.0
842786bffffffff,1.0,0.0,0.0
8427889ffffffff,4.0,0.0,4.0
84278b7ffffffff,2.0,0.0,0.0
84278c3ffffffff,9.0,0.0,0.0
84278c7ffffffff,4.0,0.0,0.0
84278c9ffffffff,3.0,0.0,0.0
84278d5ffffffff,8.0,0.0,8.0
84278d9ffffffff,2.0,0.0,0.0
8427905ffffffff,11.0,0.0,0.0
8427927ffffffff,3.0,0.0,0.0
842793bffffffff,2.0,0.0,0.0
8427945ffffffff,2.0,0.0,0.0
8427967ffffffff,2.0,0.0,0.0
8427969ffffffff,4.0,0.0,2.0
8427997ffffffff,2.0,0.0,0.0
84279e5ffffffff,4.0,0.0,0.0
8427a03ffffffff,2.0,0.0,0.0
8427a11ffffffff,1.0,0.0,1.0
8427a2bffffffff,2.0,0.0,0.0
8427a47ffffffff,5.0,0.0,0.0
8427a85ffffffff,2.0,0.0,0.0
8427a8bffffffff,2.0,0.0,0.0
8427ad5ffffffff,2.0,0.0,0.0
8427ae5ffffffff,13.0,0.0,0.0
8427aebffffffff,5.0,0.0,0.0
8427b65ffffffff,12.0,0.0,0.0
8428023ffffffff,40.0,9.0,1.0
842802bffffffff,2.0,0.0,0.0
8428069ffffffff,2.0,0.0,0.0
842806bffffffff,3.0,1.0,0.0
842806dffffffff,2.0,2.0,0.0
8428109ffffffff,8.0,0.0,0.0
842810bffffffff,2.0,0.0,0.0
8428123ffffffff,2.0,0.0,0.0
842812bffffffff,2.0,0.0,0.0
8428143ffffffff,3.0,0.0,0.0
8428147ffffffff,1.0,0.0,0.0
8428149ffffffff,3.0,0.0,0.0
842814bffffffff,7.0,0.0,0.0
842814dffffffff,6.0,1.0,0.0
8428151ffffffff,5.0,0.0,0.0
8428153ffffffff,2.0,0.0,0.0
8428157ffffffff,2.0,0.0,0.0
8428183ffffffff,2.0,0.0,0.0
842818bffffffff,2.0,0.0,0.0
842818dffffffff,10.0,1.0,0.0
84281a3ffffffff,2.0,0.0,0.0
84281a7ffffffff,2.0,0.0,0.0
84281b1ffffffff,2.0,0.0,0.0
84281b3ffffffff,5.0,3.0,0.0
84281b5ffffffff,8.0,0.0,0.0
84281c3ffffffff,2.0,0.0,0.0
84281cbffffffff,4.0,3.0,0.0
84281e5ffffffff,31.0,0.0,0.0
84281ebffffffff,3.0,0.0,0.0
8428301ffffffff,17.0,0.0,0.0
8428303ffffffff,9.0,0.0,0.0
8428305ffffffff,7.0,0.0,0.0
8428307ffffffff,18.0,0.0,0.0
8428309ffffffff,100.0,1.0,0.0
842830bffffffff,93.0,4.0,0.0
842830dffffffff,4.0,0.0,0.0
842831dffffffff,20.0,8.0,0.0
8428321ffffffff,5.0,0.0,0.0
8428323ffffffff,6.0,2.0,0.0
8428325ffffffff,5.0,0.0,0.0
8428327ffffffff,6.0,0.0,0.0
8428329ffffffff,6.0,2.0,0.0
842832bffffffff,20.0,0.0,0.0
8428331ffffffff,2.0,0.0,0.0
8428337ffffffff,9.0,0.0,0.0
842833bffffffff,4.0,2.0,0.0
8428341ffffffff,12.0,2.0,0.0
8428343ffffffff,23.0,7.0,0.0
8428347ffffffff,4.0,0.0,0.0
842834dffffffff,37.0,24.0,0.0
8428355ffffffff,127.0,15.0,63.0
8428357ffffffff,30.0,6.0,2.0
8428361ffffffff,13.0,2.0,0.0
8428363ffffffff,39.0,0.0,1.0
8428365ffffffff,4.0,0.0,0.0
8428367ffffffff,15.0,2.0,0.0
842836bffffffff,4.0,0.0,0.0
8428801ffffffff,3.0,0.0,0.0
8428803ffffffff,2.0,0.0,0.0
842880dffffffff,3.0,0.0,0.0
8428811ffffffff,6.0,0.0,0.0
8428817ffffffff,3.0,0.0,1.0
8428839ffffffff,1.0,0.0,0.0
8428841ffffffff,2.0,0.0,0.0
8428843ffffffff,2.0,0.0,0.0
8428845ffffffff,7.0,0.0,0.0
8428847ffffffff,10.0,0.0,0.0
8428863ffffffff,4.0,0.0,0.0
8428869ffffffff,2.0,0.0,0.0
8428885ffffffff,2.0,0.0,2.0
8428887ffffffff,11.0,1.0,10.0
842888dffffffff,2.0,0.0,1.0
8428891ffffffff,4.0,1.0,3.0
8428895ffffffff,2.0,0.0,2.0
84288b5ffffffff,2.0,0.0,2.0
84288e9ffffffff,3.0,0.0,3.0
8428913ffffffff,2.0,0.0,0.0
8428921ffffffff,7.0,0.0,0.0
8428923ffffffff,2.0,0.0,0.0
8428927ffffffff,1.0,0.0,0.0
8428941ffffffff,12.0,0.0,0.0
8428981ffffffff,4.0,0.0,0.0
8428985ffffffff,8.0,0.0,0.0
8428989ffffffff,2.0,0.0,2.0
842898dffffffff,3.0,0.0,0.0
8428991ffffffff,2.0,0.0,0.0
84289abffffffff,4.0,0.0,4.0
84289b7ffffffff,4.0,0.0,2.0
84289c7ffffffff,2.0,0.0,0.0
84289d3ffffffff,2.0,0.0,2.0
84289e3ffffffff,2.0,0.0,0.0
84289edffffffff,2.0,0.0,0.0
8428a01ffffffff,7.0,0.0,0.0
8428a11ffffffff,11.0,0.0,1.0
8428a17ffffffff,8.0,0.0,0.0
8428a1dffffffff,9.0,0.0,9.0
8428a85ffffffff,2.0,0.0,0.0
8428a91ffffffff,3.0,3.0,0.0
8428a93ffffffff,6.0,5.0,1.0
8428a97ffffffff,4.0,0.0,0.0
8428aa9ffffffff,3.0,0.0,0.0
8428aabffffffff,2.0,0.0,2.0
8428ab3ffffffff,2.0,0.0,0.0
8428ac3ffffffff,2.0,0.0,2.0
8428addffffffff,2.0,2.0,0.0
8428ae1ffffffff,16.0,5.0,1.0
8428ae3ffffffff,1.0,0.0,0.0
8428ae9ffffffff,19.0,0.0,2.0
8428b2bffffffff,2.0,0.0,0.0
8428b4bffffffff,1.0,0.0,0.0
8428b57ffffffff,18.0,0.0,0.0
8428b6dffffffff,10.0,0.0,0.0
8428c27ffffffff,2.0,0.0,0.0
8428c61ffffffff,3.0,0.0,0.0
8428c63ffffffff,2.0,0.0,0.0
8428c6bffffffff,11.0,0.0,0.0
8428d01ffffffff,1.0,1.0,0.0
8428d07ffffffff,14.0,14.0,0.0
8428d09ffffffff,1.0,0.0,0.0
8428d11ffffffff,1.0,1.0,0.0
8428d13ffffffff,2.0,0.0,0.0
8428d15ffffffff,9.0,5.0,0.0
8428d17ffffffff,7.0,0.0,0.0
8428d1bffffffff,201.0,17.0,6.0
8428d1dffffffff,6.0,3.0,0.0
8428d2bffffffff,7.0,0.0,7.0
8428d31ffffffff,2.0,0.0,0.0
8428d33ffffffff,9.0,0.0,0.0
8428d3bffffffff,3.0,0.0,0.0
8428d3dffffffff,4.0,4.0,0.0
8428d43ffffffff,4.0,0.0,0.0
8428d45ffffffff,1.0,0.0,0.0
8428d47ffffffff,3.0,1.0,2.0
8428d55ffffffff,23.0,0.0,0.0
8428d57ffffffff,6.0,0.0,0.0
8428d5bffffffff,3.0,0.0,2.0
8428d5dffffffff,12.0,2.0,0.0
8428d6bffffffff,6.0,0.0,6.0
8428d81ffffffff,3.0,0.0,0.0
8428d83ffffffff,2.0,0.0,0.0
8428d89ffffffff,24.0,0.0,0.0
8428d8bffffffff,2.0,0.0,0.0
8428d9dffffffff,4.0,0.0,0.0
8428dc5ffffffff,2.0,0.0,0.0
8428dc7ffffffff,22.0,0.0,0.0
8428dc9ffffffff,13.0,3.0,0.0
8428dcdffffffff,3.0,0.0,0.0
8428de1ffffffff,4.0,3.0,0.0
8428de9ffffffff,6.0,0.0,0.0
8428dedffffffff,10.0,0.0,0.0
8428f01ffffffff,17.0,0.0,0.0
8428f03ffffffff,1.0,0.0,0.0
8428f05ffffffff,5.0,0.0,0.0
8428f07ffffffff,6.0,0.0,0.0
8428f0bffffffff,2.0,0.0,0.0
