cell_id,Philemon buceroides,Philemon buceroides novaeguineae,Philemon buceroides yorki,Philemon buceroides gordoni/ammitophilus,Philemon buceroides buceroides/neglectus
849c193ffffffff,4.0,0.0,0.0,0.0,0.0
849c199ffffffff,10.0,0.0,1.0,0.0,0.0
849c19bffffffff,32.0,0.0,17.0,0.0,0.0
849c19dffffffff,48.0,0.0,14.0,0.0,0.0
849c203ffffffff,203.0,0.0,84.0,0.0,0.0
849c207ffffffff,10.0,0.0,5.0,0.0,0.0
849c20bffffffff,67.0,0.0,34.0,0.0,0.0
849c215ffffffff,20.0,0.0,6.0,0.0,0.0
849c231ffffffff,2419.0,0.0,705.0,0.0,0.0
849c233ffffffff,49.0,0.0,17.0,0.0,0.0
849c237ffffffff,432.0,0.0,90.0,0.0,0.0
849c239ffffffff,240.0,0.0,71.0,0.0,0.0
849c23bffffffff,48.0,0.0,17.0,0.0,0.0
849c23dffffffff,10.0,0.0,0.0,0.0,0.0
849c251ffffffff,83.0,0.0,25.0,0.0,0.0
849c255ffffffff,14.0,0.0,4.0,0.0,0.0
849c257ffffffff,5.0,0.0,4.0,0.0,0.0
849c259ffffffff,11.0,0.0,4.0,0.0,0.0
849c25dffffffff,13.0,0.0,0.0,0.0,0.0
849c495ffffffff,1.0,0.0,0.0,1.0,0.0
849c5a7ffffffff,2.0,0.0,0.0,0.0,0.0
849c83bffffffff,2.0,0.0,0.0,0.0,0.0
849c851ffffffff,2.0,2.0,0.0,0.0,0.0
849c85bffffffff,272.0,162.0,0.0,0.0,0.0
849c8b5ffffffff,6.0,0.0,0.0,0.0,0.0
849c8edffffffff,1.0,0.0,0.0,0.0,0.0
849c993ffffffff,294.0,9.0,0.0,0.0,0.0
849c997ffffffff,94.0,0.0,0.0,0.0,0.0
849c99bffffffff,4.0,4.0,0.0,0.0,0.0
849c9d1ffffffff,1.0,0.0,0.0,0.0,0.0
849c9d3ffffffff,2.0,2.0,0.0,0.0,0.0
849c9d5ffffffff,8.0,4.0,0.0,0.0,0.0
849c9d9ffffffff,17.0,12.0,0.0,0.0,0.0
849c9ddffffffff,2.0,2.0,0.0,0.0,0.0
849ca27ffffffff,2.0,0.0,0.0,0.0,0.0
849ca61ffffffff,9.0,2.0,0.0,0.0,0.0
849ca65ffffffff,50.0,0.0,0.0,0.0,0.0
849ca6bffffffff,2.0,0.0,0.0,0.0,0.0
849ca6dffffffff,1.0,1.0,0.0,0.0,0.0
849caa1ffffffff,6.0,0.0,0.0,0.0,0.0
849caa5ffffffff,5.0,3.0,0.0,0.0,0.0
849caadffffffff,61.0,38.0,0.0,0.0,0.0
849cae7ffffffff,157.0,90.0,0.0,0.0,0.0
849cb0bffffffff,2.0,0.0,0.0,0.0,0.0
849cb51ffffffff,46.0,6.0,0.0,0.0,0.0
849cb59ffffffff,34.0,4.0,0.0,0.0,0.0
849cc25ffffffff,3.0,0.0,0.0,0.0,0.0
849cc2bffffffff,3.0,0.0,0.0,0.0,0.0
849cc2dffffffff,3.0,0.0,0.0,0.0,0.0
849cd17ffffffff,1.0,0.0,0.0,0.0,0.0
849cd19ffffffff,6.0,4.0,0.0,0.0,0.0
849cd31ffffffff,165.0,80.0,0.0,0.0,0.0
849cd33ffffffff,111.0,58.0,0.0,0.0,0.0
849cd37ffffffff,11.0,5.0,0.0,0.0,0.0
849ce0dffffffff,1.0,0.0,0.0,0.0,0.0
849ce2dffffffff,7.0,0.0,3.0,0.0,0.0
849ce45ffffffff,1.0,0.0,0.0,0.0,0.0
849ce47ffffffff,10.0,0.0,2.0,0.0,0.0
849ce69ffffffff,5.0,0.0,3.0,0.0,0.0
849ce9bffffffff,44.0,0.0,0.0,0.0,0.0
849cf19ffffffff,27.0,0.0,10.0,0.0,0.0
849cf53ffffffff,76.0,0.0,39.0,0.0,0.0
849cf5bffffffff,2.0,0.0,0.0,0.0,0.0
849d013ffffffff,34.0,0.0,5.0,0.0,0.0
849d01bffffffff,201.0,0.0,34.0,0.0,0.0
849d085ffffffff,2.0,0.0,0.0,0.0,0.0
849d097ffffffff,1.0,0.0,0.0,0.0,0.0
849d0abffffffff,20.0,0.0,0.0,0.0,0.0
849d0b1ffffffff,68.0,0.0,15.0,0.0,0.0
849d0b3ffffffff,8.0,0.0,4.0,0.0,0.0
849d0b5ffffffff,232.0,0.0,56.0,0.0,0.0
849d0b7ffffffff,32.0,0.0,8.0,0.0,0.0
849d0bdffffffff,18.0,0.0,0.0,0.0,0.0
849d0c1ffffffff,1.0,0.0,0.0,0.0,0.0
849d0c5ffffffff,2.0,0.0,0.0,0.0,0.0
849d0cdffffffff,21.0,0.0,0.0,0.0,0.0
849d0e1ffffffff,32.0,0.0,2.0,0.0,0.0
849d0e3ffffffff,12.0,0.0,2.0,0.0,0.0
849d0e9ffffffff,7.0,0.0,2.0,0.0,0.0
849d0ebffffffff,1.0,0.0,0.0,0.0,0.0
849d0edffffffff,4.0,0.0,0.0,0.0,0.0
849d217ffffffff,1.0,0.0,1.0,0.0,0.0
849d2a5ffffffff,9.0,0.0,3.0,0.0,0.0
849d2a7ffffffff,2.0,0.0,0.0,0.0,0.0
849d2abffffffff,2.0,0.0,0.0,0.0,0.0
849d2adffffffff,3.0,0.0,0.0,0.0,0.0
849d2bdffffffff,2.0,0.0,0.0,0.0,0.0
849d913ffffffff,1.0,1.0,0.0,0.0,0.0
849d9b3ffffffff,2.0,0.0,0.0,0.0,0.0
