cell_id,Pternistis afer,Pternistis afer cranchii/harterti,Pternistis afer [leucoparaeus Group],Pternistis afer afer,Pternistis afer castaneiventer
847a689ffffffff,12.0,0.0,0.0,0.0,0.0
847a68bffffffff,135.0,0.0,0.0,0.0,0.0
847a69dffffffff,13.0,0.0,0.0,0.0,0.0
847a6b5ffffffff,3.0,0.0,0.0,0.0,0.0
847a6b7ffffffff,6.0,0.0,0.0,0.0,0.0
847a6bbffffffff,2.0,0.0,0.0,0.0,0.0
847a6c3ffffffff,2.0,0.0,0.0,0.0,0.0
847a6c9ffffffff,2.0,0.0,0.0,0.0,0.0
847a6cbffffffff,2.0,0.0,0.0,0.0,0.0
847a6d1ffffffff,81.0,0.0,0.0,0.0,0.0
847a6d3ffffffff,3.0,0.0,0.0,0.0,0.0
847a6d5ffffffff,10.0,0.0,0.0,0.0,0.0
847a6d9ffffffff,10.0,0.0,0.0,0.0,0.0
847a6dbffffffff,4.0,0.0,0.0,0.0,0.0
847a6ddffffffff,3.0,0.0,0.0,0.0,0.0
847b489ffffffff,2.0,0.0,0.0,0.0,0.0
847b4a1ffffffff,1.0,0.0,0.0,0.0,0.0
848284dffffffff,1.0,0.0,0.0,0.0,0.0
8482a09ffffffff,8.0,0.0,0.0,0.0,0.0
8482e31ffffffff,2.0,0.0,0.0,0.0,0.0
8482e37ffffffff,8.0,0.0,0.0,0.0,0.0
8483117ffffffff,5.0,0.0,0.0,1.0,0.0
8483125ffffffff,4.0,0.0,0.0,0.0,0.0
8483139ffffffff,1.0,0.0,0.0,0.0,0.0
848313dffffffff,2.0,0.0,0.0,0.0,0.0
8483151ffffffff,5.0,0.0,0.0,0.0,0.0
84831e9ffffffff,2.0,0.0,0.0,0.0,0.0
84831ebffffffff,4.0,0.0,0.0,0.0,0.0
848320dffffffff,9.0,0.0,0.0,0.0,0.0
8483263ffffffff,2.0,0.0,0.0,0.0,0.0
8483331ffffffff,1.0,0.0,0.0,0.0,0.0
848333dffffffff,8.0,0.0,0.0,0.0,0.0
8483981ffffffff,12.0,0.0,0.0,0.0,0.0
8483983ffffffff,12.0,0.0,0.0,0.0,0.0
848398bffffffff,2.0,0.0,0.0,0.0,0.0
8483ac3ffffffff,2.0,0.0,0.0,0.0,0.0
8483ac7ffffffff,1.0,0.0,0.0,1.0,0.0
8483ad1ffffffff,2.0,0.0,0.0,0.0,0.0
8496009ffffffff,1.0,0.0,0.0,0.0,0.0
849602dffffffff,23.0,3.0,0.0,0.0,0.0
8496047ffffffff,2.0,1.0,0.0,0.0,0.0
849608dffffffff,4.0,0.0,0.0,0.0,0.0
8496099ffffffff,1.0,0.0,0.0,0.0,0.0
84960b1ffffffff,2.0,0.0,0.0,0.0,0.0
84960b5ffffffff,18.0,0.0,0.0,0.0,0.0
8496141ffffffff,11.0,4.0,0.0,0.0,0.0
8496145ffffffff,1.0,1.0,0.0,0.0,0.0
8496147ffffffff,2.0,1.0,0.0,0.0,0.0
8496149ffffffff,8.0,0.0,0.0,0.0,0.0
849615bffffffff,2.0,0.0,0.0,0.0,0.0
849615dffffffff,16.0,0.0,0.0,0.0,0.0
8496203ffffffff,2.0,0.0,0.0,0.0,0.0
8496207ffffffff,3.0,0.0,0.0,0.0,0.0
8496217ffffffff,4.0,0.0,0.0,0.0,0.0
8496239ffffffff,3.0,0.0,0.0,0.0,0.0
849623bffffffff,32.0,0.0,0.0,0.0,0.0
8496283ffffffff,47.0,1.0,0.0,0.0,0.0
8496287ffffffff,8.0,2.0,0.0,0.0,0.0
849628bffffffff,13.0,0.0,0.0,0.0,0.0
8496295ffffffff,2.0,0.0,0.0,0.0,0.0
849629dffffffff,4.0,0.0,0.0,0.0,0.0
84962abffffffff,1.0,0.0,0.0,0.0,0.0
84962b1ffffffff,2.0,0.0,0.0,0.0,0.0
84962b9ffffffff,78.0,4.0,0.0,0.0,0.0
84962bdffffffff,2.0,0.0,0.0,0.0,0.0
84962c5ffffffff,1.0,0.0,0.0,0.0,0.0
84962c9ffffffff,20.0,7.0,0.0,0.0,0.0
84962d1ffffffff,3.0,0.0,0.0,0.0,0.0
84962d7ffffffff,13.0,0.0,0.0,0.0,0.0
84962e5ffffffff,3.0,1.0,0.0,0.0,0.0
84962e9ffffffff,1.0,0.0,0.0,0.0,0.0
84962edffffffff,2.0,0.0,0.0,0.0,0.0
8496311ffffffff,4.0,0.0,0.0,0.0,0.0
8496331ffffffff,2.0,0.0,0.0,0.0,0.0
8496335ffffffff,91.0,14.0,0.0,0.0,0.0
8496365ffffffff,3.0,0.0,0.0,0.0,0.0
8496569ffffffff,1.0,0.0,0.0,0.0,0.0
8496701ffffffff,1.0,0.0,0.0,0.0,0.0
8496753ffffffff,5.0,0.0,0.0,0.0,0.0
8496757ffffffff,7.0,0.0,0.0,0.0,0.0
849680dffffffff,2.0,0.0,0.0,0.0,0.0
8496861ffffffff,2.0,0.0,0.0,0.0,0.0
84968c9ffffffff,2.0,0.0,0.0,0.0,0.0
84968cdffffffff,2.0,0.0,0.0,0.0,0.0
8496901ffffffff,5.0,0.0,0.0,0.0,0.0
8496905ffffffff,40.0,0.0,0.0,0.0,0.0
8496907ffffffff,359.0,0.0,3.0,0.0,0.0
8496925ffffffff,5.0,0.0,0.0,0.0,0.0
849692bffffffff,292.0,0.0,3.0,0.0,0.0
8496933ffffffff,16.0,0.0,0.0,0.0,0.0
8496935ffffffff,5.0,0.0,0.0,0.0,0.0
8496937ffffffff,13.0,0.0,0.0,0.0,0.0
849693dffffffff,45.0,0.0,0.0,0.0,0.0
84969a1ffffffff,2.0,0.0,0.0,0.0,0.0
84969a5ffffffff,2.0,0.0,0.0,0.0,0.0
84969e5ffffffff,2.0,0.0,0.0,0.0,0.0
8496a05ffffffff,2.0,0.0,0.0,0.0,0.0
8496a15ffffffff,4.0,0.0,0.0,0.0,0.0
8496a27ffffffff,14.0,0.0,0.0,0.0,0.0
8496a2dffffffff,11.0,0.0,0.0,0.0,0.0
8496a39ffffffff,3.0,0.0,0.0,0.0,0.0
8496a59ffffffff,2.0,0.0,0.0,0.0,0.0
8496a8bffffffff,4.0,0.0,0.0,0.0,0.0
8496abdffffffff,4.0,0.0,0.0,0.0,0.0
8496b09ffffffff,4.0,0.0,0.0,0.0,0.0
8496b11ffffffff,1.0,0.0,0.0,0.0,0.0
8496b13ffffffff,55.0,0.0,0.0,0.0,0.0
8496b19ffffffff,71.0,0.0,0.0,0.0,0.0
8496b1bffffffff,113.0,0.0,0.0,0.0,0.0
8496b2bffffffff,4.0,0.0,0.0,0.0,0.0
8496b53ffffffff,14.0,0.0,0.0,0.0,0.0
8496b55ffffffff,2.0,0.0,0.0,0.0,0.0
8496b57ffffffff,4.0,0.0,0.0,0.0,0.0
8496b61ffffffff,2.0,0.0,0.0,0.0,0.0
8496b63ffffffff,57.0,0.0,0.0,0.0,0.0
8496b69ffffffff,4.0,0.0,0.0,0.0,0.0
8496b6dffffffff,15.0,0.0,0.0,0.0,0.0
8497003ffffffff,3.0,0.0,0.0,0.0,0.0
8497027ffffffff,3.0,0.0,0.0,0.0,0.0
849702bffffffff,22.0,0.0,0.0,0.0,0.0
8497035ffffffff,22.0,0.0,1.0,0.0,0.0
849703dffffffff,17.0,0.0,0.0,0.0,0.0
8497051ffffffff,1.0,0.0,0.0,0.0,0.0
8497101ffffffff,2.0,0.0,0.0,0.0,0.0
8497107ffffffff,12.0,0.0,0.0,0.0,0.0
8497119ffffffff,276.0,0.0,0.0,0.0,0.0
849711bffffffff,2.0,0.0,0.0,0.0,0.0
849711dffffffff,9.0,0.0,0.0,0.0,0.0
849713dffffffff,6.0,0.0,0.0,0.0,0.0
8497151ffffffff,3.0,0.0,0.0,0.0,0.0
84971c1ffffffff,28.0,0.0,0.0,0.0,0.0
84971c3ffffffff,14.0,0.0,0.0,0.0,0.0
84971cbffffffff,12.0,0.0,2.0,0.0,0.0
8497245ffffffff,1.0,0.0,0.0,0.0,0.0
8497249ffffffff,2.0,0.0,0.0,0.0,0.0
8497317ffffffff,3.0,0.0,0.0,0.0,0.0
8497357ffffffff,22.0,0.0,1.0,0.0,0.0
8497359ffffffff,1.0,0.0,0.0,0.0,0.0
8497513ffffffff,2.0,0.0,0.0,0.0,0.0
8497515ffffffff,2.0,0.0,0.0,0.0,0.0
8497517ffffffff,5.0,0.0,0.0,0.0,0.0
849753bffffffff,2.0,0.0,0.0,0.0,0.0
8497583ffffffff,2.0,0.0,0.0,0.0,0.0
8497827ffffffff,4.0,0.0,0.0,0.0,0.0
8497895ffffffff,2.0,0.0,0.0,0.0,0.0
84978b3ffffffff,1.0,0.0,0.0,0.0,0.0
8497913ffffffff,2.0,0.0,0.0,0.0,0.0
8497a85ffffffff,7.0,0.0,0.0,0.0,0.0
8497a89ffffffff,10.0,0.0,0.0,0.0,0.0
8497aabffffffff,30.0,0.0,0.0,0.0,0.0
8497ab5ffffffff,1.0,0.0,0.0,0.0,0.0
84ac8a9ffffffff,81.0,0.0,0.0,27.0,0.0
84ac8e7ffffffff,3.0,0.0,0.0,0.0,0.0
84bc093ffffffff,2.0,0.0,0.0,0.0,0.0
84bc095ffffffff,1.0,0.0,0.0,0.0,0.0
84bc0b1ffffffff,3.0,0.0,0.0,0.0,0.0
84bc0bdffffffff,2.0,0.0,0.0,0.0,0.0
84bc409ffffffff,2.0,0.0,0.0,0.0,0.0
84bc40dffffffff,46.0,0.0,0.0,0.0,0.0
84bc41dffffffff,1.0,0.0,0.0,0.0,0.0
84bc443ffffffff,2.0,0.0,0.0,0.0,0.0
84bc447ffffffff,9.0,0.0,0.0,0.0,0.0
84bc453ffffffff,2.0,0.0,0.0,0.0,0.0
84bc455ffffffff,91.0,0.0,0.0,0.0,18.0
84bc457ffffffff,2.0,0.0,0.0,0.0,0.0
84bc46dffffffff,3.0,0.0,0.0,0.0,0.0
84bc50bffffffff,5.0,0.0,0.0,0.0,2.0
84bc543ffffffff,2.0,0.0,0.0,0.0,2.0
84bc545ffffffff,1.0,0.0,0.0,0.0,0.0
84bc569ffffffff,1.0,0.0,0.0,0.0,0.0
84bc6a3ffffffff,15.0,0.0,0.0,0.0,4.0
84bc713ffffffff,1.0,0.0,0.0,0.0,0.0
84bc717ffffffff,26.0,0.0,0.0,0.0,0.0
84bc723ffffffff,2.0,0.0,0.0,0.0,0.0
84bc731ffffffff,11.0,0.0,0.0,0.0,0.0
84bc735ffffffff,2.0,0.0,0.0,0.0,0.0
84bc737ffffffff,29.0,0.0,0.0,0.0,3.0
84bc739ffffffff,11.0,0.0,0.0,0.0,0.0
84bc73bffffffff,9.0,0.0,0.0,0.0,0.0
84bc893ffffffff,3.0,0.0,0.0,0.0,0.0
84bc897ffffffff,8.0,0.0,0.0,0.0,0.0
84bc8b7ffffffff,5.0,0.0,0.0,0.0,0.0
84bc991ffffffff,27.0,0.0,3.0,0.0,0.0
84bc993ffffffff,3.0,0.0,0.0,0.0,0.0
84bc997ffffffff,2.0,0.0,0.0,0.0,0.0
84bc9bbffffffff,1.0,0.0,0.0,0.0,0.0
84bcc49ffffffff,1.0,0.0,0.0,0.0,0.0
84bcc6dffffffff,2.0,0.0,0.0,0.0,0.0
84bcd01ffffffff,4.0,0.0,0.0,0.0,0.0
84bcd05ffffffff,2.0,0.0,0.0,0.0,0.0
84bcd07ffffffff,36.0,0.0,0.0,0.0,3.0
84bcd0bffffffff,6.0,0.0,0.0,0.0,4.0
84bcd21ffffffff,1.0,0.0,0.0,0.0,0.0
84bcd23ffffffff,6.0,0.0,0.0,0.0,0.0
84bcd25ffffffff,2.0,0.0,0.0,0.0,0.0
84bcd29ffffffff,8.0,0.0,0.0,0.0,0.0
84bcd2dffffffff,2.0,0.0,0.0,0.0,0.0
84bcd63ffffffff,5.0,0.0,0.0,0.0,0.0
84bcd67ffffffff,1.0,0.0,0.0,0.0,0.0
84bcd6dffffffff,44.0,0.0,0.0,0.0,0.0
84bce05ffffffff,2.0,0.0,0.0,0.0,0.0
84bce21ffffffff,18.0,0.0,0.0,0.0,9.0
84bce27ffffffff,3.0,0.0,0.0,0.0,3.0
84bce29ffffffff,41.0,0.0,0.0,0.0,14.0
84bce2dffffffff,8.0,0.0,0.0,0.0,1.0
84bce61ffffffff,12.0,0.0,0.0,0.0,6.0
84bce63ffffffff,18.0,0.0,0.0,0.0,8.0
84bce65ffffffff,11.0,0.0,0.0,0.0,5.0
84bce67ffffffff,31.0,0.0,0.0,0.0,1.0
84bce6bffffffff,2.0,0.0,0.0,0.0,0.0
84bcf17ffffffff,2.0,0.0,0.0,0.0,0.0
84bcf33ffffffff,3.0,0.0,0.0,0.0,3.0
84bcf53ffffffff,7.0,0.0,0.0,0.0,0.0
84bcf5bffffffff,57.0,0.0,0.0,0.0,18.0
84bcf5dffffffff,1.0,0.0,0.0,0.0,0.0
