cell_id,Galbula ruficauda,Galbula ruficauda melanogenia,Galbula ruficauda [ruficauda Group],Galbula ruficauda rufoviridis/heterogyna
838a95fffffffff,2.0,0.0,0.0,0.0
838aa5fffffffff,3.0,0.0,0.0,0.0
838ab2fffffffff,3.0,0.0,0.0,0.0
838ab6fffffffff,3.0,0.0,0.0,0.0
838adbfffffffff,2.0,0.0,0.0,0.0
838b00fffffffff,7.0,0.0,0.0,0.0
838b01fffffffff,2.0,0.0,0.0,0.0
838b04fffffffff,10.0,0.0,0.0,0.0
838b05fffffffff,8.0,0.0,0.0,0.0
838b06fffffffff,4.0,0.0,0.0,0.0
838b08fffffffff,6.0,0.0,0.0,0.0
838b0afffffffff,2.0,0.0,0.0,0.0
838b0bfffffffff,8.0,0.0,0.0,0.0
838b0cfffffffff,147.0,0.0,0.0,0.0
838b0dfffffffff,28.0,0.0,0.0,0.0
838b0efffffffff,12.0,0.0,0.0,0.0
838b10fffffffff,9.0,0.0,0.0,0.0
838b11fffffffff,8.0,0.0,0.0,0.0
838b13fffffffff,1.0,0.0,0.0,0.0
838b1cfffffffff,4.0,0.0,0.0,0.0
838b1efffffffff,21.0,0.0,0.0,0.0
838b20fffffffff,2.0,0.0,0.0,0.0
838b21fffffffff,2.0,0.0,0.0,0.0
838b22fffffffff,186.0,0.0,0.0,0.0
838b23fffffffff,20.0,0.0,0.0,0.0
838b26fffffffff,2.0,0.0,0.0,0.0
838b2afffffffff,83.0,0.0,0.0,0.0
838b2bfffffffff,12.0,0.0,0.0,0.0
838b2cfffffffff,5.0,0.0,0.0,0.0
838b2efffffffff,12.0,0.0,0.0,0.0
838b31fffffffff,60.0,0.0,0.0,0.0
838b36fffffffff,11.0,0.0,0.0,0.0
838b42fffffffff,1.0,0.0,0.0,0.0
838b46fffffffff,2.0,0.0,0.0,0.0
838b50fffffffff,4.0,0.0,0.0,0.0
838b51fffffffff,2.0,0.0,0.0,0.0
838b52fffffffff,19.0,0.0,0.0,0.0
838b56fffffffff,57.0,0.0,0.0,0.0
838b72fffffffff,4.0,0.0,0.0,0.0
838b74fffffffff,21.0,0.0,0.0,0.0
838b75fffffffff,11.0,0.0,0.0,0.0
838b76fffffffff,60.0,0.0,0.0,0.0
838b82fffffffff,11.0,0.0,0.0,0.0
838b83fffffffff,2.0,0.0,0.0,0.0
838b84fffffffff,112.0,0.0,0.0,1.0
838b88fffffffff,37.0,0.0,0.0,0.0
838b96fffffffff,1.0,0.0,0.0,1.0
838b98fffffffff,7.0,0.0,0.0,0.0
838b99fffffffff,53.0,0.0,0.0,0.0
838b9cfffffffff,2.0,0.0,0.0,0.0
838b9dfffffffff,262.0,0.0,0.0,9.0
838ba0fffffffff,27.0,0.0,0.0,0.0
838ba5fffffffff,2.0,0.0,0.0,0.0
838ba6fffffffff,96.0,0.0,0.0,5.0
838bb4fffffffff,2.0,0.0,0.0,0.0
838bb5fffffffff,427.0,0.0,0.0,30.0
838f28fffffffff,2.0,0.0,0.0,0.0
838f2cfffffffff,68.0,4.0,0.0,0.0
838f2efffffffff,1.0,0.0,0.0,0.0
83a596fffffffff,197.0,0.0,0.0,9.0
83a803fffffffff,6.0,0.0,0.0,0.0
83a808fffffffff,1.0,0.0,0.0,0.0
83a809fffffffff,6.0,0.0,0.0,0.0
83a80bfffffffff,4.0,0.0,0.0,0.0
83a80cfffffffff,18.0,0.0,0.0,0.0
83a80dfffffffff,2.0,0.0,0.0,0.0
83a80efffffffff,18.0,0.0,0.0,0.0
83a811fffffffff,10.0,0.0,0.0,0.0
83a812fffffffff,39.0,0.0,0.0,6.0
83a813fffffffff,6.0,0.0,0.0,2.0
83a818fffffffff,206.0,0.0,0.0,0.0
83a819fffffffff,141.0,0.0,0.0,0.0
83a81afffffffff,44.0,0.0,0.0,0.0
83a81bfffffffff,145.0,0.0,0.0,2.0
83a81cfffffffff,144.0,0.0,0.0,0.0
83a81dfffffffff,36.0,0.0,0.0,0.0
83a81efffffffff,843.0,0.0,0.0,0.0
83a829fffffffff,3.0,0.0,0.0,0.0
83a840fffffffff,214.0,0.0,0.0,3.0
83a841fffffffff,12.0,0.0,0.0,0.0
83a842fffffffff,24.0,0.0,0.0,0.0
83a843fffffffff,1.0,0.0,0.0,0.0
83a844fffffffff,29.0,0.0,0.0,1.0
83a845fffffffff,29.0,0.0,0.0,0.0
83a846fffffffff,157.0,0.0,0.0,4.0
83a849fffffffff,1.0,0.0,0.0,0.0
83a84afffffffff,11.0,0.0,0.0,2.0
83a84bfffffffff,2.0,0.0,0.0,0.0
83a84dfffffffff,3.0,0.0,0.0,0.0
83a84efffffffff,16.0,0.0,0.0,0.0
83a850fffffffff,8.0,0.0,0.0,0.0
83a851fffffffff,4.0,0.0,0.0,0.0
83a852fffffffff,6.0,0.0,0.0,0.0
