cell_id,Cyanocompsa parellina,Cyanocompsa parellina parellina/beneplacita,Cyanocompsa parellina indigotica
8445285ffffffff,51.0,6.0,0.0
8445287ffffffff,211.0,30.0,0.0
8445289ffffffff,647.0,6.0,0.0
844528dffffffff,130.0,8.0,0.0
8445291ffffffff,3.0,0.0,0.0
8445297ffffffff,4.0,0.0,0.0
8445299ffffffff,2.0,0.0,0.0
84452a1ffffffff,63.0,15.0,0.0
84452a3ffffffff,15.0,0.0,0.0
84452a5ffffffff,45.0,0.0,0.0
84452a7ffffffff,12.0,0.0,0.0
84452a9ffffffff,430.0,2.0,0.0
84452abffffffff,81.0,2.0,0.0
84452adffffffff,647.0,1.0,0.0
84452b3ffffffff,7.0,0.0,0.0
84452b5ffffffff,43.0,0.0,0.0
84452b9ffffffff,96.0,5.0,0.0
84452bdffffffff,142.0,6.0,0.0
84452c1ffffffff,12.0,0.0,0.0
84452c3ffffffff,309.0,46.0,0.0
84452c5ffffffff,30.0,0.0,0.0
84452c7ffffffff,272.0,26.0,0.0
84452d5ffffffff,10.0,0.0,0.0
84452d9ffffffff,2.0,0.0,0.0
84452dbffffffff,5.0,0.0,0.0
84452e1ffffffff,2006.0,11.0,0.0
84452e3ffffffff,295.0,0.0,0.0
84452e5ffffffff,64.0,0.0,0.0
84452e7ffffffff,70.0,0.0,0.0
84452e9ffffffff,129.0,0.0,0.0
84452ebffffffff,1131.0,131.0,0.0
84452edffffffff,71.0,0.0,0.0
8445353ffffffff,9.0,0.0,0.0
8445649ffffffff,2.0,0.0,0.0
84456dbffffffff,3.0,0.0,0.0
8445721ffffffff,1.0,1.0,0.0
8445725ffffffff,79.0,9.0,0.0
8445727ffffffff,1.0,0.0,0.0
844572dffffffff,2.0,0.0,0.0
8445761ffffffff,11.0,0.0,0.0
8445765ffffffff,2.0,0.0,0.0
8445767ffffffff,12.0,0.0,0.0
8445769ffffffff,2.0,0.0,0.0
8448065ffffffff,7.0,0.0,0.0
8448067ffffffff,1.0,0.0,0.0
844806dffffffff,2.0,0.0,0.0
844814dffffffff,2.0,0.0,0.0
844815bffffffff,22.0,0.0,0.0
8448305ffffffff,2.0,0.0,0.0
8448329ffffffff,9.0,0.0,0.0
844832bffffffff,3.0,0.0,0.0
8448331ffffffff,26.0,0.0,0.0
8448333ffffffff,23.0,0.0,0.0
8448337ffffffff,91.0,0.0,0.0
844833bffffffff,23.0,0.0,0.0
844833dffffffff,2.0,0.0,0.0
8448361ffffffff,375.0,0.0,31.0
8448363ffffffff,174.0,0.0,5.0
8448365ffffffff,30.0,0.0,0.0
8448367ffffffff,50.0,0.0,6.0
8448369ffffffff,856.0,0.0,63.0
844836dffffffff,53.0,0.0,8.0
8448a21ffffffff,315.0,0.0,0.0
8448a29ffffffff,2.0,0.0,0.0
8448a2bffffffff,2.0,0.0,0.0
8448a2dffffffff,16.0,0.0,0.0
8448a67ffffffff,5.0,0.0,0.0
8448b03ffffffff,2.0,0.0,0.0
8448b49ffffffff,3.0,0.0,0.0
8448b4dffffffff,5.0,0.0,0.0
8448b59ffffffff,2.0,0.0,0.0
8448b5bffffffff,14.0,0.0,0.0
8449809ffffffff,2.0,0.0,0.0
84498d9ffffffff,1.0,0.0,0.0
84498dbffffffff,2.0,0.0,0.0
8449901ffffffff,2.0,0.0,0.0
8449903ffffffff,9.0,0.0,0.0
8449911ffffffff,3.0,0.0,0.0
8449913ffffffff,7.0,0.0,0.0
8449917ffffffff,2.0,0.0,0.0
844991dffffffff,2.0,0.0,0.0
8449929ffffffff,1.0,0.0,0.0
844992bffffffff,3.0,0.0,0.0
8449961ffffffff,114.0,28.0,0.0
8449963ffffffff,231.0,92.0,0.0
8449965ffffffff,12.0,0.0,0.0
8449967ffffffff,16.0,2.0,0.0
8449969ffffffff,41.0,1.0,0.0
844996bffffffff,2.0,2.0,0.0
844996dffffffff,6.0,0.0,0.0
8449981ffffffff,21.0,0.0,0.0
8449983ffffffff,1.0,0.0,0.0
8449987ffffffff,148.0,0.0,0.0
84499b1ffffffff,18.0,0.0,0.0
84499b5ffffffff,5.0,0.0,0.0
84499b7ffffffff,1.0,0.0,0.0
84499bdffffffff,2.0,0.0,0.0
84499c5ffffffff,15.0,0.0,0.0
84499c9ffffffff,2.0,0.0,0.0
84499cdffffffff,2.0,0.0,0.0
84499e3ffffffff,2.0,0.0,0.0
8449a17ffffffff,1.0,0.0,0.0
8449a23ffffffff,8.0,0.0,5.0
8449a2bffffffff,45.0,0.0,13.0
8449a3dffffffff,47.0,0.0,18.0
8449a81ffffffff,16.0,0.0,2.0
8449a83ffffffff,8.0,0.0,0.0
8449a85ffffffff,57.0,0.0,3.0
8449a89ffffffff,89.0,0.0,14.0
8449a8bffffffff,67.0,0.0,10.0
8449a8dffffffff,34.0,0.0,3.0
8449a91ffffffff,220.0,0.0,22.0
8449a93ffffffff,171.0,0.0,24.0
8449a95ffffffff,2.0,0.0,0.0
8449a97ffffffff,132.0,0.0,17.0
8449a99ffffffff,7.0,0.0,0.0
8449a9bffffffff,42.0,0.0,8.0
8449a9dffffffff,1.0,0.0,0.0
8449aa3ffffffff,5.0,0.0,0.0
8449aa7ffffffff,1.0,0.0,0.0
8449aa9ffffffff,1.0,0.0,0.0
8449ab3ffffffff,3.0,0.0,0.0
8449ac7ffffffff,3.0,0.0,0.0
8449ad5ffffffff,14.0,0.0,3.0
8449ad7ffffffff,41.0,0.0,5.0
8449ae3ffffffff,53.0,0.0,5.0
8449aebffffffff,1.0,0.0,0.0
8449b0bffffffff,10.0,0.0,0.0
8449b53ffffffff,3.0,0.0,0.0
8449b55ffffffff,6.0,0.0,0.0
8449b57ffffffff,3.0,0.0,0.0
8449b6dffffffff,3.0,0.0,0.0
846d041ffffffff,3.0,0.0,0.0
846d049ffffffff,5.0,0.0,0.0
846d04bffffffff,2.0,0.0,0.0
846d04dffffffff,24.0,2.0,0.0
846d06dffffffff,24.0,0.0,0.0
846d141ffffffff,5.0,0.0,0.0
846d143ffffffff,1.0,0.0,1.0
846d14bffffffff,3.0,0.0,1.0
846d159ffffffff,591.0,0.0,150.0
846d15dffffffff,61.0,0.0,12.0
846d20dffffffff,2.0,0.0,0.0
846d21dffffffff,4.0,0.0,0.0
846d223ffffffff,4.0,0.0,0.0
846d231ffffffff,64.0,8.0,0.0
846d235ffffffff,6.0,0.0,0.0
846d239ffffffff,128.0,46.0,0.0
846d23dffffffff,49.0,9.0,0.0
846d251ffffffff,9.0,0.0,0.0
846d2c9ffffffff,15.0,0.0,0.0
846d30dffffffff,45.0,7.0,0.0
846d311ffffffff,4.0,0.0,0.0
846d313ffffffff,2.0,0.0,0.0
846d315ffffffff,4.0,0.0,0.0
846d317ffffffff,4.0,0.0,0.0
846d319ffffffff,3.0,3.0,0.0
846d31bffffffff,2.0,0.0,0.0
846d333ffffffff,29.0,0.0,8.0
846d337ffffffff,191.0,0.0,62.0
846d341ffffffff,10.0,8.0,0.0
846d34bffffffff,3.0,0.0,0.0
846d34dffffffff,4.0,0.0,0.0
846d35bffffffff,2.0,0.0,0.0
846d35dffffffff,16.0,4.0,0.0
846d369ffffffff,2.0,0.0,0.0
846d60dffffffff,45.0,0.0,0.0
846d651ffffffff,79.0,0.0,0.0
846d653ffffffff,8.0,0.0,0.0
846d655ffffffff,23.0,0.0,0.0
846d657ffffffff,1.0,0.0,0.0
846d665ffffffff,11.0,0.0,0.0
846d667ffffffff,2.0,0.0,0.0
846d741ffffffff,19.0,0.0,0.0
846d743ffffffff,33.0,0.0,0.0
846d745ffffffff,56.0,0.0,0.0
846d749ffffffff,6.0,0.0,0.0
846d74bffffffff,15.0,0.0,0.0
846d759ffffffff,4.0,0.0,0.0
846d75dffffffff,5.0,0.0,0.0
