cell_id,Setophaga dominica,Setophaga dominica albilora,Setophaga dominica dominica/stoddardi
834524fffffffff,176.0,0.0,0.0
834525fffffffff,38.0,0.0,0.0
834526fffffffff,214.0,0.0,0.0
834528fffffffff,90.0,0.0,0.0
834529fffffffff,50.0,2.0,0.0
83452afffffffff,2920.0,362.0,0.0
83452bfffffffff,138.0,3.0,0.0
83452cfffffffff,133.0,0.0,0.0
83452dfffffffff,47.0,0.0,0.0
83452efffffffff,3091.0,146.0,0.0
834530fffffffff,15.0,0.0,0.0
834531fffffffff,402.0,0.0,0.0
834532fffffffff,20.0,0.0,0.0
834533fffffffff,98.0,0.0,0.0
834534fffffffff,5.0,0.0,0.0
834535fffffffff,12.0,0.0,0.0
834536fffffffff,4.0,0.0,0.0
834550fffffffff,1.0,0.0,0.0
834554fffffffff,2.0,0.0,0.0
834564fffffffff,8.0,0.0,0.0
83456dfffffffff,9.0,0.0,0.0
834572fffffffff,208.0,8.0,0.0
834574fffffffff,17.0,0.0,0.0
834576fffffffff,89.0,10.0,0.0
834582fffffffff,4.0,0.0,0.0
834583fffffffff,32.0,0.0,0.0
834584fffffffff,66.0,0.0,0.0
834588fffffffff,521.0,19.0,2.0
834589fffffffff,13.0,0.0,0.0
83458afffffffff,3.0,0.0,0.0
83458cfffffffff,686.0,33.0,4.0
83458dfffffffff,89.0,0.0,0.0
83458efffffffff,300.0,5.0,0.0
834590fffffffff,50.0,0.0,0.0
834591fffffffff,270.0,25.0,2.0
834592fffffffff,15.0,0.0,0.0
834593fffffffff,8.0,0.0,0.0
834598fffffffff,641.0,46.0,21.0
83459cfffffffff,90.0,6.0,2.0
83459dfffffffff,150.0,15.0,10.0
83459efffffffff,23.0,0.0,0.0
8345a3fffffffff,431.0,0.0,0.0
8345aefffffffff,35.0,0.0,0.0
8345b0fffffffff,27.0,0.0,0.0
8345b2fffffffff,102.0,0.0,0.0
834806fffffffff,3.0,0.0,0.0
834815fffffffff,2.0,0.0,0.0
834833fffffffff,2.0,0.0,0.0
834836fffffffff,113.0,0.0,0.0
834880fffffffff,17.0,0.0,0.0
834882fffffffff,16.0,0.0,0.0
834883fffffffff,1098.0,9.0,0.0
834886fffffffff,16.0,0.0,0.0
83488efffffffff,304.0,0.0,0.0
834890fffffffff,334.0,0.0,0.0
834891fffffffff,47.0,0.0,0.0
834892fffffffff,156.0,0.0,0.0
834893fffffffff,98.0,0.0,0.0
834895fffffffff,1012.0,8.0,0.0
834898fffffffff,220.0,0.0,0.0
834899fffffffff,4.0,0.0,0.0
83489afffffffff,13.0,0.0,0.0
83489cfffffffff,1411.0,4.0,0.0
83489dfffffffff,1479.0,24.0,0.0
83489efffffffff,46.0,0.0,0.0
8348a2fffffffff,24.0,0.0,0.0
8348b1fffffffff,16.0,0.0,0.0
8348b2fffffffff,2248.0,21.0,0.0
8348b3fffffffff,2613.0,15.0,0.0
83498cfffffffff,2.0,0.0,0.0
834990fffffffff,2.0,0.0,0.0
834992fffffffff,42.0,2.0,0.0
834993fffffffff,13.0,0.0,0.0
834996fffffffff,2369.0,131.0,0.0
834998fffffffff,63.0,0.0,0.0
83499bfffffffff,9.0,0.0,0.0
83499cfffffffff,2.0,0.0,0.0
83499efffffffff,17.0,0.0,0.0
8349a8fffffffff,9.0,0.0,0.0
8349a9fffffffff,58.0,0.0,0.0
8349aafffffffff,7.0,0.0,0.0
8349adfffffffff,4.0,0.0,0.0
834c81fffffffff,64.0,0.0,0.0
834c83fffffffff,16.0,0.0,0.0
834c88fffffffff,5.0,0.0,0.0
834c89fffffffff,3.0,0.0,0.0
834c8afffffffff,4.0,0.0,0.0
834c8bfffffffff,3.0,0.0,0.0
834c93fffffffff,58.0,0.0,13.0
834c94fffffffff,19.0,0.0,0.0
834c95fffffffff,6.0,0.0,0.0
834c98fffffffff,18.0,0.0,3.0
834c9afffffffff,21.0,0.0,0.0
834c9efffffffff,1.0,0.0,0.0
834caafffffffff,14.0,0.0,0.0
834cabfffffffff,4.0,0.0,0.0
834cb2fffffffff,5.0,0.0,0.0
834cb3fffffffff,100.0,0.0,0.0
834cc2fffffffff,3.0,0.0,0.0
834cc6fffffffff,49.0,0.0,0.0
834cd0fffffffff,8.0,0.0,0.0
834cd2fffffffff,5.0,0.0,0.0
834cd4fffffffff,63.0,0.0,0.0
834cd5fffffffff,1.0,0.0,0.0
834cd6fffffffff,1.0,0.0,0.0
834ce8fffffffff,2.0,0.0,0.0
834cf2fffffffff,24.0,0.0,0.0
834cf3fffffffff,16.0,0.0,0.0
8366a5fffffffff,85.0,0.0,0.0
8366b0fffffffff,4.0,0.0,0.0
8366b4fffffffff,121.0,0.0,0.0
8366b5fffffffff,41.0,0.0,0.0
836724fffffffff,2.0,0.0,0.0
836725fffffffff,49.0,0.0,0.0
836726fffffffff,8.0,0.0,0.0
836730fffffffff,15.0,0.0,0.0
836732fffffffff,34.0,0.0,0.0
836736fffffffff,73.0,0.0,0.0
836751fffffffff,1.0,0.0,0.0
836755fffffffff,21.0,0.0,0.0
836780fffffffff,14.0,0.0,0.0
836783fffffffff,105.0,0.0,0.0
836790fffffffff,3.0,0.0,0.0
836794fffffffff,2.0,0.0,0.0
836795fffffffff,2.0,0.0,0.0
836796fffffffff,2.0,0.0,0.0
83679afffffffff,40.0,0.0,0.0
836d04fffffffff,42.0,3.0,0.0
836d05fffffffff,13.0,4.0,0.0
836d06fffffffff,5.0,0.0,0.0
836d14fffffffff,11.0,7.0,0.0
836d15fffffffff,64.0,2.0,0.0
836d20fffffffff,16.0,0.0,0.0
836d21fffffffff,20.0,0.0,0.0
836d23fffffffff,113.0,0.0,0.0
836d24fffffffff,20.0,0.0,0.0
836d25fffffffff,208.0,5.0,0.0
836d26fffffffff,6.0,0.0,0.0
836d28fffffffff,21.0,0.0,0.0
836d29fffffffff,36.0,0.0,0.0
836d2afffffffff,8.0,2.0,0.0
836d2bfffffffff,70.0,0.0,0.0
836d2cfffffffff,82.0,0.0,0.0
836d2dfffffffff,108.0,0.0,0.0
836d2efffffffff,22.0,3.0,0.0
836d30fffffffff,28.0,0.0,0.0
836d31fffffffff,28.0,8.0,0.0
836d32fffffffff,26.0,7.0,0.0
836d33fffffffff,5.0,0.0,0.0
836d34fffffffff,493.0,6.0,0.0
836d35fffffffff,227.0,29.0,0.0
836d36fffffffff,10.0,0.0,0.0
836d60fffffffff,31.0,0.0,0.0
836d61fffffffff,4.0,0.0,0.0
836d64fffffffff,189.0,0.0,0.0
836d65fffffffff,141.0,0.0,0.0
836d66fffffffff,30.0,0.0,0.0
836d68fffffffff,7.0,0.0,0.0
836d69fffffffff,51.0,0.0,0.0
836d6cfffffffff,2.0,0.0,0.0
836d6efffffffff,2.0,0.0,0.0
836d74fffffffff,23.0,0.0,0.0
