cell_id,Rupornis magnirostris,Rupornis magnirostris gracilis,Rupornis magnirostris [magnirostris Group],Rupornis magnirostris [pucherani Group]
84452b3ffffffff,7.0,0.0,5.0,0.0
84452b5ffffffff,31.0,0.0,2.0,0.0
84452b7ffffffff,3.0,0.0,0.0,0.0
84452b9ffffffff,173.0,0.0,29.0,0.0
84452bdffffffff,269.0,0.0,10.0,0.0
84452c1ffffffff,105.0,0.0,5.0,0.0
84452c3ffffffff,791.0,0.0,61.0,0.0
84452c5ffffffff,340.0,0.0,28.0,0.0
84452c7ffffffff,802.0,0.0,40.0,0.0
84452c9ffffffff,59.0,0.0,12.0,0.0
84452cbffffffff,38.0,0.0,4.0,0.0
84452cdffffffff,8.0,0.0,0.0,0.0
84452d3ffffffff,2.0,0.0,0.0,0.0
84452d5ffffffff,17.0,0.0,0.0,0.0
84452d7ffffffff,4.0,0.0,0.0,0.0
84452d9ffffffff,11.0,0.0,0.0,0.0
84452dbffffffff,49.0,0.0,0.0,0.0
84452ddffffffff,6.0,0.0,0.0,0.0
84452e1ffffffff,3992.0,0.0,96.0,0.0
84452e3ffffffff,1403.0,0.0,32.0,0.0
84452e5ffffffff,1531.0,0.0,110.0,0.0
84452e7ffffffff,350.0,0.0,2.0,0.0
84452e9ffffffff,84.0,0.0,1.0,0.0
84452ebffffffff,1523.0,0.0,164.0,0.0
84452edffffffff,65.0,0.0,0.0,0.0
8445303ffffffff,64.0,0.0,0.0,0.0
8445307ffffffff,8.0,0.0,0.0,0.0
8445309ffffffff,21.0,0.0,0.0,0.0
8445315ffffffff,5.0,0.0,0.0,0.0
8445319ffffffff,91.0,0.0,0.0,0.0
844531dffffffff,2.0,0.0,0.0,0.0
8445321ffffffff,60.0,0.0,0.0,0.0
8445329ffffffff,2.0,0.0,0.0,0.0
844532bffffffff,143.0,0.0,0.0,0.0
8445341ffffffff,2.0,0.0,0.0,0.0
8445343ffffffff,29.0,0.0,0.0,0.0
8445349ffffffff,3.0,0.0,0.0,0.0
8445351ffffffff,22.0,0.0,0.0,0.0
8445353ffffffff,330.0,0.0,0.0,0.0
8445355ffffffff,34.0,0.0,0.0,0.0
