cell_id,Leucocarbo atriceps,Leucocarbo atriceps (Blue-eyed),Leucocarbo atriceps (King)
84cea59ffffffff,7.0,0.0,0.0
84cea5bffffffff,2.0,0.0,0.0
84cea81ffffffff,4.0,0.0,0.0
84cea85ffffffff,406.0,2.0,0.0
84cea87ffffffff,12.0,0.0,0.0
84cea89ffffffff,245.0,49.0,0.0
84cea8dffffffff,383.0,19.0,0.0
84ceaa9ffffffff,169.0,4.0,0.0
84ceaadffffffff,1.0,0.0,0.0
84ceab5ffffffff,19.0,0.0,0.0
84ceabdffffffff,2.0,0.0,0.0
84ceac1ffffffff,295.0,175.0,0.0
84ceac3ffffffff,3.0,0.0,0.0
84ceac5ffffffff,200.0,22.0,0.0
84ceac7ffffffff,45.0,1.0,0.0
84ceacdffffffff,94.0,24.0,0.0
84ceae1ffffffff,46.0,0.0,0.0
84ceae3ffffffff,769.0,90.0,0.0
84ceae5ffffffff,40.0,0.0,0.0
84ceae7ffffffff,624.0,2.0,0.0
84ceae9ffffffff,41.0,0.0,0.0
84ceaebffffffff,46.0,13.0,0.0
84ceaedffffffff,19.0,0.0,0.0
84cf101ffffffff,8.0,0.0,0.0
84cf103ffffffff,6.0,0.0,0.0
84cf105ffffffff,27.0,0.0,0.0
84cf107ffffffff,2.0,0.0,0.0
84cf109ffffffff,6.0,0.0,0.0
84cf10dffffffff,6.0,0.0,0.0
84cf119ffffffff,4.0,0.0,0.0
84cf11dffffffff,2.0,0.0,0.0
84cf123ffffffff,3.0,0.0,0.0
84cf129ffffffff,271.0,21.0,4.0
84cf12bffffffff,2.0,0.0,0.0
84cf131ffffffff,18.0,0.0,0.0
84cf133ffffffff,2.0,0.0,0.0
84cf13bffffffff,2.0,0.0,0.0
84cf141ffffffff,2.0,0.0,0.0
84cf143ffffffff,3.0,0.0,0.0
84cf151ffffffff,9.0,0.0,2.0
84cf153ffffffff,9.0,0.0,1.0
84cf15bffffffff,3.0,0.0,0.0
84cf15dffffffff,1.0,0.0,0.0
84cf163ffffffff,25.0,0.0,0.0
84cf169ffffffff,7.0,0.0,0.0
84cf16dffffffff,8.0,0.0,0.0
84cf185ffffffff,2.0,0.0,0.0
84cf1e5ffffffff,2.0,0.0,0.0
84cf1edffffffff,1.0,0.0,0.0
84cf325ffffffff,46.0,0.0,0.0
84cf327ffffffff,4.0,0.0,0.0
84cf329ffffffff,11.0,0.0,0.0
84cf32dffffffff,18.0,0.0,0.0
84cf88dffffffff,10.0,0.0,0.0
84cf891ffffffff,9.0,5.0,0.0
84cf893ffffffff,2.0,2.0,0.0
84cf895ffffffff,3.0,3.0,0.0
84cf897ffffffff,11.0,3.0,0.0
84cf899ffffffff,8.0,0.0,0.0
84cf8b3ffffffff,12.0,0.0,1.0
84cf8bbffffffff,13.0,2.0,0.0
84cf8d3ffffffff,11.0,2.0,0.0
84cf8d5ffffffff,2.0,0.0,0.0
84cf901ffffffff,26.0,0.0,0.0
84cf909ffffffff,6.0,0.0,0.0
84cf913ffffffff,51.0,0.0,0.0
84cf91dffffffff,1.0,0.0,0.0
84cf941ffffffff,2.0,0.0,0.0
84cf943ffffffff,288.0,3.0,4.0
84cf9e1ffffffff,32.0,0.0,0.0
84cf9e9ffffffff,42.0,0.0,0.0
84cfa0dffffffff,167.0,0.0,0.0
84cfa21ffffffff,406.0,0.0,0.0
84cfa27ffffffff,73.0,0.0,0.0
84cfa29ffffffff,2.0,0.0,0.0
84cfa2bffffffff,59.0,0.0,0.0
84cfa41ffffffff,7.0,0.0,0.0
84cfa45ffffffff,1111.0,5.0,1.0
84cfa47ffffffff,919.0,2.0,3.0
84cfa49ffffffff,203.0,17.0,9.0
84cfa5dffffffff,1.0,0.0,0.0
84cfa69ffffffff,2.0,0.0,0.0
84cfa99ffffffff,21.0,0.0,0.0
84cfad3ffffffff,10.0,0.0,0.0
84cfad7ffffffff,5.0,0.0,0.0
84cfadbffffffff,3.0,0.0,0.0
84cfb11ffffffff,5.0,0.0,0.0
84cfb13ffffffff,102.0,0.0,0.0
84cfb17ffffffff,15.0,0.0,0.0
84cfb37ffffffff,2.0,0.0,0.0
84de625ffffffff,14.0,0.0,0.0
84de629ffffffff,51.0,3.0,21.0
84de62dffffffff,215.0,2.0,79.0
84de63bffffffff,1.0,0.0,0.0
84de661ffffffff,15.0,0.0,0.0
84de665ffffffff,64.0,0.0,20.0
84de667ffffffff,8.0,0.0,1.0
84de699ffffffff,2.0,0.0,0.0
84de6a1ffffffff,1.0,0.0,0.0
84de701ffffffff,4.0,0.0,0.0
84de705ffffffff,6.0,0.0,6.0
84de707ffffffff,361.0,6.0,145.0
84de709ffffffff,30.0,0.0,16.0
84de70bffffffff,6.0,0.0,2.0
84de719ffffffff,13.0,0.0,4.0
84de71dffffffff,5.0,0.0,0.0
84de725ffffffff,2.0,0.0,0.0
84de739ffffffff,10.0,0.0,9.0
84de743ffffffff,66.0,0.0,37.0
84de747ffffffff,2.0,0.0,0.0
84de753ffffffff,128.0,0.0,34.0
84de75bffffffff,1.0,0.0,0.0
84df099ffffffff,2.0,0.0,0.0
84df401ffffffff,6.0,0.0,0.0
84df409ffffffff,102.0,8.0,1.0
84df40bffffffff,1.0,0.0,0.0
84df40dffffffff,33.0,3.0,0.0
84df419ffffffff,14.0,0.0,0.0
84df41bffffffff,32.0,0.0,1.0
84df421ffffffff,3.0,0.0,0.0
84df423ffffffff,11.0,0.0,0.0
84df427ffffffff,13.0,0.0,0.0
84df429ffffffff,2.0,0.0,0.0
84df42bffffffff,21.0,0.0,2.0
84df435ffffffff,1.0,0.0,0.0
84df43dffffffff,37.0,0.0,30.0
84df445ffffffff,69.0,0.0,0.0
84df447ffffffff,19.0,0.0,0.0
84df44bffffffff,2.0,0.0,0.0
84df44dffffffff,49.0,4.0,0.0
84df451ffffffff,1287.0,57.0,70.0
84df455ffffffff,323.0,10.0,15.0
84df459ffffffff,473.0,23.0,34.0
84df45bffffffff,2.0,2.0,0.0
84df463ffffffff,1.0,0.0,0.0
84df469ffffffff,27.0,0.0,16.0
84df46bffffffff,14.0,0.0,0.0
84df4c9ffffffff,1.0,0.0,0.0
84df4d9ffffffff,114.0,0.0,0.0
84df555ffffffff,2.0,0.0,0.0
84df59dffffffff,3.0,0.0,1.0
84df5b3ffffffff,14.0,0.0,0.0
84df5b7ffffffff,5.0,0.0,0.0
84df5c5ffffffff,4.0,0.0,0.0
84df5c9ffffffff,2.0,0.0,0.0
84df5cdffffffff,14.0,0.0,0.0
84df5ddffffffff,1.0,0.0,0.0
84df613ffffffff,8.0,0.0,0.0
84df621ffffffff,2.0,0.0,0.0
84df623ffffffff,2.0,0.0,0.0
84df627ffffffff,1.0,0.0,0.0
84df633ffffffff,15.0,0.0,0.0
84df681ffffffff,31.0,0.0,8.0
84df683ffffffff,247.0,10.0,25.0
84df687ffffffff,89.0,0.0,0.0
84df689ffffffff,212.0,4.0,3.0
84df68bffffffff,691.0,27.0,18.0
84df68dffffffff,12.0,0.0,0.0
84df691ffffffff,11.0,0.0,0.0
84df695ffffffff,5.0,0.0,0.0
84df697ffffffff,42.0,0.0,0.0
84df699ffffffff,54.0,2.0,1.0
84df69dffffffff,604.0,19.0,28.0
84df6a3ffffffff,3.0,0.0,0.0
84df6a7ffffffff,80.0,0.0,1.0
84df6b3ffffffff,3.0,0.0,0.0
84df6b5ffffffff,20.0,0.0,0.0
84df6bbffffffff,10.0,0.0,0.0
84df6bdffffffff,4.0,0.0,0.0
84df6c1ffffffff,12.0,0.0,0.0
84df6c3ffffffff,25.0,0.0,0.0
84df6c5ffffffff,2.0,0.0,0.0
84df6c7ffffffff,14.0,0.0,0.0
84df6c9ffffffff,12.0,0.0,0.0
84df6cbffffffff,5.0,0.0,0.0
84df6cdffffffff,22.0,0.0,2.0
84df6d3ffffffff,2.0,1.0,0.0
84df6d7ffffffff,472.0,18.0,15.0
84df6d9ffffffff,10.0,0.0,0.0
84df6ddffffffff,27.0,0.0,0.0
84df6e1ffffffff,25.0,0.0,0.0
84df6e3ffffffff,7.0,0.0,0.0
84df6e5ffffffff,20.0,0.0,0.0
84df6e7ffffffff,41.0,0.0,0.0
84df6e9ffffffff,20.0,0.0,0.0
84df6ebffffffff,22.0,0.0,0.0
84df6edffffffff,16.0,0.0,0.0
84df713ffffffff,5.0,0.0,0.0
84df765ffffffff,2.0,0.0,1.0
