cell_id,Neotis denhami,Neotis denhami denhami,Neotis denhami jacksoni,Neotis denhami stanleyi
84bce63ffffffff,14.0,0.0,0.0,4.0
84bce65ffffffff,1.0,0.0,0.0,0.0
84bce67ffffffff,5.0,0.0,0.0,3.0
84bcf29ffffffff,2.0,0.0,0.0,0.0
84bcf33ffffffff,84.0,0.0,0.0,43.0
84bcf39ffffffff,1.0,0.0,0.0,0.0
84bcf3bffffffff,1.0,0.0,0.0,0.0
84bcf51ffffffff,1.0,0.0,0.0,0.0
84bcf5bffffffff,19.0,0.0,0.0,13.0
84bcf61ffffffff,2.0,0.0,0.0,1.0
84bcf63ffffffff,5.0,0.0,0.0,0.0
84bcf67ffffffff,7.0,0.0,0.0,1.0
