cell_id,Pheucticus aureoventris,Pheucticus aureoventris meridensis,Pheucticus aureoventris crissalis,Pheucticus aureoventris uropygialis/terminalis,Pheucticus aureoventris aureoventris
838b6cfffffffff,224.0,0.0,0.0,0.0,0.0
838b74fffffffff,14.0,0.0,0.0,0.0,0.0
838b75fffffffff,10.0,0.0,0.0,0.0,0.0
838b76fffffffff,1.0,0.0,0.0,0.0,0.0
838bb5fffffffff,14.0,0.0,0.0,0.0,0.0
838e60fffffffff,4.0,0.0,0.0,0.0,0.0
838e61fffffffff,13.0,0.0,0.0,0.0,0.0
838e64fffffffff,14.0,0.0,0.0,0.0,0.0
838e65fffffffff,35.0,0.0,0.0,0.0,0.0
838e68fffffffff,5.0,0.0,0.0,0.0,0.0
838e6cfffffffff,41.0,0.0,0.0,0.0,0.0
838e6dfffffffff,430.0,0.0,0.0,3.0,0.0
838e6efffffffff,1.0,0.0,0.0,0.0,0.0
838f29fffffffff,13.0,0.0,0.0,0.0,0.0
838f2dfffffffff,121.0,0.0,5.0,0.0,0.0
838f59fffffffff,5.0,0.0,0.0,0.0,0.0
83a85dfffffffff,2.0,0.0,0.0,0.0,0.0
83a869fffffffff,2.0,0.0,0.0,0.0,0.0
83a86dfffffffff,3.0,0.0,0.0,0.0,0.0
83a94efffffffff,2.0,0.0,0.0,0.0,0.0
83a95cfffffffff,1.0,0.0,0.0,0.0,0.0
83b242fffffffff,1.0,0.0,0.0,0.0,0.0
83b243fffffffff,11.0,0.0,0.0,0.0,0.0
83b250fffffffff,2.0,0.0,0.0,0.0,0.0
83b251fffffffff,1.0,0.0,0.0,0.0,0.0
83b258fffffffff,22.0,0.0,0.0,0.0,0.0
83b25afffffffff,2.0,0.0,0.0,0.0,0.0
83b25cfffffffff,50.0,0.0,0.0,0.0,0.0
83b25dfffffffff,1.0,0.0,0.0,0.0,0.0
83b25efffffffff,81.0,0.0,0.0,0.0,0.0
83b270fffffffff,36.0,0.0,0.0,0.0,0.0
83b272fffffffff,7.0,0.0,0.0,0.0,0.0
83b273fffffffff,2.0,0.0,0.0,0.0,0.0
83b274fffffffff,201.0,0.0,0.0,0.0,0.0
83b275fffffffff,1.0,0.0,0.0,0.0,0.0
83b324fffffffff,34.0,0.0,0.0,0.0,0.0
83b325fffffffff,73.0,0.0,0.0,0.0,0.0
83b32dfffffffff,7.0,0.0,0.0,0.0,0.0
83b340fffffffff,27.0,0.0,0.0,0.0,0.0
83b342fffffffff,539.0,0.0,0.0,0.0,0.0
83b343fffffffff,28.0,0.0,0.0,0.0,0.0
83b344fffffffff,47.0,0.0,0.0,0.0,0.0
83b346fffffffff,22.0,0.0,0.0,0.0,0.0
83b34bfffffffff,9.0,0.0,0.0,0.0,0.0
83b351fffffffff,564.0,0.0,0.0,0.0,0.0
83b358fffffffff,34.0,0.0,0.0,0.0,0.0
83b35afffffffff,20.0,0.0,0.0,0.0,0.0
83b35bfffffffff,37.0,0.0,0.0,0.0,0.0
83b35cfffffffff,145.0,0.0,0.0,0.0,0.0
83b35dfffffffff,6.0,0.0,0.0,0.0,0.0
83b35efffffffff,513.0,0.0,0.0,0.0,0.0
83b360fffffffff,5.0,0.0,0.0,0.0,0.0
83b361fffffffff,19.0,0.0,0.0,0.0,0.0
83b362fffffffff,37.0,0.0,0.0,0.0,0.0
83b363fffffffff,2.0,0.0,0.0,0.0,0.0
83b365fffffffff,4.0,0.0,0.0,0.0,0.0
83b366fffffffff,44.0,0.0,0.0,0.0,0.0
83b368fffffffff,3.0,0.0,0.0,0.0,0.0
83b369fffffffff,4.0,0.0,0.0,0.0,0.0
83b36dfffffffff,2.0,0.0,0.0,0.0,0.0
