cell_id,Argya striata,Argya striata [striata Group],Argya striata somervillei
843d85bffffffff,1.0,0.0,0.0
843d8ddffffffff,6.0,0.0,0.0
843d997ffffffff,2.0,2.0,0.0
843d9b7ffffffff,18.0,18.0,0.0
843da11ffffffff,3.0,1.0,0.0
843da13ffffffff,3.0,3.0,0.0
843da1dffffffff,1.0,1.0,0.0
843da37ffffffff,4.0,0.0,0.0
843dad1ffffffff,27.0,0.0,0.0
843dad9ffffffff,2.0,0.0,0.0
843dadbffffffff,2.0,0.0,0.0
843daddffffffff,4.0,2.0,0.0
843db61ffffffff,3.0,0.0,0.0
8442c13ffffffff,34.0,1.0,0.0
8442c1bffffffff,29.0,0.0,0.0
8442c1dffffffff,2.0,0.0,0.0
8442cc5ffffffff,3.0,0.0,0.0
8442cc7ffffffff,2.0,0.0,0.0
8442ccdffffffff,1.0,0.0,0.0
8442d93ffffffff,13.0,0.0,13.0
8442d97ffffffff,5.0,0.0,5.0
8442db3ffffffff,2.0,0.0,0.0
8442db7ffffffff,2.0,0.0,1.0
8442dbbffffffff,2.0,0.0,2.0
8442e31ffffffff,2.0,0.0,0.0
8442ea1ffffffff,6.0,0.0,0.0
8442eb3ffffffff,1.0,1.0,0.0
846004dffffffff,2.0,0.0,0.0
8460061ffffffff,1.0,0.0,0.0
8460067ffffffff,8.0,0.0,0.0
8460069ffffffff,1.0,0.0,0.0
846006dffffffff,17.0,0.0,0.0
8460101ffffffff,2.0,0.0,0.0
846011bffffffff,4.0,0.0,0.0
8460139ffffffff,2.0,0.0,0.0
8460145ffffffff,147.0,0.0,0.0
8460147ffffffff,2.0,0.0,0.0
8460149ffffffff,18.0,0.0,0.0
846014dffffffff,503.0,7.0,0.0
8460151ffffffff,12.0,0.0,0.0
8460157ffffffff,2.0,0.0,0.0
8460159ffffffff,16.0,0.0,0.0
846015bffffffff,4.0,0.0,0.0
8460161ffffffff,8.0,0.0,0.0
8460165ffffffff,15.0,0.0,0.0
8460169ffffffff,78.0,0.0,0.0
846016bffffffff,39.0,0.0,0.0
846016dffffffff,19.0,0.0,0.0
84601e9ffffffff,4.0,0.0,0.0
8460221ffffffff,26.0,0.0,0.0
8460225ffffffff,3.0,0.0,0.0
8460229ffffffff,4.0,0.0,0.0
846022dffffffff,8.0,0.0,0.0
8460261ffffffff,7.0,0.0,0.0
8460267ffffffff,2.0,0.0,0.0
8460269ffffffff,1.0,0.0,0.0
8460309ffffffff,11.0,0.0,0.0
8460311ffffffff,12.0,0.0,0.0
8460313ffffffff,22.0,0.0,0.0
8460315ffffffff,11.0,0.0,0.0
8460319ffffffff,4.0,0.0,0.0
846031bffffffff,20.0,0.0,0.0
846031dffffffff,5.0,0.0,0.0
8460321ffffffff,13.0,0.0,0.0
8460323ffffffff,97.0,0.0,0.0
8460327ffffffff,60.0,0.0,0.0
8460329ffffffff,15.0,0.0,0.0
846032dffffffff,271.0,0.0,0.0
8460331ffffffff,119.0,0.0,0.0
8460333ffffffff,3.0,0.0,0.0
8460335ffffffff,56.0,0.0,0.0
8460339ffffffff,2.0,0.0,0.0
846033bffffffff,862.0,0.0,0.0
846033dffffffff,18.0,0.0,0.0
8460343ffffffff,1.0,0.0,0.0
8460353ffffffff,28.0,0.0,0.0
846035bffffffff,3.0,0.0,0.0
8460363ffffffff,18.0,0.0,0.0
8460367ffffffff,8.0,0.0,0.0
8460849ffffffff,3.0,0.0,0.0
846084dffffffff,15.0,0.0,0.0
8460881ffffffff,34.0,0.0,34.0
8460885ffffffff,3.0,0.0,3.0
8460887ffffffff,42.0,0.0,40.0
8460889ffffffff,43.0,0.0,43.0
846088dffffffff,36.0,0.0,34.0
84608a1ffffffff,6.0,0.0,0.0
84608a5ffffffff,5.0,0.0,0.0
84608a7ffffffff,4.0,0.0,0.0
84608abffffffff,4.0,0.0,4.0
84608b5ffffffff,2.0,0.0,2.0
84608b9ffffffff,10.0,0.0,10.0
84608bdffffffff,10.0,0.0,10.0
84608d5ffffffff,5.0,0.0,5.0
84608ddffffffff,9.0,0.0,9.0
8460965ffffffff,4.0,3.0,0.0
846096bffffffff,3.0,3.0,0.0
8460a13ffffffff,18.0,0.0,0.0
8460a1bffffffff,85.0,0.0,0.0
8460a21ffffffff,7.0,0.0,0.0
8460a25ffffffff,319.0,0.0,0.0
8460a27ffffffff,157.0,0.0,0.0
8460a2dffffffff,6.0,0.0,0.0
8460a59ffffffff,2.0,0.0,0.0
8460a61ffffffff,5.0,0.0,0.0
8460a8bffffffff,3.0,0.0,0.0
8460a91ffffffff,836.0,0.0,8.0
8460a95ffffffff,34.0,0.0,9.0
8460a97ffffffff,43.0,0.0,2.0
8460a99ffffffff,143.0,0.0,2.0
8460a9bffffffff,3.0,0.0,0.0
8460a9dffffffff,129.0,0.0,7.0
8460ab7ffffffff,4.0,0.0,4.0
8460ad3ffffffff,2.0,0.0,0.0
8460aebffffffff,2.0,0.0,0.0
8460b11ffffffff,54.0,0.0,0.0
8460b15ffffffff,4.0,0.0,0.0
8460b19ffffffff,165.0,0.0,0.0
8460b1bffffffff,11.0,0.0,0.0
8460b3dffffffff,13.0,0.0,0.0
8460b53ffffffff,61.0,0.0,0.0
8460b57ffffffff,4.0,0.0,0.0
8461885ffffffff,1.0,0.0,0.0
846188bffffffff,4.0,0.0,0.0
8461891ffffffff,16.0,0.0,0.0
8461893ffffffff,12.0,0.0,0.0
8461899ffffffff,2.0,0.0,0.0
846189bffffffff,33.0,0.0,0.0
846189dffffffff,2.0,0.0,0.0
84618b3ffffffff,5.0,0.0,0.0
84618bbffffffff,4.0,0.0,0.0
84618d1ffffffff,8.0,0.0,0.0
84618d3ffffffff,2.0,0.0,0.0
84618d7ffffffff,20.0,0.0,0.0
84618dbffffffff,1.0,0.0,0.0
84619abffffffff,4.0,0.0,0.0
