cell_id,Ploceus baglafecht,Ploceus baglafecht [baglafecht Group],Ploceus baglafecht emini,Ploceus baglafecht reichenowi,Ploceus baglafecht [stuhlmanni Group]
846ade9ffffffff,36.0,0.0,0.0,0.0,0.0
846adebffffffff,77.0,1.0,0.0,0.0,0.0
846ae85ffffffff,8.0,0.0,0.0,0.0,0.0
846aea1ffffffff,83.0,0.0,0.0,0.0,0.0
846aea3ffffffff,4.0,0.0,0.0,0.0,0.0
846aea5ffffffff,6.0,0.0,0.0,0.0,0.0
846aea9ffffffff,8.0,0.0,0.0,0.0,0.0
846aeabffffffff,10.0,0.0,0.0,0.0,0.0
846aeb7ffffffff,2.0,0.0,0.0,0.0,0.0
846aecbffffffff,1.0,0.0,0.0,0.0,0.0
846aee3ffffffff,8.0,0.0,0.0,0.0,0.0
846aee5ffffffff,1.0,1.0,0.0,0.0,0.0
846aee7ffffffff,1.0,0.0,0.0,0.0,0.0
847a401ffffffff,9.0,0.0,0.0,0.0,0.0
847a405ffffffff,3.0,0.0,0.0,0.0,0.0
847a407ffffffff,17.0,0.0,0.0,0.0,0.0
847a409ffffffff,15.0,0.0,0.0,0.0,0.0
847a40bffffffff,63.0,0.0,0.0,0.0,0.0
847a40dffffffff,1.0,0.0,0.0,0.0,0.0
847a419ffffffff,5.0,0.0,0.0,0.0,0.0
847a41bffffffff,17.0,0.0,0.0,0.0,0.0
847a41dffffffff,46.0,0.0,0.0,0.0,0.0
847a43bffffffff,1.0,0.0,0.0,0.0,0.0
847a43dffffffff,1.0,0.0,0.0,0.0,0.0
847a451ffffffff,40.0,0.0,0.0,0.0,0.0
847a453ffffffff,198.0,0.0,0.0,5.0,0.0
847a455ffffffff,254.0,0.0,0.0,0.0,0.0
847a457ffffffff,198.0,0.0,0.0,0.0,0.0
847a459ffffffff,86.0,0.0,0.0,0.0,0.0
847a45bffffffff,54.0,0.0,0.0,0.0,0.0
847a45dffffffff,6.0,0.0,0.0,0.0,0.0
847a481ffffffff,9.0,0.0,0.0,0.0,0.0
847a483ffffffff,1.0,0.0,0.0,0.0,0.0
847a489ffffffff,72.0,0.0,0.0,0.0,0.0
847a48bffffffff,25.0,0.0,0.0,0.0,0.0
847a48dffffffff,27.0,0.0,0.0,0.0,0.0
847a49dffffffff,8.0,0.0,0.0,0.0,0.0
847a4b5ffffffff,4.0,0.0,0.0,0.0,0.0
847a4c1ffffffff,41.0,0.0,0.0,0.0,0.0
847a4c3ffffffff,8.0,0.0,0.0,0.0,0.0
847a4c5ffffffff,15.0,0.0,0.0,0.0,0.0
847a4c7ffffffff,22.0,0.0,0.0,0.0,0.0
847a4c9ffffffff,17.0,0.0,0.0,0.0,0.0
847a4cbffffffff,131.0,0.0,0.0,0.0,0.0
847a4cdffffffff,25.0,0.0,0.0,0.0,0.0
847a4d1ffffffff,97.0,0.0,0.0,0.0,0.0
847a4d5ffffffff,2.0,0.0,0.0,0.0,0.0
847a4d7ffffffff,7.0,0.0,0.0,0.0,0.0
847a4d9ffffffff,5.0,0.0,0.0,0.0,0.0
847a4dbffffffff,16.0,0.0,0.0,0.0,0.0
847a4ddffffffff,69.0,0.0,0.0,0.0,0.0
847a60bffffffff,6.0,0.0,0.0,0.0,0.0
847a619ffffffff,28.0,0.0,0.0,0.0,0.0
847a61bffffffff,5.0,0.0,0.0,0.0,0.0
847a61dffffffff,24.0,0.0,0.0,0.0,0.0
847a633ffffffff,4.0,0.0,0.0,0.0,0.0
847a63bffffffff,2.0,0.0,0.0,0.0,0.0
847a641ffffffff,2.0,0.0,0.0,0.0,0.0
847a643ffffffff,17.0,0.0,0.0,0.0,0.0
847a651ffffffff,2.0,0.0,0.0,0.0,0.0
847a653ffffffff,104.0,0.0,0.0,20.0,0.0
847a657ffffffff,204.0,0.0,0.0,3.0,0.0
847a659ffffffff,8.0,0.0,0.0,0.0,0.0
847a681ffffffff,38.0,0.0,0.0,0.0,0.0
847a683ffffffff,195.0,0.0,0.0,0.0,0.0
847a685ffffffff,18.0,0.0,0.0,0.0,0.0
847a687ffffffff,9.0,0.0,0.0,0.0,0.0
847a689ffffffff,6.0,0.0,0.0,0.0,0.0
847a68bffffffff,15.0,0.0,0.0,0.0,0.0
847a68dffffffff,4.0,0.0,0.0,0.0,0.0
847a695ffffffff,1.0,0.0,0.0,0.0,0.0
847a6a1ffffffff,237.0,0.0,0.0,0.0,0.0
847a6a3ffffffff,19.0,0.0,0.0,0.0,0.0
847a6a5ffffffff,41.0,0.0,0.0,0.0,0.0
847a6a9ffffffff,10.0,0.0,0.0,0.0,0.0
847a6adffffffff,299.0,0.0,0.0,0.0,0.0
847a6b3ffffffff,8.0,0.0,0.0,0.0,0.0
847a6b5ffffffff,12.0,0.0,0.0,0.0,0.0
847a6b7ffffffff,42.0,0.0,0.0,0.0,0.0
847a6b9ffffffff,1.0,0.0,0.0,0.0,0.0
847a6bbffffffff,2.0,0.0,0.0,0.0,0.0
847a6bdffffffff,10.0,0.0,0.0,0.0,0.0
847a6c9ffffffff,3.0,0.0,0.0,0.0,0.0
847a6cdffffffff,1.0,0.0,0.0,0.0,0.0
847a6d1ffffffff,22.0,0.0,0.0,0.0,0.0
847a6d9ffffffff,2.0,0.0,0.0,0.0,0.0
847a6dbffffffff,7.0,0.0,0.0,0.0,0.0
847a6e1ffffffff,14.0,0.0,0.0,0.0,0.0
847a6e5ffffffff,1054.0,0.0,0.0,0.0,0.0
847a6e7ffffffff,99.0,0.0,0.0,0.0,0.0
847a6edffffffff,10.0,0.0,0.0,0.0,0.0
847ac15ffffffff,3.0,1.0,0.0,0.0,0.0
847ac81ffffffff,26.0,2.0,0.0,0.0,0.0
847ac83ffffffff,2.0,2.0,0.0,0.0,0.0
847ac87ffffffff,18.0,4.0,0.0,0.0,0.0
847ac8bffffffff,12.0,3.0,0.0,0.0,0.0
847ac97ffffffff,6.0,0.0,0.0,0.0,0.0
847ac9dffffffff,3.0,0.0,0.0,0.0,0.0
847aca3ffffffff,70.0,18.0,0.0,0.0,0.0
847aca5ffffffff,2.0,0.0,0.0,0.0,0.0
847acb1ffffffff,2.0,0.0,0.0,0.0,0.0
847acb3ffffffff,4.0,0.0,0.0,0.0,0.0
847acb5ffffffff,96.0,21.0,0.0,0.0,0.0
847acb9ffffffff,2.0,0.0,0.0,0.0,0.0
847acc5ffffffff,139.0,33.0,0.0,0.0,0.0
847acc7ffffffff,1.0,1.0,0.0,0.0,0.0
847accbffffffff,4.0,0.0,0.0,0.0,0.0
847accdffffffff,48.0,8.0,0.0,0.0,0.0
847acd5ffffffff,87.0,10.0,0.0,0.0,0.0
847acd7ffffffff,5.0,0.0,0.0,0.0,0.0
847ace9ffffffff,29.0,3.0,0.0,0.0,0.0
847acedffffffff,2.0,0.0,0.0,0.0,0.0
847ad91ffffffff,2.0,0.0,0.0,0.0,0.0
847ad93ffffffff,20.0,0.0,0.0,0.0,0.0
847ad99ffffffff,7.0,0.0,0.0,0.0,0.0
847ae85ffffffff,3.0,0.0,0.0,0.0,0.0
847ae87ffffffff,1.0,0.0,0.0,0.0,0.0
847ae97ffffffff,2.0,0.0,0.0,0.0,0.0
847aea3ffffffff,3.0,0.0,0.0,0.0,0.0
847aeb1ffffffff,4.0,0.0,0.0,0.0,0.0
847aeb3ffffffff,4.0,0.0,0.0,0.0,0.0
847aebdffffffff,4.0,0.0,0.0,0.0,0.0
847b487ffffffff,15.0,0.0,0.0,1.0,0.0
847b4b1ffffffff,12.0,0.0,0.0,4.0,0.0
847b4b3ffffffff,5.0,0.0,0.0,2.0,0.0
847b4b7ffffffff,11.0,0.0,0.0,2.0,0.0
847b4b9ffffffff,78.0,0.0,0.0,17.0,0.0
8496861ffffffff,3.0,0.0,0.0,0.0,0.0
849688dffffffff,1.0,0.0,0.0,0.0,0.0
8496901ffffffff,4.0,0.0,0.0,0.0,0.0
8496903ffffffff,6.0,0.0,0.0,0.0,0.0
8496905ffffffff,2.0,0.0,0.0,0.0,0.0
8496907ffffffff,30.0,0.0,0.0,0.0,0.0
849690bffffffff,4.0,0.0,0.0,0.0,0.0
8496921ffffffff,270.0,0.0,0.0,118.0,0.0
8496923ffffffff,1.0,0.0,0.0,0.0,0.0
8496925ffffffff,465.0,0.0,0.0,70.0,0.0
849692bffffffff,5.0,0.0,0.0,0.0,0.0
849692dffffffff,5.0,0.0,0.0,1.0,0.0
8496931ffffffff,17.0,0.0,0.0,5.0,0.0
8496933ffffffff,7.0,0.0,0.0,0.0,0.0
8496935ffffffff,652.0,0.0,0.0,127.0,0.0
8496937ffffffff,17.0,0.0,0.0,6.0,0.0
849693dffffffff,74.0,0.0,0.0,9.0,0.0
84969a5ffffffff,2.0,0.0,0.0,0.0,0.0
8496a07ffffffff,2.0,0.0,0.0,0.0,0.0
8496a15ffffffff,9.0,0.0,0.0,0.0,0.0
8496a2dffffffff,8.0,0.0,0.0,0.0,0.0
8496a39ffffffff,9.0,0.0,0.0,0.0,0.0
8496a5dffffffff,28.0,0.0,0.0,0.0,0.0
8496b09ffffffff,2.0,0.0,0.0,0.0,0.0
8496b53ffffffff,10.0,0.0,0.0,0.0,0.0
8496b55ffffffff,1.0,0.0,0.0,0.0,0.0
8496b63ffffffff,1.0,0.0,0.0,0.0,0.0
8496b67ffffffff,2.0,0.0,0.0,0.0,0.0
