cell_id,Anthoscopus caroli,Anthoscopus caroli [ansorgei Group],Anthoscopus caroli sylviella/sharpei,Anthoscopus caroli roccatii,Anthoscopus caroli rankinei,Anthoscopus caroli [caroli Group]
847b6bbffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8482a09ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8483335ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8483337ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
848333dffffffff,9.0,0.0,0.0,0.0,0.0,0.0
84838adffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8496009ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8496015ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
849602dffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8496039ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849603bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8496047ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8496065ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849608dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8496093ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84960d3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84960e9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84960edffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8496151ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849615dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8496233ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
849623bffffffff,7.0,0.0,0.0,0.0,0.0,2.0
849624dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8496287ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84962abffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84962c5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84962c9ffffffff,29.0,0.0,0.0,0.0,0.0,5.0
84962e5ffffffff,3.0,0.0,0.0,0.0,0.0,3.0
8496325ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8496365ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8496727ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8496747ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8496901ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8496907ffffffff,6.0,0.0,2.0,0.0,0.0,0.0
8496921ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8496925ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849692bffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8496933ffffffff,5.0,0.0,1.0,0.0,0.0,0.0
8496937ffffffff,3.0,0.0,2.0,0.0,0.0,0.0
8496a59ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8496a5dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8496ad9ffffffff,2.0,0.0,0.0,0.0,0.0,2.0
8496b09ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8496b19ffffffff,50.0,3.0,9.0,0.0,0.0,0.0
8496b2bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8496b2dffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8496b47ffffffff,1.0,0.0,1.0,0.0,0.0,0.0
8496b53ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8496b57ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8496b63ffffffff,32.0,0.0,1.0,8.0,0.0,2.0
8496b6dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8497019ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849702bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8497035ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
849703dffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8497069ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
849708bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84970d3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8497103ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8497107ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8497119ffffffff,21.0,0.0,0.0,0.0,0.0,0.0
849711dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8497199ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
849719bffffffff,12.0,0.0,0.0,0.0,0.0,0.0
84971cbffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84971d7ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
849721bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8497245ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
849728bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849728dffffffff,8.0,0.0,0.0,0.0,0.0,3.0
84972c5ffffffff,5.0,0.0,0.0,0.0,0.0,1.0
84972c9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84972cbffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84972cdffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84972e3ffffffff,11.0,0.0,0.0,0.0,0.0,1.0
84972ebffffffff,6.0,0.0,0.0,0.0,0.0,3.0
8497357ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8497435ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8497437ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849743bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84974a9ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84974abffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84974b9ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84974e9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8497501ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8497513ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8497515ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8497517ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849751bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8497535ffffffff,7.0,0.0,0.0,0.0,0.0,3.0
8497583ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
84975c5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84975c7ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
84975cbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84975e1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84975ebffffffff,1.0,0.0,0.0,0.0,0.0,1.0
8497707ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849772dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84978b9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8497ab1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84ac961ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84bc893ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84bc897ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84bc89bffffffff,22.0,0.0,0.0,0.0,0.0,0.0
84bc991ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84bcd05ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
84bcd0dffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84bcd11ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84bcd21ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84bcd23ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84bcd27ffffffff,2.0,0.0,0.0,0.0,0.0,1.0
84bcd29ffffffff,19.0,0.0,0.0,0.0,0.0,4.0
84bcd2dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84bcd35ffffffff,3.0,0.0,0.0,0.0,0.0,2.0
84bcd37ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84bcd3dffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84bcd45ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84bcd63ffffffff,21.0,0.0,0.0,0.0,0.0,0.0
84bcd67ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84bcd6dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84bcd81ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84bcd85ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84bcd89ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84bcdc7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84bcde3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84bcdebffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84bcf05ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84bcf21ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84bcf25ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84bcf27ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
84bcf29ffffffff,174.0,0.0,0.0,0.0,0.0,31.0
84bcf2dffffffff,9.0,0.0,0.0,0.0,0.0,1.0
84bcf33ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84bcf63ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84bcf67ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
