cell_id,Myiarchus swainsoni,Myiarchus swainsoni phaeonotus,Myiarchus swainsoni [swainsoni Group]
848a45dffffffff,1.0,0.0,0.0
848a68bffffffff,2.0,0.0,0.0
848a699ffffffff,8.0,0.0,0.0
848a6d3ffffffff,8.0,0.0,0.0
848a6d7ffffffff,3.0,0.0,0.0
848a6d9ffffffff,4.0,0.0,0.0
848a6dbffffffff,2.0,0.0,0.0
848a8d9ffffffff,2.0,0.0,0.0
848a9c1ffffffff,2.0,0.0,0.0
848a9c5ffffffff,2.0,0.0,0.0
848a9c9ffffffff,2.0,0.0,0.0
848aa87ffffffff,5.0,0.0,0.0
848aa8bffffffff,6.0,0.0,0.0
848ad13ffffffff,7.0,0.0,0.0
848ada9ffffffff,5.0,0.0,0.0
848adb1ffffffff,1.0,0.0,0.0
848af09ffffffff,2.0,0.0,0.0
848af11ffffffff,2.0,0.0,0.0
848af1dffffffff,16.0,12.0,0.0
848af29ffffffff,5.0,2.0,0.0
848af67ffffffff,7.0,4.0,0.0
848af69ffffffff,12.0,0.0,0.0
848af6bffffffff,2.0,0.0,0.0
848b001ffffffff,2.0,0.0,0.0
848b025ffffffff,2.0,0.0,0.0
848b06dffffffff,1.0,0.0,0.0
848b085ffffffff,3.0,0.0,0.0
848b0c1ffffffff,2.0,0.0,0.0
848b0c9ffffffff,9.0,0.0,0.0
848b0d1ffffffff,12.0,0.0,0.0
848b10dffffffff,2.0,0.0,0.0
848b1edffffffff,1.0,0.0,0.0
848b205ffffffff,7.0,0.0,0.0
848b20dffffffff,5.0,0.0,0.0
848b21dffffffff,2.0,0.0,0.0
848b221ffffffff,2.0,0.0,0.0
848b223ffffffff,28.0,0.0,0.0
848b229ffffffff,2.0,0.0,0.0
848b22bffffffff,2.0,0.0,0.0
848b22dffffffff,21.0,0.0,0.0
848b235ffffffff,6.0,0.0,0.0
848b23bffffffff,2.0,0.0,0.0
848b241ffffffff,2.0,0.0,0.0
848b2a5ffffffff,4.0,0.0,0.0
848b2a7ffffffff,10.0,0.0,0.0
848b2c3ffffffff,2.0,0.0,0.0
848b2e9ffffffff,2.0,0.0,0.0
848b315ffffffff,43.0,0.0,0.0
848b345ffffffff,7.0,0.0,0.0
848b363ffffffff,7.0,0.0,0.0
848b40bffffffff,2.0,0.0,0.0
848b40dffffffff,3.0,0.0,0.0
848b429ffffffff,3.0,0.0,0.0
848b445ffffffff,3.0,0.0,0.0
848b447ffffffff,8.0,0.0,0.0
848b44bffffffff,36.0,0.0,0.0
848b44dffffffff,34.0,0.0,0.0
848b459ffffffff,1.0,0.0,0.0
848b469ffffffff,4.0,0.0,0.0
848b52dffffffff,1.0,0.0,0.0
848b53dffffffff,1.0,0.0,0.0
