cell_id,Cynanthus canivetii,Cynanthus canivetii canivetii,Cynanthus canivetii salvini/osberti
84452ebffffffff,192.0,41.0,0.0
84452edffffffff,4.0,0.0,0.0
8445309ffffffff,2.0,0.0,0.0
8445311ffffffff,3.0,0.0,0.0
8445313ffffffff,509.0,16.0,0.0
8445317ffffffff,182.0,3.0,0.0
8445319ffffffff,94.0,0.0,0.0
844531bffffffff,200.0,20.0,0.0
844533bffffffff,292.0,28.0,0.0
8445343ffffffff,32.0,0.0,6.0
8445349ffffffff,3.0,0.0,0.0
8445351ffffffff,7.0,0.0,0.0
8445353ffffffff,101.0,0.0,65.0
8445355ffffffff,11.0,0.0,11.0
8445357ffffffff,5.0,0.0,2.0
844535dffffffff,3.0,0.0,0.0
8445365ffffffff,2.0,0.0,0.0
8445721ffffffff,111.0,33.0,0.0
8445723ffffffff,23.0,6.0,0.0
8445725ffffffff,173.0,18.0,0.0
8445727ffffffff,3.0,2.0,0.0
8445749ffffffff,59.0,0.0,0.0
844574dffffffff,18.0,2.0,0.0
8445761ffffffff,14.0,2.0,0.0
8445767ffffffff,14.0,3.0,0.0
8445769ffffffff,2.0,0.0,0.0
8449901ffffffff,18.0,0.0,0.0
8449903ffffffff,7.0,0.0,0.0
8449905ffffffff,4.0,4.0,0.0
8449907ffffffff,4.0,0.0,0.0
8449913ffffffff,2.0,0.0,0.0
844991dffffffff,6.0,0.0,0.0
8449929ffffffff,6.0,0.0,0.0
844992bffffffff,10.0,4.0,0.0
8449933ffffffff,1.0,1.0,0.0
844993dffffffff,1.0,0.0,0.0
8449961ffffffff,221.0,42.0,0.0
8449963ffffffff,31.0,7.0,0.0
8449965ffffffff,530.0,61.0,0.0
8449967ffffffff,124.0,0.0,0.0
8449969ffffffff,27.0,0.0,0.0
844996dffffffff,59.0,0.0,0.0
8449981ffffffff,3.0,0.0,0.0
8449987ffffffff,51.0,0.0,0.0
84499b1ffffffff,1.0,0.0,0.0
84499c5ffffffff,22.0,0.0,0.0
84499ebffffffff,2.0,0.0,0.0
8466b45ffffffff,14.0,0.0,0.0
8466b4dffffffff,12.0,0.0,0.0
8466b69ffffffff,19.0,0.0,0.0
8467925ffffffff,1.0,0.0,0.0
846d049ffffffff,102.0,31.0,0.0
846d04bffffffff,96.0,38.0,0.0
846d04dffffffff,33.0,4.0,0.0
846d059ffffffff,15.0,3.0,0.0
846d05bffffffff,6.0,2.0,0.0
846d05dffffffff,1.0,0.0,0.0
846d203ffffffff,2.0,0.0,0.0
846d211ffffffff,10.0,0.0,0.0
846d219ffffffff,2.0,0.0,0.0
846d21bffffffff,39.0,8.0,0.0
846d21dffffffff,10.0,0.0,0.0
846d223ffffffff,4.0,0.0,0.0
846d22bffffffff,3.0,0.0,0.0
846d231ffffffff,293.0,22.0,0.0
846d235ffffffff,5.0,4.0,0.0
846d239ffffffff,224.0,81.0,0.0
846d23dffffffff,151.0,18.0,0.0
846d24bffffffff,2.0,0.0,0.0
846d251ffffffff,4.0,2.0,0.0
846d257ffffffff,9.0,1.0,0.0
846d25dffffffff,2.0,0.0,0.0
846d281ffffffff,4.0,0.0,4.0
846d287ffffffff,13.0,0.0,7.0
846d28bffffffff,1.0,0.0,0.0
846d291ffffffff,14.0,0.0,2.0
846d295ffffffff,15.0,0.0,9.0
846d297ffffffff,20.0,0.0,16.0
846d299ffffffff,22.0,3.0,9.0
846d2a3ffffffff,5.0,0.0,0.0
846d2a9ffffffff,2.0,0.0,0.0
846d2b3ffffffff,3.0,0.0,3.0
846d2b9ffffffff,53.0,0.0,9.0
846d2c1ffffffff,3.0,2.0,0.0
846d2c5ffffffff,1.0,1.0,0.0
846d2c7ffffffff,10.0,0.0,0.0
846d2c9ffffffff,45.0,1.0,0.0
846d2cbffffffff,2.0,0.0,0.0
846d2d1ffffffff,28.0,15.0,0.0
846d2d3ffffffff,20.0,6.0,1.0
846d2d7ffffffff,91.0,0.0,8.0
846d2e3ffffffff,2.0,0.0,0.0
846d2e5ffffffff,54.0,30.0,0.0
846d2e9ffffffff,2.0,0.0,0.0
846d2ebffffffff,67.0,3.0,0.0
846d303ffffffff,16.0,0.0,0.0
846d305ffffffff,6.0,4.0,0.0
846d30dffffffff,86.0,12.0,0.0
846d311ffffffff,2.0,1.0,0.0
846d313ffffffff,64.0,5.0,0.0
846d319ffffffff,16.0,9.0,0.0
846d341ffffffff,18.0,2.0,0.0
846d34bffffffff,3.0,0.0,0.0
846d34dffffffff,80.0,6.0,0.0
846d357ffffffff,2.0,0.0,0.0
846d35bffffffff,6.0,0.0,0.0
846d35dffffffff,15.0,0.0,0.0
846d369ffffffff,3.0,0.0,0.0
846d36bffffffff,3.0,0.0,0.0
846d601ffffffff,5.0,0.0,0.0
846d603ffffffff,13.0,0.0,0.0
846d605ffffffff,34.0,0.0,0.0
846d607ffffffff,13.0,0.0,0.0
846d609ffffffff,45.0,0.0,15.0
846d60bffffffff,5.0,0.0,0.0
846d60dffffffff,58.0,0.0,38.0
846d611ffffffff,9.0,0.0,0.0
846d613ffffffff,79.0,0.0,0.0
846d615ffffffff,15.0,0.0,0.0
846d617ffffffff,385.0,0.0,6.0
846d619ffffffff,5.0,0.0,0.0
846d61bffffffff,16.0,0.0,0.0
846d639ffffffff,20.0,0.0,0.0
846d63bffffffff,4.0,0.0,0.0
846d641ffffffff,142.0,0.0,42.0
846d643ffffffff,10.0,0.0,0.0
846d645ffffffff,233.0,0.0,169.0
846d647ffffffff,2.0,0.0,2.0
846d649ffffffff,4.0,0.0,2.0
846d64bffffffff,17.0,0.0,0.0
846d64dffffffff,14.0,0.0,0.0
846d651ffffffff,62.0,0.0,7.0
846d653ffffffff,75.0,0.0,0.0
846d655ffffffff,18.0,0.0,0.0
846d657ffffffff,24.0,0.0,0.0
846d659ffffffff,1.0,0.0,0.0
846d65dffffffff,6.0,0.0,0.0
846d663ffffffff,24.0,0.0,9.0
846d665ffffffff,26.0,0.0,0.0
846d667ffffffff,6.0,0.0,0.0
846d669ffffffff,3.0,0.0,2.0
846d66bffffffff,72.0,0.0,64.0
846d66dffffffff,78.0,0.0,17.0
846d681ffffffff,470.0,0.0,0.0
846d683ffffffff,605.0,0.0,0.0
846d685ffffffff,107.0,0.0,0.0
846d687ffffffff,280.0,0.0,0.0
846d689ffffffff,45.0,0.0,0.0
846d68bffffffff,215.0,0.0,0.0
846d68dffffffff,84.0,0.0,0.0
846d691ffffffff,1066.0,0.0,0.0
846d693ffffffff,282.0,0.0,0.0
846d695ffffffff,338.0,0.0,0.0
846d697ffffffff,241.0,0.0,0.0
846d69bffffffff,212.0,0.0,0.0
846d69dffffffff,1481.0,0.0,0.0
846d6abffffffff,70.0,0.0,0.0
846d6b1ffffffff,41.0,0.0,0.0
846d6b9ffffffff,99.0,0.0,0.0
846d6bbffffffff,432.0,0.0,0.0
846d6bdffffffff,46.0,0.0,0.0
846d6c5ffffffff,2.0,0.0,0.0
846d6c7ffffffff,3.0,0.0,0.0
846d6c9ffffffff,2.0,0.0,0.0
846d6cdffffffff,8.0,0.0,0.0
846d6e1ffffffff,2.0,0.0,0.0
846d6e9ffffffff,288.0,0.0,0.0
846d6ebffffffff,33.0,0.0,2.0
846d6edffffffff,42.0,0.0,0.0
846d741ffffffff,163.0,0.0,3.0
846d743ffffffff,20.0,0.0,0.0
846d745ffffffff,39.0,0.0,1.0
846d747ffffffff,2.0,0.0,0.0
846d749ffffffff,32.0,0.0,3.0
846d74bffffffff,133.0,0.0,4.0
846d759ffffffff,8.0,0.0,0.0
846d75dffffffff,3.0,0.0,1.0
