cell_id,Agriornis micropterus,Agriornis micropterus andecola,Agriornis micropterus micropterus
84ce913ffffffff,2.0,0.0,0.0
84ce931ffffffff,18.0,0.0,0.0
84ce933ffffffff,9.0,0.0,0.0
84ce935ffffffff,25.0,0.0,0.0
84ce937ffffffff,9.0,0.0,0.0
84ce93bffffffff,4.0,0.0,0.0
84ce95dffffffff,3.0,0.0,0.0
84ce969ffffffff,7.0,0.0,0.0
84ce96bffffffff,4.0,0.0,0.0
84ce96dffffffff,1.0,0.0,0.0
84ce981ffffffff,9.0,0.0,0.0
84ce983ffffffff,8.0,0.0,0.0
84ce989ffffffff,39.0,0.0,0.0
84ce98bffffffff,5.0,0.0,0.0
84ce98dffffffff,40.0,0.0,0.0
84ce9a9ffffffff,2.0,0.0,0.0
84ce9b3ffffffff,2.0,0.0,0.0
84ce9b5ffffffff,9.0,0.0,0.0
84ce9b7ffffffff,2.0,0.0,0.0
84ce9bdffffffff,5.0,0.0,0.0
84ce9c3ffffffff,16.0,0.0,0.0
84ce9c7ffffffff,23.0,0.0,0.0
84ce9d1ffffffff,5.0,0.0,0.0
84ce9ddffffffff,2.0,0.0,0.0
84ce9e3ffffffff,4.0,0.0,0.0
84ce9e5ffffffff,4.0,0.0,0.0
84ce9ebffffffff,3.0,0.0,0.0
84ce9edffffffff,9.0,0.0,0.0
84cea25ffffffff,2.0,0.0,0.0
84cea29ffffffff,2.0,0.0,0.0
84cea2bffffffff,3.0,0.0,0.0
84cea35ffffffff,2.0,0.0,0.0
84cea3dffffffff,1.0,0.0,0.0
84ceb01ffffffff,1.0,0.0,0.0
84ceb31ffffffff,2.0,0.0,0.0
84ceb33ffffffff,3.0,0.0,0.0
84cf123ffffffff,7.0,0.0,0.0
84cf127ffffffff,10.0,0.0,0.0
84cf165ffffffff,3.0,0.0,0.0
84cf813ffffffff,2.0,0.0,0.0
84cf829ffffffff,3.0,0.0,0.0
84cf853ffffffff,16.0,0.0,0.0
84cf85dffffffff,3.0,0.0,0.0
84cf88dffffffff,4.0,0.0,0.0
84cf8c1ffffffff,3.0,0.0,0.0
84cf8c5ffffffff,84.0,0.0,0.0
84cf8c7ffffffff,2.0,0.0,0.0
84cf8e1ffffffff,1.0,0.0,0.0
84cf8e9ffffffff,15.0,0.0,0.0
84cf8ebffffffff,1.0,0.0,0.0
84cf8edffffffff,19.0,0.0,0.0
84cf901ffffffff,8.0,0.0,0.0
84cf913ffffffff,24.0,0.0,0.0
84cf91dffffffff,1.0,0.0,0.0
84cf943ffffffff,19.0,0.0,0.0
84cf94bffffffff,1.0,0.0,0.0
84cf955ffffffff,3.0,0.0,0.0
84cf959ffffffff,6.0,0.0,0.0
84cf95dffffffff,4.0,0.0,0.0
84cf98bffffffff,7.0,0.0,0.0
84cf98dffffffff,13.0,0.0,0.0
84cf9adffffffff,2.0,0.0,0.0
84cf9e1ffffffff,9.0,0.0,0.0
84cf9e3ffffffff,2.0,0.0,0.0
84cf9e7ffffffff,2.0,0.0,0.0
84cf9ebffffffff,15.0,0.0,0.0
84cfa01ffffffff,2.0,0.0,0.0
84cfa05ffffffff,12.0,0.0,0.0
84cfa07ffffffff,3.0,0.0,0.0
84cfa0dffffffff,6.0,0.0,0.0
84cfa19ffffffff,2.0,0.0,0.0
84cfa21ffffffff,14.0,0.0,0.0
84cfa23ffffffff,3.0,0.0,0.0
84cfa27ffffffff,5.0,0.0,0.0
84cfa2bffffffff,15.0,0.0,0.0
84cfa41ffffffff,2.0,0.0,0.0
84cfa45ffffffff,3.0,0.0,0.0
84cfa47ffffffff,4.0,0.0,0.0
84cfa49ffffffff,4.0,0.0,0.0
84cfa89ffffffff,3.0,0.0,0.0
84cfaadffffffff,12.0,0.0,0.0
84cfac5ffffffff,1.0,0.0,0.0
84cfacdffffffff,24.0,0.0,0.0
84cfae7ffffffff,2.0,0.0,0.0
84cfaedffffffff,2.0,0.0,0.0
84cfb13ffffffff,5.0,0.0,0.0
