cell_id,Mareca strepera,Mareca strepera strepera,Mareca strepera couesi
8426115ffffffff,1.0,1.0,0.0
8426137ffffffff,2.0,0.0,0.0
8426183ffffffff,1.0,1.0,0.0
8426187ffffffff,2.0,0.0,0.0
8426191ffffffff,2.0,0.0,0.0
84261b3ffffffff,1.0,0.0,0.0
84261b5ffffffff,3.0,0.0,0.0
8426203ffffffff,2.0,0.0,0.0
8426205ffffffff,4.0,0.0,0.0
842621dffffffff,1.0,0.0,0.0
8426223ffffffff,2.0,0.0,0.0
842622dffffffff,3.0,0.0,0.0
8426231ffffffff,4.0,0.0,0.0
8426233ffffffff,2.0,0.0,0.0
8426245ffffffff,2.0,0.0,0.0
8426249ffffffff,8.0,0.0,0.0
8426257ffffffff,2.0,0.0,0.0
84262c1ffffffff,3.0,0.0,0.0
84262c9ffffffff,1.0,0.0,0.0
84262cdffffffff,14.0,1.0,0.0
84262d9ffffffff,3.0,0.0,0.0
84262dbffffffff,13.0,0.0,0.0
8426307ffffffff,2.0,0.0,0.0
842634dffffffff,1.0,0.0,0.0
8426365ffffffff,2.0,0.0,0.0
8426405ffffffff,1.0,0.0,0.0
8426409ffffffff,4.0,0.0,0.0
842640dffffffff,5.0,0.0,0.0
8426415ffffffff,2.0,0.0,0.0
8426417ffffffff,2.0,0.0,0.0
842641dffffffff,2.0,0.0,0.0
8426437ffffffff,8.0,0.0,0.0
8426443ffffffff,1.0,0.0,0.0
8426461ffffffff,38.0,0.0,0.0
8426463ffffffff,4.0,0.0,0.0
842646bffffffff,55.0,0.0,0.0
8426481ffffffff,9.0,0.0,0.0
8426483ffffffff,2.0,0.0,0.0
8426485ffffffff,3.0,0.0,0.0
8426487ffffffff,3.0,3.0,0.0
8426489ffffffff,21.0,0.0,0.0
842648dffffffff,4.0,0.0,0.0
8426493ffffffff,30.0,0.0,0.0
8426497ffffffff,2.0,0.0,0.0
842649bffffffff,11.0,0.0,0.0
84264adffffffff,26.0,2.0,0.0
84264b9ffffffff,2.0,0.0,0.0
84264bbffffffff,2.0,0.0,0.0
84264c1ffffffff,2.0,0.0,0.0
84264c7ffffffff,21.0,6.0,0.0
84264cbffffffff,6.0,0.0,0.0
84264d1ffffffff,7.0,0.0,0.0
84264d7ffffffff,1.0,0.0,0.0
84264d9ffffffff,13.0,0.0,0.0
84264ddffffffff,9.0,0.0,0.0
84264e1ffffffff,12.0,0.0,0.0
84264e5ffffffff,35.0,0.0,0.0
84264e7ffffffff,2.0,2.0,0.0
84264edffffffff,7.0,0.0,0.0
8426505ffffffff,2.0,0.0,0.0
842650dffffffff,1.0,0.0,0.0
8426521ffffffff,8.0,0.0,0.0
8426529ffffffff,1.0,0.0,0.0
842652bffffffff,12.0,0.0,0.0
842652dffffffff,4.0,0.0,0.0
8426531ffffffff,7.0,0.0,0.0
8426533ffffffff,2.0,2.0,0.0
8426535ffffffff,1.0,0.0,0.0
842653bffffffff,1.0,0.0,0.0
8426547ffffffff,2.0,0.0,0.0
842654bffffffff,3.0,0.0,0.0
842654dffffffff,2.0,0.0,0.0
8426551ffffffff,3.0,0.0,0.0
8426555ffffffff,48.0,2.0,0.0
8426561ffffffff,1.0,0.0,0.0
8426565ffffffff,30.0,0.0,0.0
8426567ffffffff,21.0,0.0,0.0
8426581ffffffff,2.0,0.0,0.0
8426599ffffffff,8.0,0.0,0.0
842659bffffffff,14.0,0.0,0.0
84265a3ffffffff,1.0,0.0,0.0
84265b1ffffffff,4.0,0.0,0.0
84265b5ffffffff,8.0,0.0,0.0
84265b9ffffffff,24.0,0.0,0.0
84265d7ffffffff,2.0,0.0,0.0
84265d9ffffffff,125.0,0.0,0.0
84265dbffffffff,32.0,6.0,0.0
8426609ffffffff,1.0,0.0,0.0
842660bffffffff,5.0,0.0,0.0
8426641ffffffff,53.0,0.0,0.0
8426645ffffffff,57.0,0.0,0.0
8426649ffffffff,3.0,0.0,0.0
842664bffffffff,2.0,0.0,0.0
8426665ffffffff,14.0,0.0,0.0
8426669ffffffff,11.0,0.0,0.0
842666bffffffff,54.0,0.0,0.0
8426689ffffffff,1.0,0.0,0.0
842669bffffffff,9.0,0.0,0.0
84266a3ffffffff,2.0,0.0,0.0
84266a5ffffffff,2.0,0.0,0.0
84266a7ffffffff,3.0,0.0,0.0
84266a9ffffffff,1.0,0.0,0.0
84266adffffffff,11.0,0.0,0.0
84266b1ffffffff,51.0,0.0,0.0
84266c1ffffffff,2.0,0.0,0.0
84266c5ffffffff,2.0,0.0,0.0
84266d5ffffffff,2.0,0.0,0.0
84266dbffffffff,18.0,0.0,0.0
84266e1ffffffff,41.0,0.0,0.0
84266e7ffffffff,4.0,0.0,0.0
8426703ffffffff,1.0,0.0,0.0
8426719ffffffff,1.0,0.0,0.0
8426745ffffffff,4.0,0.0,0.0
8426759ffffffff,2.0,0.0,0.0
8426801ffffffff,8.0,2.0,0.0
