cell_id,Phylloscopus sindianus,Phylloscopus sindianus lorenzii,Phylloscopus sindianus sindianus
842c233ffffffff,5.0,0.0,0.0
842c235ffffffff,22.0,0.0,0.0
842c237ffffffff,28.0,0.0,0.0
842c239ffffffff,2.0,0.0,0.0
842c261ffffffff,3.0,0.0,0.0
842c263ffffffff,51.0,1.0,0.0
842c281ffffffff,27.0,7.0,0.0
842c283ffffffff,283.0,105.0,0.0
842c287ffffffff,15.0,2.0,0.0
842c289ffffffff,2.0,0.0,0.0
842c2a1ffffffff,28.0,6.0,0.0
842c2a3ffffffff,12.0,7.0,0.0
842c2a5ffffffff,4.0,0.0,0.0
842c2a9ffffffff,4.0,0.0,0.0
842c2abffffffff,9.0,1.0,0.0
842c2b1ffffffff,2.0,0.0,0.0
842c2b7ffffffff,6.0,0.0,0.0
842c2b9ffffffff,10.0,6.0,0.0
842c2bdffffffff,4.0,2.0,0.0
842c2c1ffffffff,23.0,15.0,0.0
842c2c9ffffffff,4.0,3.0,0.0
842c2cbffffffff,46.0,31.0,0.0
842c2e1ffffffff,6.0,3.0,0.0
842c2e5ffffffff,42.0,16.0,0.0
842c2e7ffffffff,7.0,5.0,0.0
842c2e9ffffffff,11.0,11.0,0.0
842c2edffffffff,30.0,0.0,0.0
842c333ffffffff,2.0,0.0,0.0
842c903ffffffff,4.0,0.0,0.0
842c93bffffffff,19.0,5.0,0.0
842ce45ffffffff,4.0,0.0,0.0
842ce4bffffffff,3.0,0.0,0.0
842d193ffffffff,1.0,0.0,0.0
842d50dffffffff,1.0,1.0,0.0
842d535ffffffff,2.0,1.0,0.0
842d56bffffffff,6.0,0.0,0.0
843d005ffffffff,25.0,0.0,0.0
843d009ffffffff,9.0,0.0,0.0
843d00dffffffff,45.0,0.0,0.0
843d02dffffffff,4.0,0.0,0.0
843d041ffffffff,39.0,0.0,0.0
843d043ffffffff,26.0,0.0,0.0
843d045ffffffff,40.0,0.0,0.0
843d047ffffffff,14.0,0.0,0.0
843d049ffffffff,275.0,0.0,0.0
843d04bffffffff,3.0,0.0,0.0
843d04dffffffff,580.0,0.0,0.0
843d063ffffffff,2.0,0.0,0.0
843d067ffffffff,2.0,0.0,0.0
843d06bffffffff,13.0,0.0,0.0
843d06dffffffff,17.0,0.0,0.0
843d15bffffffff,36.0,0.0,0.0
843d221ffffffff,15.0,0.0,0.0
843d223ffffffff,108.0,0.0,0.0
843d225ffffffff,5.0,0.0,0.0
843d227ffffffff,74.0,0.0,0.0
843d229ffffffff,12.0,0.0,0.0
843d22bffffffff,4.0,0.0,0.0
843d22dffffffff,23.0,0.0,0.0
843d261ffffffff,1.0,0.0,0.0
843d265ffffffff,2.0,0.0,0.0
843d26bffffffff,4.0,0.0,0.0
843d301ffffffff,2.0,0.0,0.0
843d311ffffffff,6.0,0.0,0.0
843d319ffffffff,1.0,0.0,0.0
843d31dffffffff,15.0,0.0,0.0
843d333ffffffff,8.0,0.0,0.0
843d34bffffffff,7.0,0.0,0.0
843d351ffffffff,2.0,0.0,0.0
843d353ffffffff,44.0,0.0,0.0
843d355ffffffff,1.0,0.0,0.0
843d359ffffffff,2.0,0.0,0.0
843d35bffffffff,30.0,0.0,0.0
843d35dffffffff,5.0,0.0,0.0
8442541ffffffff,1.0,0.0,0.0
