cell_id,Garrulus glandarius,Garrulus glandarius [glandarius Group],Garrulus glandarius [atricapillus Group],Garrulus glandarius [cervicalis Group],Garrulus glandarius hyrcanus,Garrulus glandarius [brandtii Group],Garrulus glandarius [bispecularis Group],Garrulus glandarius leucotis/oatesi,Garrulus glandarius [japonicus Group]
84392d9ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84392ddffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439313ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439317ffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843931bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843933bffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843944dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439549ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439621ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843962dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439721ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439723ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439727ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439729ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843972bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843972dffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439739ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843973bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843973dffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439759ffffffff,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439763ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c02dffffffff,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
843c1d1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c1d3ffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c437ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
843c567ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c581ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
843c587ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843c5cbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
