cell_id,Ptilinopus regina,Ptilinopus regina xanthogaster/roseipileum,Ptilinopus regina [regina Group]
84be08dffffffff,4.0,0.0,0.0
84be0c3ffffffff,2.0,0.0,0.0
84be0ddffffffff,3.0,0.0,0.0
84be181ffffffff,10.0,0.0,0.0
84be183ffffffff,3.0,0.0,0.0
84be187ffffffff,7.0,0.0,0.0
84be189ffffffff,5.0,0.0,0.0
84be18dffffffff,4.0,0.0,0.0
84be1a1ffffffff,12.0,0.0,0.0
84be1a3ffffffff,12.0,0.0,0.0
84be1a5ffffffff,3.0,0.0,0.0
84be1a7ffffffff,2.0,0.0,0.0
84be1a9ffffffff,2.0,0.0,0.0
84be1abffffffff,2.0,0.0,0.0
84be1d1ffffffff,16.0,0.0,0.0
84be883ffffffff,79.0,0.0,0.0
84be887ffffffff,43.0,0.0,0.0
84be88bffffffff,119.0,0.0,0.0
84be891ffffffff,1.0,0.0,0.0
84be895ffffffff,4.0,0.0,0.0
84be897ffffffff,2.0,0.0,0.0
84be89bffffffff,16.0,0.0,0.0
84be89dffffffff,47.0,0.0,0.0
84be8b1ffffffff,4.0,0.0,0.0
84be8b3ffffffff,6.0,0.0,0.0
84be8b7ffffffff,5.0,0.0,0.0
84be8bdffffffff,16.0,0.0,0.0
84be8d1ffffffff,918.0,0.0,0.0
84be8d3ffffffff,24.0,0.0,0.0
84be8d5ffffffff,19.0,0.0,0.0
84be8d7ffffffff,134.0,0.0,0.0
84be8d9ffffffff,56.0,0.0,0.0
84be8dbffffffff,147.0,0.0,0.0
84be8ddffffffff,6.0,0.0,0.0
84bea91ffffffff,16.0,0.0,0.0
84bea95ffffffff,252.0,0.0,0.0
84bea97ffffffff,98.0,0.0,0.0
84beab3ffffffff,187.0,0.0,0.0
84beabbffffffff,112.0,0.0,0.0
84bef21ffffffff,2.0,0.0,0.0
84bef61ffffffff,17.0,0.0,0.0
84bef67ffffffff,7.0,0.0,0.0
84bef69ffffffff,2.0,0.0,0.0
84bef6dffffffff,72.0,0.0,0.0
