cell_id,Campocolinus coqui,Campocolinus coqui [hubbardi Group],Campocolinus coqui coqui
8496905ffffffff,10.0,0.0,0.0
8496907ffffffff,112.0,3.0,0.0
8496921ffffffff,5.0,0.0,0.0
8496923ffffffff,6.0,0.0,0.0
8496925ffffffff,2.0,0.0,0.0
8496929ffffffff,3.0,0.0,0.0
849692bffffffff,115.0,4.0,0.0
8496933ffffffff,74.0,0.0,0.0
8496935ffffffff,4.0,0.0,0.0
8496937ffffffff,2.0,0.0,0.0
849693dffffffff,10.0,0.0,0.0
84969a1ffffffff,6.0,0.0,0.0
84969a5ffffffff,15.0,0.0,0.0
84969adffffffff,2.0,0.0,0.0
84969e5ffffffff,7.0,0.0,0.0
8496a2dffffffff,2.0,0.0,0.0
8496b19ffffffff,4.0,0.0,0.0
8496b1bffffffff,2.0,0.0,0.0
8496b53ffffffff,1.0,0.0,0.0
8496b63ffffffff,2.0,0.0,0.0
849708bffffffff,1.0,0.0,0.0
84970a5ffffffff,2.0,0.0,0.0
849725dffffffff,1.0,0.0,0.0
849728dffffffff,1.0,0.0,1.0
84972c5ffffffff,4.0,0.0,0.0
84972cdffffffff,1.0,0.0,0.0
84972e7ffffffff,2.0,0.0,0.0
8497417ffffffff,1.0,0.0,0.0
8497435ffffffff,1.0,0.0,0.0
8497437ffffffff,6.0,0.0,0.0
8497439ffffffff,1.0,0.0,0.0
84974b9ffffffff,9.0,0.0,0.0
84974bdffffffff,6.0,0.0,3.0
84974e9ffffffff,1.0,0.0,0.0
8497509ffffffff,6.0,0.0,0.0
8497513ffffffff,2.0,0.0,0.0
8497529ffffffff,1.0,0.0,0.0
8497535ffffffff,1.0,0.0,0.0
8497541ffffffff,1.0,0.0,0.0
8497543ffffffff,6.0,0.0,0.0
8497547ffffffff,5.0,0.0,0.0
8497555ffffffff,2.0,0.0,0.0
8497557ffffffff,3.0,0.0,0.0
84975c9ffffffff,2.0,0.0,0.0
84975d9ffffffff,5.0,0.0,0.0
849772dffffffff,1.0,0.0,0.0
8497751ffffffff,1.0,0.0,0.0
8497827ffffffff,2.0,0.0,0.0
84978ebffffffff,2.0,0.0,0.0
8497997ffffffff,3.0,0.0,0.0
84ac945ffffffff,1.0,0.0,0.0
84bc899ffffffff,1.0,0.0,0.0
84bc8d3ffffffff,3.0,0.0,2.0
84bc997ffffffff,1.0,0.0,0.0
84bcc17ffffffff,2.0,0.0,0.0
84bcc23ffffffff,2.0,0.0,2.0
84bcc27ffffffff,3.0,0.0,0.0
84bcc35ffffffff,2.0,0.0,0.0
84bcc37ffffffff,4.0,0.0,0.0
84bcca5ffffffff,5.0,0.0,0.0
84bcd05ffffffff,16.0,0.0,2.0
84bcd0dffffffff,4.0,0.0,0.0
84bcd11ffffffff,3.0,0.0,0.0
84bcd13ffffffff,7.0,0.0,2.0
84bcd15ffffffff,1.0,0.0,0.0
84bcd1bffffffff,3.0,0.0,1.0
84bcd21ffffffff,20.0,0.0,6.0
84bcd23ffffffff,13.0,0.0,0.0
84bcd27ffffffff,4.0,0.0,1.0
84bcd29ffffffff,80.0,0.0,4.0
84bcd63ffffffff,15.0,0.0,0.0
84bcd81ffffffff,6.0,0.0,0.0
84bcd85ffffffff,2.0,0.0,0.0
84bcd89ffffffff,4.0,0.0,2.0
84bcd8dffffffff,3.0,0.0,1.0
84bcdc1ffffffff,9.0,0.0,2.0
84bcdc3ffffffff,6.0,0.0,2.0
84bcdc5ffffffff,1.0,0.0,1.0
84bcdc7ffffffff,1.0,0.0,0.0
84bcdc9ffffffff,14.0,0.0,4.0
84bcdcbffffffff,4.0,0.0,0.0
84bcdcdffffffff,14.0,0.0,1.0
84bcdd1ffffffff,17.0,0.0,5.0
84bcdddffffffff,2.0,0.0,0.0
84bcde3ffffffff,5.0,0.0,0.0
84bcde5ffffffff,36.0,0.0,10.0
84bcdebffffffff,18.0,0.0,0.0
84bcf03ffffffff,1.0,0.0,1.0
84bcf25ffffffff,1.0,0.0,0.0
84bcf29ffffffff,2.0,0.0,0.0
84bcf33ffffffff,11.0,0.0,7.0
84bcf5bffffffff,2.0,0.0,0.0
