cell_id,Xiphorhynchus susurrans,Xiphorhynchus susurrans [nana Group],Xiphorhynchus susurrans [susurrans Group]
8466213ffffffff,2.0,0.0,0.0
8466217ffffffff,122.0,0.0,0.0
8466219ffffffff,14.0,0.0,0.0
8466225ffffffff,1.0,0.0,0.0
846622bffffffff,835.0,69.0,0.0
846623dffffffff,10.0,3.0,0.0
8466291ffffffff,2.0,2.0,0.0
8466293ffffffff,2.0,0.0,0.0
846629bffffffff,9.0,0.0,0.0
846629dffffffff,27.0,0.0,0.0
84662b7ffffffff,2.0,0.0,0.0
84662b9ffffffff,2.0,0.0,0.0
84662d3ffffffff,61.0,0.0,0.0
84662d7ffffffff,2.0,0.0,0.0
84662d9ffffffff,1.0,0.0,0.0
84662dbffffffff,4.0,0.0,0.0
84662e1ffffffff,2.0,0.0,0.0
84662e5ffffffff,27.0,0.0,0.0
84662e9ffffffff,15.0,0.0,0.0
8466313ffffffff,38.0,0.0,0.0
846631bffffffff,6.0,0.0,0.0
8466647ffffffff,4.0,0.0,0.0
846675dffffffff,4.0,0.0,0.0
8466763ffffffff,2.0,0.0,0.0
8466a01ffffffff,137.0,1.0,0.0
8466a03ffffffff,1.0,0.0,0.0
8466a05ffffffff,31.0,0.0,0.0
8466a0bffffffff,2222.0,104.0,0.0
8466a0dffffffff,1.0,0.0,0.0
8466a15ffffffff,6.0,0.0,0.0
8466a17ffffffff,9.0,0.0,0.0
8466a1dffffffff,87.0,6.0,0.0
8466a21ffffffff,9.0,0.0,0.0
8466a23ffffffff,8.0,0.0,0.0
8466a25ffffffff,41.0,0.0,0.0
8466a29ffffffff,3.0,0.0,0.0
8466a2dffffffff,7.0,0.0,0.0
8466a31ffffffff,74.0,0.0,0.0
8466a33ffffffff,208.0,5.0,0.0
8466a35ffffffff,1.0,0.0,0.0
8466a37ffffffff,3.0,0.0,0.0
8466a3bffffffff,33.0,7.0,0.0
8466a3dffffffff,15.0,0.0,0.0
8466a51ffffffff,9757.0,706.0,0.0
8466a53ffffffff,13.0,0.0,0.0
8466a55ffffffff,216.0,9.0,0.0
8466a57ffffffff,505.0,10.0,0.0
8466a59ffffffff,171.0,3.0,0.0
8466a5bffffffff,1036.0,56.0,0.0
8466a5dffffffff,335.0,40.0,0.0
8466a65ffffffff,117.0,0.0,0.0
8466a67ffffffff,4.0,0.0,0.0
8466aedffffffff,8.0,0.0,0.0
8466b01ffffffff,487.0,0.0,0.0
8466b09ffffffff,877.0,0.0,0.0
8466b0bffffffff,1907.0,0.0,0.0
8466b0dffffffff,1.0,0.0,0.0
8466b19ffffffff,3.0,0.0,0.0
8466b1dffffffff,36.0,2.0,0.0
8466b41ffffffff,364.0,0.0,0.0
8466b43ffffffff,250.0,0.0,0.0
8466b45ffffffff,521.0,0.0,0.0
8466b47ffffffff,656.0,0.0,0.0
8466b49ffffffff,1592.0,0.0,0.0
8466b4bffffffff,64.0,0.0,0.0
8466b4dffffffff,568.0,0.0,0.0
8466b51ffffffff,56.0,0.0,0.0
8466b53ffffffff,64.0,1.0,0.0
8466b55ffffffff,904.0,0.0,0.0
8466b57ffffffff,494.0,0.0,0.0
8466b59ffffffff,245.0,3.0,0.0
8466b5bffffffff,138.0,6.0,0.0
8466b5dffffffff,11.0,0.0,0.0
8466b69ffffffff,59.0,0.0,0.0
8466c47ffffffff,5.0,0.0,0.0
8466c49ffffffff,9.0,0.0,0.0
8466c4dffffffff,2.0,0.0,0.0
8466c63ffffffff,2.0,0.0,0.0
8466e01ffffffff,3.0,0.0,0.0
8466e05ffffffff,4.0,0.0,0.0
8466e0bffffffff,5.0,0.0,0.0
8466e0dffffffff,217.0,0.0,0.0
8466e21ffffffff,1.0,0.0,0.0
8466e23ffffffff,16.0,0.0,0.0
8466e27ffffffff,2.0,0.0,0.0
8466e29ffffffff,9.0,0.0,0.0
8466e2bffffffff,14.0,0.0,0.0
8466e41ffffffff,26.0,0.0,0.0
8466e45ffffffff,69.0,0.0,0.0
8466e47ffffffff,18.0,0.0,0.0
8466e49ffffffff,2.0,0.0,0.0
8466e4dffffffff,1.0,0.0,0.0
8466e59ffffffff,1.0,0.0,0.0
8466e61ffffffff,2.0,0.0,0.0
8466e63ffffffff,106.0,0.0,0.0
8466e65ffffffff,781.0,8.0,0.0
8466e67ffffffff,52.0,0.0,0.0
8466e69ffffffff,80.0,0.0,0.0
8466e6bffffffff,33.0,0.0,0.0
8466e6dffffffff,1621.0,22.0,0.0
8466f0bffffffff,3.0,0.0,0.0
8466f11ffffffff,1.0,0.0,0.0
8466f15ffffffff,7.0,0.0,0.0
8466f19ffffffff,188.0,0.0,0.0
8466f1dffffffff,49.0,0.0,0.0
8466f51ffffffff,9.0,0.0,0.0
8466f53ffffffff,83.0,0.0,0.0
8466f57ffffffff,733.0,31.0,0.0
8466f59ffffffff,192.0,0.0,0.0
8466f5bffffffff,250.0,8.0,0.0
8467413ffffffff,679.0,2.0,0.0
8467417ffffffff,40.0,0.0,0.0
8467425ffffffff,111.0,39.0,0.0
8467427ffffffff,2.0,0.0,0.0
8467431ffffffff,1.0,0.0,0.0
8467433ffffffff,75.0,0.0,0.0
8467435ffffffff,1.0,0.0,0.0
8467437ffffffff,202.0,7.0,0.0
846743bffffffff,44.0,0.0,0.0
846743dffffffff,9.0,0.0,0.0
84674b1ffffffff,2.0,0.0,0.0
84674c1ffffffff,3.0,0.0,0.0
84674c5ffffffff,435.0,26.0,0.0
84674c7ffffffff,16.0,0.0,0.0
84674c9ffffffff,7.0,0.0,0.0
84674cbffffffff,6.0,0.0,0.0
84674cdffffffff,176.0,0.0,0.0
84674ddffffffff,1.0,0.0,0.0
84674e1ffffffff,10.0,0.0,0.0
84674e5ffffffff,8.0,0.0,0.0
84674e9ffffffff,165.0,0.0,0.0
84674ebffffffff,29.0,0.0,0.0
84674edffffffff,156.0,2.0,0.0
8467519ffffffff,74.0,10.0,0.0
8467523ffffffff,3.0,0.0,0.0
8467531ffffffff,9.0,0.0,0.0
8467535ffffffff,34.0,0.0,0.0
8467537ffffffff,12.0,0.0,0.0
8467553ffffffff,3.0,3.0,0.0
8467585ffffffff,2.0,0.0,0.0
8467599ffffffff,10.0,0.0,0.0
84675a5ffffffff,13.0,0.0,0.0
84675a9ffffffff,18.0,0.0,0.0
84675abffffffff,3.0,0.0,0.0
84675c1ffffffff,18.0,0.0,0.0
84675c7ffffffff,29.0,0.0,0.0
84675c9ffffffff,3.0,0.0,0.0
84675cbffffffff,120.0,0.0,0.0
84675d5ffffffff,5.0,0.0,0.0
84675d9ffffffff,4.0,0.0,0.0
84675ddffffffff,16.0,0.0,0.0
84675e1ffffffff,7.0,0.0,0.0
84675e3ffffffff,2.0,0.0,0.0
84675ebffffffff,10.0,0.0,0.0
84678b7ffffffff,1.0,0.0,0.0
8467903ffffffff,2.0,0.0,0.0
8467909ffffffff,10.0,0.0,0.0
846790bffffffff,7.0,0.0,0.0
846790dffffffff,5.0,0.0,0.0
8467921ffffffff,2.0,0.0,0.0
8467923ffffffff,2.0,0.0,0.0
8467931ffffffff,2.0,0.0,0.0
8467933ffffffff,5.0,0.0,0.0
8467937ffffffff,8.0,0.0,0.0
846793bffffffff,6.0,0.0,0.0
846793dffffffff,2.0,0.0,0.0
8467945ffffffff,8.0,0.0,0.0
8467961ffffffff,38.0,0.0,0.0
8467969ffffffff,2.0,0.0,0.0
846796bffffffff,4.0,0.0,0.0
84679a1ffffffff,95.0,0.0,0.0
84679a3ffffffff,85.0,0.0,0.0
84679a5ffffffff,3798.0,0.0,0.0
84679a7ffffffff,549.0,0.0,0.0
84679adffffffff,44.0,0.0,0.0
84679b3ffffffff,92.0,2.0,0.0
84679b5ffffffff,278.0,0.0,0.0
84679b7ffffffff,1080.0,0.0,0.0
8467b2bffffffff,1.0,0.0,0.0
846d65bffffffff,1.0,0.0,0.0
846d681ffffffff,59.0,0.0,0.0
846d683ffffffff,11.0,0.0,0.0
846d689ffffffff,285.0,0.0,0.0
846d68bffffffff,1261.0,0.0,0.0
846d68dffffffff,14.0,0.0,0.0
846d691ffffffff,413.0,0.0,0.0
846d693ffffffff,410.0,0.0,0.0
846d697ffffffff,3615.0,0.0,0.0
846d699ffffffff,533.0,0.0,0.0
846d69bffffffff,539.0,0.0,0.0
846d69dffffffff,1047.0,0.0,0.0
846d6c3ffffffff,12.0,0.0,0.0
846d6c9ffffffff,4.0,0.0,0.0
846d6cbffffffff,3.0,0.0,0.0
846d6d1ffffffff,32.0,0.0,0.0
846d6d3ffffffff,374.0,0.0,0.0
846d6d5ffffffff,109.0,0.0,0.0
846d6d7ffffffff,42.0,0.0,0.0
846d6dbffffffff,2.0,0.0,0.0
846d6ddffffffff,8.0,0.0,0.0
