cell_id,Leptotila plumbeiceps,Leptotila plumbeiceps plumbeiceps/notia,Leptotila plumbeiceps battyi/malae
8466a37ffffffff,3.0,0.0,0.0
8466a65ffffffff,228.0,35.0,0.0
8466b43ffffffff,2.0,0.0,0.0
8466b55ffffffff,11.0,0.0,0.0
8466b59ffffffff,4.0,0.0,0.0
8466b5dffffffff,2.0,0.0,0.0
8466c6dffffffff,120.0,10.0,0.0
8466e65ffffffff,93.0,0.0,0.0
8466e67ffffffff,1.0,0.0,0.0
8466e6dffffffff,1300.0,15.0,0.0
8466f11ffffffff,13.0,0.0,0.0
8466f15ffffffff,26.0,5.0,0.0
8466f17ffffffff,1.0,0.0,0.0
8466f19ffffffff,6.0,0.0,0.0
8466f1dffffffff,52.0,0.0,0.0
8466f51ffffffff,2.0,0.0,0.0
8466f53ffffffff,2.0,0.0,0.0
8466f57ffffffff,34.0,0.0,0.0
8466f59ffffffff,25.0,0.0,0.0
8466f5bffffffff,56.0,0.0,0.0
846792dffffffff,2.0,0.0,0.0
8467933ffffffff,3.0,0.0,0.0
8467937ffffffff,2.0,0.0,0.0
8467961ffffffff,15.0,0.0,0.0
846796bffffffff,2.0,0.0,0.0
84679b3ffffffff,37.0,0.0,0.0
8467b27ffffffff,2.0,0.0,0.0
846d201ffffffff,7.0,0.0,0.0
846d203ffffffff,20.0,0.0,0.0
846d207ffffffff,2.0,0.0,0.0
846d20bffffffff,4.0,0.0,0.0
846d219ffffffff,3.0,0.0,0.0
846d21bffffffff,63.0,28.0,0.0
846d21dffffffff,52.0,8.0,0.0
846d221ffffffff,2.0,0.0,0.0
846d223ffffffff,10.0,5.0,0.0
846d225ffffffff,2.0,0.0,0.0
846d22bffffffff,4.0,0.0,0.0
846d231ffffffff,2.0,0.0,0.0
846d23dffffffff,32.0,17.0,0.0
846d251ffffffff,1.0,0.0,0.0
846d2c1ffffffff,26.0,20.0,0.0
846d2c3ffffffff,5.0,0.0,0.0
846d2c9ffffffff,108.0,21.0,0.0
846d2cbffffffff,19.0,7.0,0.0
846d2cdffffffff,1.0,0.0,0.0
846d2d9ffffffff,3.0,0.0,0.0
846d2ddffffffff,19.0,0.0,0.0
846d303ffffffff,7.0,0.0,0.0
846d305ffffffff,2.0,2.0,0.0
846d30dffffffff,54.0,0.0,0.0
846d319ffffffff,71.0,38.0,0.0
846d31bffffffff,7.0,2.0,0.0
846d34bffffffff,29.0,9.0,0.0
846d35bffffffff,2.0,0.0,0.0
846d35dffffffff,136.0,15.0,0.0
846d369ffffffff,1.0,0.0,0.0
846d36bffffffff,2.0,0.0,0.0
846d651ffffffff,28.0,0.0,0.0
846d653ffffffff,26.0,0.0,0.0
846d65dffffffff,2.0,0.0,0.0
846d681ffffffff,17.0,0.0,0.0
846d683ffffffff,13.0,0.0,0.0
846d685ffffffff,2.0,0.0,0.0
846d687ffffffff,12.0,0.0,0.0
846d689ffffffff,33.0,0.0,0.0
846d68bffffffff,1232.0,0.0,0.0
846d691ffffffff,4.0,0.0,0.0
846d693ffffffff,2.0,0.0,0.0
846d695ffffffff,6.0,0.0,0.0
846d697ffffffff,8.0,0.0,0.0
846d69dffffffff,8.0,0.0,0.0
846d6b1ffffffff,2.0,0.0,0.0
846d6b9ffffffff,8.0,0.0,0.0
846d6bbffffffff,943.0,0.0,0.0
846d6bdffffffff,5.0,0.0,0.0
846d6c3ffffffff,1.0,0.0,0.0
846d6c9ffffffff,2.0,0.0,0.0
846d6d1ffffffff,27.0,0.0,0.0
846d6d3ffffffff,1.0,0.0,0.0
846d6d5ffffffff,98.0,0.0,0.0
846d6d7ffffffff,11.0,0.0,0.0
