cell_id,Thamnophilus punctatus,Thamnophilus punctatus punctatus/interpositus,Thamnophilus punctatus leucogaster/huallagae
848adbbffffffff,23.0,1.0,0.0
848adc5ffffffff,7.0,2.0,0.0
848ade3ffffffff,6.0,0.0,0.0
848af09ffffffff,4.0,0.0,0.0
848af0dffffffff,1.0,0.0,0.0
848af29ffffffff,105.0,8.0,0.0
848af2bffffffff,4.0,0.0,0.0
848af2dffffffff,3.0,1.0,0.0
848af45ffffffff,2.0,0.0,0.0
848af61ffffffff,17.0,0.0,0.0
848af63ffffffff,83.0,9.0,0.0
848af67ffffffff,42.0,0.0,0.0
848af6bffffffff,7.0,0.0,0.0
848f401ffffffff,190.0,0.0,41.0
848f407ffffffff,66.0,0.0,25.0
848f40dffffffff,4.0,0.0,0.0
848f42bffffffff,2.0,0.0,0.0
848f439ffffffff,1.0,0.0,0.0
848f463ffffffff,2.0,0.0,0.0
848f549ffffffff,21.0,0.0,11.0
848f54bffffffff,235.0,0.0,135.0
848f559ffffffff,4.0,0.0,2.0
848f55dffffffff,6.0,0.0,6.0
848f735ffffffff,13.0,0.0,6.0
848f737ffffffff,1.0,0.0,0.0
