cell_id,Gymnorhina tibicen,Gymnorhina tibicen papuana,Gymnorhina tibicen [tibicen Group],Gymnorhina tibicen dorsalis,Gymnorhina tibicen telonocua/tyrannica,Gymnorhina tibicen hypoleuca,Gymnorhina tibicen [tibicen Group] x dorsalis,Gymnorhina tibicen [tibicen Group] x telonocua/tyrannica
849c66dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c685ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c687ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c68dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c69bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c6a1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c6a7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c6abffffffff,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
849c6b9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c6c1ffffffff,21.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849c6c7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c6cbffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c6ddffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c6e9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c6ebffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849c741ffffffff,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849c743ffffffff,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
849c747ffffffff,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849c749ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c74bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c753ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c759ffffffff,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849cc29ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849cc2bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d013ffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d01bffffffff,253.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
849d083ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d085ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d089ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d097ffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d099ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0abffffffff,41.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
849d0b1ffffffff,324.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
849d0b3ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0b5ffffffff,178.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
849d0b7ffffffff,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849d0b9ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0bbffffffff,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849d0bdffffffff,42.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
849d0c1ffffffff,36.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
849d0c5ffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0c7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0c9ffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0cbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0cdffffffff,179.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
849d0dbffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0e1ffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0e3ffffffff,39.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849d0e9ffffffff,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849d0ebffffffff,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849d211ffffffff,73.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
849d213ffffffff,13.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
849d215ffffffff,25.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
849d217ffffffff,220.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0
849d219ffffffff,17.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
849d21bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d21dffffffff,140.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
849d23bffffffff,26.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
849d24bffffffff,330.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0
849d251ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d253ffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d255ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d257ffffffff,63.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
849d259ffffffff,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
849d25bffffffff,23.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
849d25dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d281ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849d289ffffffff,154.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0
849d28bffffffff,46.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
849d28dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d295ffffffff,16.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
849d29bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d29dffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2a1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2a3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2a5ffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2a7ffffffff,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849d2abffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2adffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2b9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2bbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2bdffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2c3ffffffff,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849d2c5ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2c7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2c9ffffffff,17.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849d2cdffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2d1ffffffff,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
849d2d7ffffffff,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849d2d9ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2e1ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2e3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2e7ffffffff,30.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
849d2edffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d401ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d403ffffffff,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
849d405ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d407ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d409ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d40dffffffff,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849d419ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d41bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d41dffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d425ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d427ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d431ffffffff,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
849d433ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d43dffffffff,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849d443ffffffff,14.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
849d445ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849d447ffffffff,42.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
849d44bffffffff,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
849d451ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d455ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849d45bffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d45dffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849d467ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849d46bffffffff,103.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0
849d481ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849d483ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d487ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d48dffffffff,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849d4a1ffffffff,174.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0
849d4a3ffffffff,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849d4a7ffffffff,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
849d4a9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d4abffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d4adffffffff,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849d4c1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d4c7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d4c9ffffffff,43.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
849d4e7ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d501ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d507ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d509ffffffff,22.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
849d521ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
849d523ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d527ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d52dffffffff,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849d531ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d537ffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d539ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d53dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d541ffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d543ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d545ffffffff,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849d551ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d555ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d559ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d55dffffffff,25.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
849d565ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d567ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849d583ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d58bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d595ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d599ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d5c3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d5cbffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d5d5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d5d9ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
849d5dbffffffff,47.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
849d5ddffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d601ffffffff,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849d603ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d60bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d61dffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
849d621ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d625ffffffff,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849d62bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d637ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849d63dffffffff,15.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
849d643ffffffff,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
849d655ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849d657ffffffff,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849d667ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d66dffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d683ffffffff,18.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
849d685ffffffff,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849d687ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849d68bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d6a3ffffffff,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849d6a7ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849d6a9ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849d6abffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849d6b5ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d6b9ffffffff,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
849d6bdffffffff,17.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
849d6c9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d6cbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849d6d9ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849d6dbffffffff,45.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
849d6ddffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
