cell_id,Electron platyrhynchum,Electron platyrhynchum [platyrhynchum Group],Electron platyrhynchum [pyrrholaemum Group]
8466d31ffffffff,1010.0,104.0,0.0
8466d35ffffffff,1184.0,142.0,0.0
8466d37ffffffff,74.0,6.0,0.0
8466d3dffffffff,23.0,0.0,0.0
8466d55ffffffff,7.0,0.0,0.0
8466d81ffffffff,5.0,0.0,0.0
8466d89ffffffff,2.0,0.0,0.0
8466d8dffffffff,7.0,0.0,0.0
8466da1ffffffff,1.0,0.0,0.0
8466db1ffffffff,14.0,0.0,1.0
8466db5ffffffff,2.0,0.0,0.0
8466dc3ffffffff,86.0,0.0,3.0
8466dc7ffffffff,9.0,0.0,0.0
8466dd1ffffffff,2.0,0.0,0.0
8466dd5ffffffff,4.0,0.0,1.0
8466ddbffffffff,2.0,0.0,0.0
8466de3ffffffff,27.0,0.0,2.0
8466de7ffffffff,4.0,0.0,0.0
8466debffffffff,9.0,0.0,2.0
8466e49ffffffff,2.0,0.0,0.0
8466f03ffffffff,703.0,12.0,0.0
8466f0bffffffff,300.0,2.0,0.0
8466f1dffffffff,46.0,5.0,0.0
8466f57ffffffff,6.0,0.0,0.0
8466f59ffffffff,1.0,0.0,0.0
8467903ffffffff,2.0,0.0,0.0
846790dffffffff,4.0,0.0,0.0
846793bffffffff,1.0,0.0,0.0
8467945ffffffff,2.0,0.0,0.0
8467961ffffffff,61.0,0.0,0.0
84679a1ffffffff,1.0,0.0,0.0
84679a3ffffffff,2.0,0.0,0.0
84679a5ffffffff,3996.0,0.0,0.0
84679a7ffffffff,263.0,0.0,0.0
84679adffffffff,11.0,0.0,0.0
84679b5ffffffff,24.0,0.0,0.0
84679b7ffffffff,134.0,0.0,0.0
846d681ffffffff,92.0,0.0,0.0
846d689ffffffff,38.0,0.0,0.0
846d68bffffffff,835.0,0.0,0.0
846d68dffffffff,10.0,0.0,0.0
846d691ffffffff,191.0,0.0,0.0
846d699ffffffff,627.0,0.0,0.0
846d69bffffffff,1021.0,0.0,0.0
846d69dffffffff,4426.0,0.0,0.0
846d6d1ffffffff,1.0,0.0,0.0
846d6d3ffffffff,106.0,0.0,0.0
846d6d7ffffffff,2.0,0.0,0.0
846d6dbffffffff,2.0,0.0,0.0
8480445ffffffff,2.0,0.0,0.0
84814d1ffffffff,2.0,0.0,0.0
84814d5ffffffff,21.0,0.0,0.0
84814d9ffffffff,5.0,0.0,0.0
848a003ffffffff,5.0,0.0,0.0
848a00bffffffff,7.0,0.0,0.0
848a01dffffffff,6.0,0.0,0.0
848a049ffffffff,1.0,0.0,1.0
848a051ffffffff,7.0,0.0,0.0
848a053ffffffff,1.0,0.0,1.0
848a059ffffffff,3.0,0.0,0.0
848a05bffffffff,20.0,0.0,1.0
848a05dffffffff,1.0,0.0,0.0
848a109ffffffff,7.0,0.0,0.0
848a157ffffffff,1.0,0.0,0.0
848a1a7ffffffff,8.0,0.0,0.0
848a217ffffffff,2.0,0.0,0.0
848a233ffffffff,12.0,0.0,0.0
848a23bffffffff,7.0,0.0,0.0
848a249ffffffff,4.0,0.0,0.0
848a2cdffffffff,2.0,0.0,0.0
848a317ffffffff,2.0,0.0,0.0
848a337ffffffff,4.0,0.0,0.0
848a33bffffffff,4.0,0.0,0.0
848a359ffffffff,1.0,0.0,0.0
848a459ffffffff,6.0,0.0,0.0
848a68bffffffff,1.0,0.0,0.0
848a699ffffffff,4.0,0.0,0.0
848a6d3ffffffff,1.0,0.0,0.0
848a6dbffffffff,21.0,0.0,0.0
848a707ffffffff,3.0,0.0,0.0
848a73dffffffff,1.0,0.0,0.0
848a809ffffffff,23.0,0.0,0.0
848b223ffffffff,2.0,0.0,0.0
848b22bffffffff,1.0,0.0,0.0
848b2e9ffffffff,10.0,0.0,0.0
848b401ffffffff,13.0,0.0,0.0
848b40bffffffff,6.0,0.0,0.0
848b40dffffffff,21.0,0.0,0.0
848b429ffffffff,9.0,0.0,0.0
848b42dffffffff,4.0,0.0,0.0
848b445ffffffff,3.0,0.0,0.0
848b447ffffffff,8.0,0.0,0.0
848b449ffffffff,8.0,0.0,0.0
848b44bffffffff,189.0,0.0,0.0
848b44dffffffff,185.0,0.0,0.0
848b459ffffffff,25.0,0.0,0.0
848b469ffffffff,15.0,0.0,0.0
848b4e5ffffffff,18.0,0.0,2.0
848b511ffffffff,19.0,0.0,0.0
848b513ffffffff,14.0,0.0,0.0
848b5c3ffffffff,6.0,0.0,0.0
848b5cdffffffff,74.0,0.0,1.0
848b617ffffffff,50.0,0.0,0.0
848b623ffffffff,4.0,0.0,0.0
848b627ffffffff,22.0,0.0,0.0
848b631ffffffff,2.0,0.0,0.0
848b633ffffffff,6.0,0.0,0.0
848b635ffffffff,6.0,0.0,0.0
848b637ffffffff,249.0,0.0,0.0
848b63bffffffff,48.0,0.0,0.0
848b683ffffffff,6.0,0.0,0.0
848b693ffffffff,4.0,0.0,0.0
848b695ffffffff,8.0,0.0,0.0
848b69bffffffff,1.0,0.0,0.0
848b6e5ffffffff,8.0,0.0,0.0
848b6e7ffffffff,83.0,0.0,0.0
848b6edffffffff,76.0,0.0,0.0
848b709ffffffff,7.0,0.0,0.0
848b713ffffffff,96.0,0.0,0.0
848b717ffffffff,6.0,0.0,0.0
848b71bffffffff,27.0,0.0,0.0
848b745ffffffff,1.0,0.0,0.0
848b747ffffffff,12.0,0.0,0.0
848b755ffffffff,4.0,0.0,0.0
848b757ffffffff,2.0,0.0,0.0
848b75dffffffff,1.0,0.0,0.0
848b829ffffffff,2.0,0.0,0.0
848b849ffffffff,2.0,0.0,0.0
848b881ffffffff,1.0,0.0,0.0
848b889ffffffff,9.0,0.0,0.0
848b99dffffffff,6.0,0.0,0.0
848b9d1ffffffff,5.0,0.0,0.0
848b9d5ffffffff,20.0,0.0,0.0
848e651ffffffff,5.0,0.0,0.0
848e6c9ffffffff,2.0,0.0,0.0
848f0dbffffffff,150.0,12.0,0.0
848f291ffffffff,8.0,0.0,0.0
848f295ffffffff,7.0,3.0,0.0
848f2a9ffffffff,4.0,0.0,0.0
848f2bbffffffff,4.0,0.0,0.0
848f2c1ffffffff,2.0,0.0,0.0
848f2c3ffffffff,8.0,0.0,0.0
848f2c9ffffffff,4.0,0.0,0.0
848f2cbffffffff,24.0,0.0,0.0
848f401ffffffff,17.0,0.0,0.0
848f40dffffffff,1.0,0.0,0.0
848f415ffffffff,2.0,0.0,0.0
848f439ffffffff,2.0,0.0,0.0
848f461ffffffff,44.0,0.0,0.0
848f463ffffffff,186.0,0.0,0.0
848f467ffffffff,2.0,0.0,0.0
848f487ffffffff,2.0,0.0,0.0
848f495ffffffff,2.0,0.0,0.0
848f4a5ffffffff,24.0,0.0,0.0
848f4b3ffffffff,3.0,0.0,0.0
848f5d3ffffffff,6.0,0.0,0.0
848f5ddffffffff,4.0,0.0,0.0
848f613ffffffff,2.0,0.0,0.0
848f61bffffffff,1.0,0.0,0.0
848f6b5ffffffff,13.0,0.0,3.0
848f733ffffffff,2.0,0.0,0.0
848f74bffffffff,2.0,0.0,0.0
84b324bffffffff,1.0,0.0,0.0
